"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subjectid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","DSMDATE,chrsofas_interview_date,chrsofas_interview_date_fu,datacollecteddate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"dsmvers","String","10","Recommended","version/name of assessment","","",""
"dsmsoc1","Integer","","Recommended","a. Impaired nonverbals","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","behavior_impairment"
"dsmsoc2","Integer","","Recommended","b. Lack of peer relations","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","develop_peer_relate"
"dsmsoc3","Integer","","Recommended","c. Lack of shared enjoyment","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","lack_seek_enjoyment"
"dsmsoc4","Integer","","Recommended","d. Lack of social/emot reciprocity","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","lack_social_reciprocity"
"dsmcom1","Integer","","Recommended",""" a. Delay in lang, no compensation  ""","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","develop_delay"
"dsmcom2","Integer","","Recommended","b. Impaired conversation","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","speech_delay"
"dsmcom3","Integer","","Recommended",""" c. Sterotyped, repetitive lang  ""","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","repetitive_lang_idiosyncratic"
"dsmcom4","Integer","","Recommended","d. Impaired pretend play","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","lack_spontaneous_play"
"dsmrep1","Integer","","Recommended",""" a. Preccupation, restricted interest  ""","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","preoccup_stereotype_pattern"
"dsmrep2","Integer","","Recommended","b. Inflexible routines/rituals","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","inflexible_routines"
"dsmrep3","Integer","","Recommended","c. Stereotyped motor movts","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","motor_manner_repetitive"
"dsmrep4","Integer","","Recommended","d. Preoccupation w/ parts of objs","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","preoccup_part_object"
"dsmasd","Integer","","Recommended","Meets criteria for Autistic Disorder","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","autism"
"dsmpdd","Integer","","Recommended","Meets criteria for PDD NOS","0::2;-1;-9","0 = No; 1 = Yes; 2=Partial; -1 = Not applicable; -9 = Missing value","dx_pdd_nos"
"dsmcon","Integer","","Recommended","Confidence rating","1::3; -1;-9","1 = Not confident; 2 = Somewhat confident; 3 = Very confident; -1 = Not applicable; -9 = Missing value",""
"comments","String","4000","Recommended","Comments about assessment","","","DSMCOMM"
"dsmsoctot","Float","","Recommended","DSM Social total score","","",""
"dsmcomtot","Float","","Recommended","DSM Communication total score","","",""
"dsmreptot","Float","","Recommended","DSM Repetitive total score","","",""
"dsmtot","Float","","Recommended","DSM total score","","",""
"dsm_si","Integer","","Recommended","Social Impairment","0::2","0=No; all items marked No; 1= Partial; at least 1 item marked Partial; 2= Significant; at least 1 item marked Yes",""
"dsm_ci","Integer","","Recommended","Communication Impairment","0::2","0=No; all items marked No; 1= Partial; at least 1 item marked Partial; 2= Significant; at least 1 item marked Yes",""
"dsm_bi","Integer","","Recommended","Behaviors Impairment","0::2","0=No; all items marked No; 1= Partial; at least 1 item marked Partial; 2= Significant; at least 1 item marked Yes",""
"sofas_currscore","Integer","","Recommended","SOFAS (Social and Occupational Functioning Assessment Scale) current score","0::100","0-10=Persistent inability to maintain minimal personal hygiene, unable to function without harming self or others without considerable external support; 11-20=Occasionally fails to maintain minimal personal hygiene. Unable to function independently; 21-30=Inability to function in almost all areas; 31-40=Major impairment in several areas such as work, school, or housework if a housewife/househusband, family relationships; 41-50=Serious impairment with work, school, or housework if a housewife; 51-60=Moderate difficulty in social, work, or school functioning; 61-70=Some difficulty in social, occupational, or school functioning; 71-80=No more than slight impairment in social, work, or school functioning; 81-90=Good functioning in all areas, occupationally and socially effective; 91-100=Superior functioning in a wide range of activities","sofas_01,sofas_1,sofas_rating"
"sofas_highscore","Integer","","Recommended","SOFAS (Social and Occupational Functioning Assessment Scale) Highest score in past year","0::100","","sofas_02,sofas_3"
"sofas_lowscore","Integer","","Recommended","SOFAS (Social and Occupational Functioning Assessment Scale) Lowest score in past year","0::100","","sofas_03,sofas_2"
"dataquality","Integer","","Recommended","Data quality","0::5","0=No data (cancelled); 1=Data entered but only once, has missing data; 2=Data entered but only once, no missing data; 3=Double entered; 4=Data frozen for cleaning; 5=Data clean/locked",""
"elig_inclusion_check","Integer","","Recommended","Checks for a pass/fail on Elig for Inclusion","0::3","0=Failed (Ineligible); 1=Passed (Eligible); 2=In screening; 3=NA",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily","visitlabel"
"visit_name","String","20","Recommended","session ID/screening ID","","","visitnumber"
"subjecttype","String","20","Recommended","Subject Type","Control;Prodromal; Enhanced; Non-Enhanced","",""
"sofas_4","Integer","","Recommended","Global Role Functioning -Role Assessed","1::10","1=School, 2=Work, 3=Homemaker, 4=Part-time School + Part-time Work",""
