"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"dsos1","Integer","","Recommended","How sexually attractive do you find male bodies?","0::100;888","0= Not attractive; 100= Very attractive; 888 = Not Applicable",""
"dsos2","Integer","","Recommended","How esthetically pleasing do you find male bodies?","0::100;888","0= Not pleasing; 100= Very pleasing; 888 = Not Applicable",""
"dsos3","Integer","","Recommended","How often are you sexually aroused by men?","0::100;888","0= Never; 100= All of the time; 888 = Not Applicable",""
"dsos4","Integer","","Recommended","How often are you romantically attracted to men?","0::100;888","0= Never; 100= All of the time; 888 = Not Applicable",""
"dsos5","Integer","","Recommended","How much do you enjoy being in a committed romantic relationship with a man?","0::100;888","0=Not at all; 100= Very much; 888 = Not Applicable",""
"dsos6","Integer","","Recommended","How much do you enjoy feeling emotionally close to men?","0::100;888","0=Not at all; 100= Very much; 888 = Not Applicable",""
"dsos7","Integer","","Recommended","What is the probability that you will marry a man?","0::100;888","0= Very unlikely; 100= Very likely; 888 = Not Applicable",""
"dsos8","Integer","","Recommended","How often do you fantasize about sexual contact with men?","0::100;888","0= Never; 100= Frequently; 888 = Not Applicable",""
"dsos9","Integer","","Recommended","Would you be willing to go out on a date with a man?","0::100;888","0= Very unwilling; 100= Very willing; 888 = Not Applicable",""
"dsos10","Integer","","Recommended","How often do you daydream about relationships with men?","0::100;888","0= Never; 100= Frequently; 888 = Not Applicable",""
"dsos11","Integer","","Recommended","How sexually attractive do you find female bodies?","0::100;888","0= Not attractive; 100= Very attractive; 888 = Not Applicable",""
"dsos12","Integer","","Recommended","How esthetically pleasing do you find female bodies?","0::100;888","0= Not pleasing; 100= Very pleasing; 888 = Not Applicable",""
"dsos13","Integer","","Recommended","How often are you sexually aroused by women?","0::100;888","0= Never; 100= All of the time; 888 = Not Applicable",""
"dsos14","Integer","","Recommended","How often are you romantically attracted to women?","0::100;888","0= Never; 100= All of the time; 888 = Not Applicable",""
"dsos15","Integer","","Recommended","How much do you enjoy being in a committed romantic relationship with a woman?","0::100;888","0=Not at all; 100= Very much; 888 = Not Applicable",""
"dsos16","Integer","","Recommended","How much do you enjoy feeling emotionally close to women?","0::100;888","0=Not at all; 100= Very much; 888 = Not Applicable",""
"dsos17","Integer","","Recommended","What is the probability that you will marry a woman?","0::100;888","0= Very unlikely; 100= Very likely; 888 = Not Applicable",""
"dsos18","Integer","","Recommended","How often do you fantasize about sexual contact with women?","0::100;888","0= Never; 100= Frequently; 888 = Not Applicable",""
"dsos19","Integer","","Recommended","Would you be willing to go out on a date with a woman?","0::100;888","0= Very unwilling; 100= Very willing; 888 = Not Applicable",""
"dsos20","Integer","","Recommended","How often do you daydream about relationships with women?","0::100;888","0= Never; 100= Frequently; 888 = Not Applicable",""
