"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dtdd_1","Integer","","Recommended","I tend to manipulate others to get my way.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_2","Integer","","Recommended","I have used deceit or lied to get my way.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_3","Integer","","Recommended","I have use flattery to get my way.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_4","Integer","","Recommended","I tend to exploit others towards my own end.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_5","Integer","","Recommended","I tend to lack remorse.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_6","Integer","","Recommended","I tend to not be too concerned with morality or the morality of my actions.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_7","Integer","","Recommended","I tend to be callous or insensitive.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_8","Integer","","Recommended","I tend to be cynical.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_9","Integer","","Recommended","I tend to want others to admire me.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_10","Integer","","Recommended","I tend to want others to pay attention to me.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_11","Integer","","Recommended","I tend to seek prestige or status.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_12","Integer","","Recommended","I tend to expect special favors from others.","1::7","1 =Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree",""
"dtdd_m","Float","","Recommended","Dark Triad Dirty Dozen - Machiavellianism subscale score","4::28;999","Sum items dtdd_1 to dtdd_4; 999 = Missing",""
"dtdd_p","Float","","Recommended","Dark Triad Dirty Dozen - Psychopathy subscale score","4::28;999","Sum items dtdd_5 to dtdd_8; 999 = Missing",""
"dtdd_n","Float","","Recommended","Dark Triad Dirty Dozen - Narcissism subscale score","4::28;999","Sum items dtdd_9 to dtdd_12; 999 = Missing",""
"dtdd_total","Float","","Recommended","Dark Triad Dirty Dozen - Total Score","12::84;999","Sum all items dtdd_1 to dtdd_12; 999 = Missing",""
