"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"dusid1","Integer","","Recommended","Have you ever had a craving or very stong desire for alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r1"
"midusii66d","Integer","","Recommended","d. Did you find that you had to use more alcohol than usual to get the same effect or that the same amount had less effect on you than before?","0;1","0= No; 1= Yes",""
"dusid3","Integer","","Recommended","Have you ever felt that you could not control your alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r3"
"dusid4","Integer","","Recommended","Have you ever felt that you were ""hooked"" on alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r4"
"dusi18","Integer","","Recommended","Have you ever missed out on activities because you spent too much money on drugs or alcohol?","0; 1; 999","0 = No; 1 = Yes","dusi_r5,dusid5"
"dusid6","Integer","","Recommended","Did you ever break rules, miss curfew, or break the law because you were high on alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r6"
"dusid7","Integer","","Recommended","Do you change rapidly from very happy to very sad or from very sad to very happy because of drugs?","0;1","0 = No; 1 = Yes","dusi_r7"
"dusid8","Integer","","Recommended","Have you ever had a car accident after using alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r8"
"dusid9","Integer","","Recommended","Have you ever accidentally hurt yourself or someone else after using alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r9"
"dusid10","Integer","","Recommended","Have you ever had a serious argument or fight with a friend or a family member because of your drinking or drug use?","0;1","0 = No; 1 = Yes","dusi_r10"
"dusid11","Integer","","Recommended","Have you ever had trouble getting along with any of your friends because of alcohol or drug use?","0;1","0 = No; 1 = Yes","dusi_r11"
"dusi_12","Integer","","Recommended","Have you experienced any withdrawal symptoms following use of alcohol or drugs (e.g., headaches, nausea, vomiting, shaking)?","0;1","0 = No; 1 = Yes","dusi_r12,dusid12"
"dusid13","Integer","","Recommended","Have you ever had a problem remembering what you had done while you were under the effects of drug or alcohol?","0;1","0 = No; 1 = Yes","dusi_r13"
"dusi_14","Integer","","Recommended","Did you like to play drinking games when you went to parties?","0;1","0 = No; 1 = Yes",""
"dusid15","Integer","","Recommended","Do you have trouble resisting using alcohol or drugs?","0;1","0 = No; 1 = Yes","dusi_r15"
"dusi_16","Integer","","Recommended","Do you argue a lot?","0;1","0 = No; 1 = Yes",""
"dusi_17","Integer","","Recommended","Do you brag a lot?","0;1","0 = No; 1 = Yes",""
"dusi_18","Integer","","Recommended","Do you tease or do harmful things to animals?","0;1","0 = No; 1 = Yes",""
"dusi_19","Integer","","Recommended","Do you yell a lot?","0;1","0 = No; 1 = Yes","dusi_r20,dusid20"
"dusi_20","Integer","","Recommended","Are you stubborn?","0;1","0 = No; 1 = Yes",""
"prodq18tf","Integer","","Recommended","Do you find yourself feeling mistrustful or suspicious of other people?","0;1;-9","0= No; 1= Yes; -9= Missing",""
"dusi_22","Integer","","Recommended","Do you swear or use dirty language a lot?","0;1","0 = No; 1 = Yes",""
"dusi_23","Integer","","Recommended","Do you tease others a lot?","0;1","0 = No; 1 = Yes",""
"npii01","Integer","","Recommended","Does subject have a bad temper, flying off the handle easily over little things?","0;1","0=No; 1=Yes",""
"dusi_25","Integer","","Recommended","Are you very shy?","0;1","0 = No; 1 = Yes",""
"dusi_26","Integer","","Recommended","Do you threaten to hurt people?","0;1","0 = No; 1 = Yes",""
"dusi_27","Integer","","Recommended","Do you talk louder than other kids?","0;1","0 = No; 1 = Yes",""
"dusi_28","Integer","","Recommended","Are you easily upset?","0;1","0 = No; 1 = Yes",""
"dusi_29","Integer","","Recommended","Do you do things a lot without first thinking about the consequences?","0;1","0 = No; 1 = Yes",""
"dusi_30","Integer","","Recommended","Do you do risky or dangerous things a lot?","0;1","0 = No; 1 = Yes",""
"dusi_31","Integer","","Recommended","Do you take advantage of people if you can?","0;1","0 = No; 1 = Yes",""
"dusi_32","Integer","","Recommended","Do you generally feel angry?","0;1","0 = No; 1 = Yes",""
"dusi_33","Integer","","Recommended","Do you spend most of your free time by yourself?","0;1","0 = No; 1 = Yes",""
"dusi_34","Integer","","Recommended","Are you a loner?","0;1","0 = No; 1 = Yes",""
"spmc_emotional07","Integer","","Recommended","Highly sensitive; can't take criticism","0;1","0 = No; 1 = Yes",""
"dusi_36","Integer","","Recommended","Have you had a physical exam or been under a doctor's care in the last year?","0;1","0 = No; 1 = Yes",""
"dusi_37","Integer","","Recommended","Have you had any accidents or injuries that still bother you?","0;1","0 = No; 1 = Yes","dusid39"
"dusi_38","Integer","","Recommended","Do you sleep either too much or too little?","0;1","0 = No; 1 = Yes",""
"dusi_39","Integer","","Recommended","Have you recently either lost or gained more than 10 pounds?","0;1","0 = No; 1 = Yes",""
"dusi_40","Integer","","Recommended","Do you have less energy than you think you should have?","0;1","0 = No; 1 = Yes",""
"dusi_41","Integer","","Recommended","Do you have trouble with your breathing or with coughing?","0;1","0 = No; 1 = Yes",""
"dusi_42","Integer","","Recommended","Do you have any concerns about sex or your sex organs?","0;1","0 = No; 1 = Yes",""
"dusi_43","Integer","","Recommended","Have you ever had sex with someone who shot up drugs?","0;1","0 = No; 1 = Yes","dusi_r45,dusid45"
"dusi_44","Integer","","Recommended","Have you had trouble with abdominal pain or nausea in the past year?","0;1","0 = No; 1 = Yes",""
"dusi_45","Integer","","Recommended","Have your eyewhites every turned yellow?","0;1","0 = No; 1 = Yes",""
"dusi_46","Integer","","Recommended","Have you ever intentionally damaged someone else's property?","0;1","0 = No; 1 = Yes","dusi_r49,dusid49"
"dusi_47","Integer","","Recommended","Have you stolen things on several occasions?","0;1","0 = No; 1 = Yes",""
"dusi_48","Integer","","Recommended","Have you gotten into more fights than most kids?","0;1","0 = No; 1 = Yes",""
"dusi_49","Integer","","Recommended","Are you a fidgety person?","0;1","0 = No; 1 = Yes",""
"spmc_emotional03","Integer","","Recommended","Can't sit still, hyperactive","0;1","0 = No; 1 = Yes",""
"spmc_emotional02","Integer","","Recommended","Easily frustrated or anxious","0;1","0 = No; 1 = Yes",""
"medprob_psyta","String","50","Recommended","Trouble with attention or concentration","Yes;No","0 = No; 1 = Yes",""
"t_mde_92","Integer","","Recommended","Do you/she feel these sad, depressed feelings today?","0;1","No = 0; Yes = 1",""
"vine_mal_bitesfngr","Integer","","Recommended","Bites fingernails.","0;1;2;999","0 = No, never; 1 = Sometimes or partially; 2 = Yes, usually; 999 = Missing value",""
"child_sleep2","Integer","","Recommended","Do you think you have trouble sleeping?","0;1","0=No; 1=Yes",""
"dusi_56","Integer","","Recommended","Are you nervous?","0;1","0 = No; 1 = Yes",""
"dusi_57","Integer","","Recommended","Do you get easily frightened?","0;1","0 = No; 1 = Yes",""
"dusi_58","Integer","","Recommended","Do you worry a lot?","0;1","0 = No; 1 = Yes",""
"dusi_59","Integer","","Recommended","Do you have trouble getting your mind off things?","0;1","0 = No; 1 = Yes",""
"dusi_60","Integer","","Recommended","Do people stare at you?","0;1","0 = No; 1 = Yes",""
"dusi_61","Integer","","Recommended","Do you hear things that no one else around you hears?","0;1","0 = No; 1 = Yes",""
"schiz1f","Integer","","Recommended","Have you believed that you have some kind of special powers that make it possible for you to do things no one else can do?","0::2","0= No; 1= Sometimes/ Somewhat; 2= Yes",""
"dusi_63","Integer","","Recommended","Are you afraid to be around people?","0;1","0 = No; 1 = Yes",""
"dusi_64","Integer","","Recommended","Do you often feel like you want to cry?","0;1","0 = No; 1 = Yes",""
"dusi_65","Integer","","Recommended","Do you have so much energy that you don't know what to do with yourself?","0;1","0 = No; 1 = Yes","dusi_r68,dusid68"
"dusi_66","Integer","","Recommended","Do kids your own age dislike you?","0;1","0 = No; 1 = Yes",""
"dusi_67","Integer","","Recommended","Are you usually unhappy with how well you do in activities with your friends?","0;1","0 = No; 1 = Yes",""
"dusi_68","Integer","","Recommended","Is it difficult to make friends in a new group?","0;1","0 = No; 1 = Yes",""
"mpqbf30","Integer","","Recommended","People often try to take advantage of me.","0;1","0=False; 1=True",""
"dusi_70","Integer","","Recommended","Are you afraid to stand up for your rights?","0;1","0 = No; 1 = Yes",""
"dusi_71","Integer","","Recommended","Is it hard for you to ask for help from others?","0;1","0 = No; 1 = Yes",""
"dusi_72","Integer","","Recommended","Are you easily influenced by other kids?","0;1","0 = No; 1 = Yes",""
"dusi_73","Integer","","Recommended","Do you prefer doing things with kids much older than you?","0;1","0 = No; 1 = Yes",""
"dusi_74","Integer","","Recommended","Do you worry about how your actions will affect others?","0;1","0 = No; 1 = Yes",""
"dusi_75","Integer","","Recommended","Do you have difficulty standing up for your opinions?","0;1","0 = No; 1 = Yes",""
"dusi_76","Integer","","Recommended","Do you have trouble saying ""no"" to people?","0;1","0 = No; 1 = Yes",""
"dusi_77","Integer","","Recommended","Do you feel uncomfortable if someone gives you a compliment?","0;1","0 = No; 1 = Yes",""
"dusi_78","Integer","","Recommended","Do people see you as not being a friendly person?","0;1","0 = No; 1 = Yes",""
"dusi_79","Integer","","Recommended","Do you avoid eye contact when talking to people?","0;1","0 = No; 1 = Yes",""
"dusi_80","Integer","","Recommended","Has a member of your family (mother, father, brother or sister) ever used  marijuana or cocaine?","0;1","0 = No; 1 = Yes",""
"dusi_81","Integer","","Recommended","Has a member of your family used alcohol to the point of causing problems at home, at work, or with friends?","0;1","0 = No; 1 = Yes","dusi_r86,dusid86"
"crysis14","Integer","","Recommended","Did anyone in your family get arrested?","0;1","0 = No; 1 = Yes",""
"dusi_83","Integer","","Recommended","Do you have frequent arguments with your parents or guardians which involve yelling and screaming?","0;1","0 = No; 1 = Yes",""
"dusi_84","Integer","","Recommended","Does your family hardly ever do things together?","0;1","0 = No; 1 = Yes",""
"dusi_85","Integer","","Recommended","Are your parents or guardians unaware of your likes and dislikes?","0;1","0 = No; 1 = Yes",""
"dusi_86","Integer","","Recommended","Are there no clear rules about what you can and cannot do?","0;1","0 = No; 1 = Yes",""
"dusi_87","Integer","","Recommended","Are your parents or guardians unaware of what you really think or feel about things that are important to you?","0;1","0 = No; 1 = Yes",""
"dusi_88","Integer","","Recommended","Do your parents or guardians argue a lot with each other?","0;1","0 = No; 1 = Yes",""
"dusi_89","Integer","","Recommended","Are your parents or guardians often unaware of where you are and what you are doing?","0;1","0 = No; 1 = Yes",""
"dusi_90","Integer","","Recommended","Are your parents or guardians away from home most of the time?","0;1","0 = No; 1 = Yes",""
"dusi_91","Integer","","Recommended","Do you feel that either of your parents or guardians don't care about you?","0;1","0 = No; 1 = Yes",""
"dusi_92","Integer","","Recommended","Are you unhappy about your living arrangements?","0;1","0 = No; 1 = Yes",""
"dusi_93","Integer","","Recommended","Do you feel in danger at home?","0;1","0 = No; 1 = Yes",""
