"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","CandidateGUID,GUID"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","IBISID"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","Date_taken,EDIdate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","Candidate_Age_in_Months,EDIagemo"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"edi01","Integer","","Recommended",""" 1. Difficult to hold, cuddle? (no molding to body)  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI1_NDAR"
"edi02","Integer","","Recommended",""" 2. Exceptionally fussy, difficult to soothe? (not related   to colic)""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI2_NDAR"
"edi03","Integer","","Recommended",""" 3. Exceptionally easy baby, content doing own thing?  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI3_NDAR"
"edi04","Integer","","Recommended",""" 4. Overly sensitive/lack of sensitivity to noise, tactile   input?  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI4_NDAR"
"edi05","Integer","","Recommended","5. Sleeping problems?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI5_NDAR"
"edi06","Integer","","Recommended",""" 6. Feeding problems? (sucking problems, choking,   regurgitation, arching, anxiousness, refusal to feed)""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI6_NDAR"
"edi07","Integer","","Recommended",""" 7. Oddities in muscle tone? (low tone/floppy, high tone,  combination)""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI7_NDAR"
"edi08ot","String","50","Recommended","8oth. Other concerns (text)","","",""
"edi08","Integer","","Recommended","8. Anything else that gave you concern? (write in)","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI8_NDAR"
"edi09","Integer","","Recommended",""" 9. Difficult to hold, cuddle? (no molding to body)  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI9_NDAR"
"edi10","Integer","","Recommended",""" 10. Exceptionally fussy, difficult to soothe? (not related  to colic)""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI10_NDAR"
"edi11","Integer","","Recommended","11. Exceptionally easy baby (content doing own thing)?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI11_NDAR"
"edi12","Integer","","Recommended",""" 12. Overly sensitive/lack of sensitivity to noise, tactile  input? ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI12_NDAR"
"edi13","Integer","","Recommended","13. Sleeping problems?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI13_NDAR"
"edi14","Integer","","Recommended",""" 14. Feeding problems? (sucking problems, choking,   regurgitation, arching, anxiousness, refusal to feed)""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI14_NDAR"
"edi15","Integer","","Recommended",""" 15. Oddities in muscle tone? (low tone/floppy, high  tone, combination)""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI15_NDAR"
"edi16","Integer","","Recommended","16. Lack of smiling at people?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI16_NDAR"
"edi17","Integer","","Recommended","17. Exceptionally long attention span for nonsocial   things?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI17_NDAR"
"edi18","Integer","","Recommended","18. Exceptionally long attention span for social things  (i.e. watching people)?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI18_NDAR"
"edi19ot","String","50","Recommended","19oth. Other concerns (text)","","",""
"edi19","Integer","","Recommended","19. Anything else that gave you concern? (write in)","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI19_NDAR"
"edi20","Integer","","Recommended",""" 20. Difficult to hold, cuddle? (no molding to body)  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI20_NDAR"
"edi21","Integer","","Recommended",""" 21. Exceptionally fussy, difficult to soothe?  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI21_NDAR"
"edi22","Integer","","Recommended","22. Exceptionally easy baby (content doing own thing)?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI22_NDAR"
"edi23","Integer","","Recommended",""" 23. Overly sensitive/lack of sensitivity to noise, tactile  input? ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI23_NDAR"
"edi24","Integer","","Recommended","24. Sleeping problems?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI24_NDAR"
"edi25","Integer","","Recommended",""" 25. Feeding problems? (sucking problems, choking,  regurgitation, arching, anxiousness, refusal to feed)  ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI25_NDAR"
"edi26","Integer","","Recommended",""" 26. Oddities in muscle tone? (low tone/floppy, high  tone, combination) ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI26_NDAR"
"edi27","Integer","","Recommended","27. Lack of smiling at people?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI27_NDAR"
"edi28","Integer","","Recommended","28. Difficult to catch his/her eye?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI28_NDAR"
"edi29","Integer","","Recommended","29. Lack of orienting to name?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI29_NDAR"
"edi30","Integer","","Recommended","30. Failure to use vocalizations socially?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI30_NDAR"
"edi31","Integer","","Recommended","31. Exceptionally long attention span for nonsocial  things?","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI31_NDAR"
"edi32","Integer","","Recommended",""" 32. Exceptionally long attention span for social things   (i.e. watching people, social games)? ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI32_NDAR"
"edi33ot","String","50","Recommended","33oth. Other concerns (text)","","",""
"edi33","Integer","","Recommended","33. Anything else that gave you concern? (write in)","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI33_NDAR"
"edi31b","Integer","","Recommended",""" 31. Overly sensitive/lack of sensitivity to noise, tactile  input, other sensory input? ""","","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI34_NDAR"
"edi32b","Integer","","Recommended","32. Sleeping problems?","","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI35_NDAR"
"edi33b","Integer","","Recommended",""" 33. Oddities in muscle tone? (low tone/floppy, high   tone, combination)""","","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI36_NDAR"
"edi34","Integer","","Recommended",""" 34. Repetitive/stereotyped motor movements?   (rocking, banging, standing on toes, etc.) ""","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI37_NDAR"
"edi35","Integer","","Recommended","35. Excessive mouthing? (frequent mouthing when not   teething)","0;1;2;9","0 = No; 1 = Possible; 2 = Definite; 9 = Not answered","EDI38_NDAR"
