"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"totaltrials","Integer","","Recommended","Total # Trials","","",""
"totaldifficulttrials","Integer","","Recommended","Total # Difficult Trials Chosen (across all bins)","","",""
"reward3","Float","","Recommended","Percent Hard Reward $3","0::100","",""
"reward4","Float","","Recommended","Percent Hard Reward $4","0::100","",""
"reward5","Float","","Recommended","Percent Hard Reward $5","0::100","",""
"reward6","Float","","Recommended","Percent Hard Reward $6","0::100","",""
"reward7","Float","","Recommended","Percent Hard Reward $7","0::100","",""
"choice_7_100_50","Float","","Recommended","Percent Hard: Reward $7, Effort level 100, Probability 50","0::100","",""
"choice_7_200_50","Float","","Recommended","Percent Hard: Reward $7, Effort level 200, Probability 50","0::100","",""
"choice_3_50_100","Float","","Recommended","Percent Hard: Reward $3, Effort level 50, Probability 100","0::100","",""
"choice_3_100_100","Float","","Recommended","Percent Hard: Reward $3, Effort level 100, Probability 100","0::100","",""
"choice_3_200_100","Float","","Recommended","Percent Hard: Reward $3, Effort level 200, Probability 100","0::100","",""
"choice_5_50_100","Float","","Recommended","Percent Hard: Reward $5, Effort level 50, Probability 100","0::100","",""
"choice_5_100_100","Float","","Recommended","Percent Hard: Reward $5, Effort level 100, Probability 100","0::100","",""
"choice_5_200_100","Float","","Recommended","Percent Hard: Reward $5, Effort level 200, Probability 100","0::100","",""
"choice_7_50_100","Float","","Recommended","Percent Hard: Reward $7, Effort level 50, Probability 100","0::100","",""
"choice_7_100_100","Float","","Recommended","Percent Hard: Reward $7, Effort level 100, Probability 100","0::100","",""
"choice_7_200_100","Float","","Recommended","Percent Hard: Reward $7, Effort level 200, Probability 100","0::100","",""
"choice_3_50_50","Float","","Recommended","Percent Hard: Reward $3, Effort level 50, Probability 50","0::100","",""
"choice_3_100_50","Float","","Recommended","Percent Hard: Reward $3, Effort level 100, Probability 50","0::100","",""
"choice_3_200_50","Float","","Recommended","Percent Hard: Reward $3, Effort level 200, Probability 50","0::100","",""
"choice_5_50_50","Float","","Recommended","Percent Hard: Reward $5, Effort level 50, Probability 50","0::100","",""
"choice_5_100_50","Float","","Recommended","Percent Hard: Reward $5, Effort level 100, Probability 50","0::100","",""
"choice_5_200_50","Float","","Recommended","Percent Hard: Reward $5, Effort level 200, Probability 50","0::100","",""
"choice_7_50_50","Float","","Recommended","Percent Hard: Reward $7, Effort level 50, Probability 50","0::100","",""
