"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"experiment_id","Integer","","Required","ID for the Experiment/settings/run","","",""
"experiment_description","String","4000","Recommended","Description of experiment/sequence/event","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"system_manufacturer_pd","String","30","Recommended","Physiology data collection system manufacturer name","","",""
"system_type_pd","String","50","Recommended","Physiology data collection model number / type / version","","","systemid"
"system_software_versions_pd","String","100","Recommended","Physiology data collection software manufacturer, name, model / type / version","","",""
"data_file1","File","255","Required","Data file 1","","",""
"data_file1_type","String","300","Recommended","type of data file 1","","",""
"data_file1_samprate","Float","","Recommended","Sampling rate of majority of data channels in file, in samples / second","","",""
"chan1_type","String","50","Recommended","Type of physiology data (or Time, Digital Input, Computed Channel, etc.) collected on channel 1 of data file","","",""
"chan1_amp","String","50","Recommended","Amplifier model / version used to collect channel 1 data","","",""
"chan1_settings","String","1000","Recommended","Settings used on channel 1 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan1_sensors","String","1000","Recommended","Sensors used to collect channel 1 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan1_leads","String","1000","Recommended","Leads used to connect channel 1 sensors to channel 1 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
"chan1_samprate","Float","","Recommended","Sampling rate of channel 1 data collection in samples / second","","",""
"chan1_units","String","20","Recommended","Units of measure for channel 1","","milliseconds, Volts, mV, uV, uSiemens, SpO2 percentage, etc.",""
"chan2_type","String","50","Recommended","Type of physiology data (or Digital Input, Computed Channel, etc.) collected on channel 2 of data file","","",""
"chan2_amp","String","50","Recommended","Amplifier model / version used to collect channel 2 data","","",""
"chan2_settings","String","1000","Recommended","Settings used on channel 2 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan2_sensors","String","1000","Recommended","Sensors used to collect channel 2 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan2_leads","String","1000","Recommended","Leads used to connect channel 2 sensors to channel 2 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
"chan2_samprate","Float","","Recommended","Sampling rate of channel 2 data collection in samples / second","","",""
"chan2_units","String","20","Recommended","Units of measure for channel 2","","Volts, mV, uV, uSiemens, SpO2 percentage, etc.",""
"chan3_type","String","50","Recommended","Type of physiology data (or Digital Input, Computed Channel, etc.) collected on channel 3 of data file","","",""
"chan3_amp","String","50","Recommended","Amplifier model / version used to collect channel 3 data","","",""
"chan3_settings","String","1000","Recommended","Settings used on channel 3 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan3_sensors","String","1000","Recommended","Sensors used to collect channel 3 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan3_leads","String","1000","Recommended","Leads used to connect channel 3 sensors to channel 3 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
"chan3_samprate","Float","","Recommended","Sampling rate of channel 3 data collection in samples / second","","",""
"chan3_units","String","20","Recommended","Units of measure for channel 3","","Volts, mV, uV, uSiemens, SpO2 percentage, etc.",""
"chan4_type","String","50","Recommended","Type of physiology data (or Digital Input, Computed Channel, etc.) collected on channel 4 of data file","","",""
"chan4_amp","String","50","Recommended","Amplifier model / version used to collect channel 4 data","","",""
"chan4_settings","String","1000","Recommended","Settings used on channel 4 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan4_sensors","String","1000","Recommended","Sensors used to collect channel 4 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan4_leads","String","1000","Recommended","Leads used to connect channel 4 sensors to channel 4 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
"chan4_samprate","Float","","Recommended","Sampling rate of channel 4 data collection in samples / second","","",""
"chan4_units","String","20","Recommended","Units of measure for channel 4","","Volts, mV, uV, uSiemens, SpO2 percentage, etc.",""
"chan5_type","String","50","Recommended","Type of physiology data (or Digital Input, Computed Channel, etc.) collected on channel 5 of data file","","",""
"chan5_amp","String","50","Recommended","Amplifier model / version used to collect channel 5 data","","",""
"chan5_settings","String","1000","Recommended","Settings used on channel 5 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan5_sensors","String","1000","Recommended","Sensors used to collect channel 5 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan5_leads","String","1000","Recommended","Leads used to connect channel 5 sensors to channel 5 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
"chan5_samprate","Float","","Recommended","Sampling rate of channel 5 data collection in samples / second","","",""
"chan5_units","String","20","Recommended","Units of measure for channel 5","","Volts, mV, uV, uSiemens, SpO2 percentage, etc.",""
"chan6_type","String","50","Recommended","Type of physiology data (or Digital Input, Computed Channel, etc.) collected on channel 6 of data file","","",""
"chan6_amp","String","50","Recommended","Amplifier model / version used to collect channel 6 data","","",""
"chan6_settings","String","1000","Recommended","Settings used on channel 6 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan6_sensors","String","1000","Recommended","Sensors used to collect channel 6 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan6_leads","String","1000","Recommended","Leads used to connect channel 6 sensors to channel 6 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
"chan6_samprate","Float","","Recommended","Sampling rate of channel 6 data collection in samples / second","","",""
"chan6_units","String","20","Recommended","Units of measure for channel 6","","Volts, mV, uV, uSiemens, SpO2 percentage, etc.",""
"chan7_type","String","50","Recommended","Type of physiology data (or Digital Input, Computed Channel, etc.) collected on channel 7 of data file","","",""
"chan7_amp","String","50","Recommended","Amplifier model / version used to collect channel 7 data","","",""
"chan7_settings","String","1000","Recommended","Settings used on channel 7 amplifier / circuit / software (gain, low- and high-pass filter settings, hardware channel ID, etc.)","","",""
"chan7_sensors","String","1000","Recommended","Sensors used to collect channel 7 data (sensor type, model number, disposable or reusable, age / number of times used, gel type / name, sensor placement, etc.)","","",""
"chan7_leads","String","1000","Recommended","Leads used to connect channel 7 sensors to channel 7 amplifier (lead and cable type / model, lead and cable length, lead age / number of uses, pass-through type, etc.)","","",""
