"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ec01","Integer","","Recommended","On a scale from 0-10, how similar are the emotions ANGER and DISGUST?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec02","Integer","","Recommended","On a scale from 0-10, how similar are the emotions ANGER and HAPPINESS?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec03","Integer","","Recommended","On a scale from 0-10, how similar are the emotions ANGER and SADNESS?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec04","Integer","","Recommended","On a scale from 0-10, how similar are the emotions ANGER and FEAR?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec05","Integer","","Recommended","On a scale from 0-10, how similar are the emotions ANGER and SURPRISE?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec06","Integer","","Recommended","On a scale from 0-10, how similar are the emotions DISGUST and HAPPINESS?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec07","Integer","","Recommended","On a scale from 0-10, how similar are the emotions DISGUST and SADNESS?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec08","Integer","","Recommended","On a scale from 0-10, how similar are the emotions DISGUST and FEAR?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec09","Integer","","Recommended","On a scale from 0-10, how similar are the emotions SURPRISE and DISGUST?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec_10","Integer","","Recommended","On a scale from 0-10, how similar are the emotions SADNESS and HAPPINESS?","0 :: 10","0 = Not at all; 10 = Extremely","ec10"
"ec_11","Integer","","Recommended","On a scale from 0-10, how similar are the emotions HAPPINESS and FEAR?","0 :: 10","0 = Not at all; 10 = Extremely","ec11"
"ec_12","Integer","","Recommended","On a scale from 0-10, how similar are the emotions SURPRISE and HAPPINESS?","0 :: 10","0 = Not at all; 10 = Extremely","ec12"
"ec_13","Integer","","Recommended","On a scale from 0-10, how similar are the emotions SADNESS and FEAR?","0 :: 10","0 = Not at all; 10 = Extremely","ec13"
"ec_14","Integer","","Recommended","On a scale from 0-10, how similar are the emotions SADNESS and SURPRISE?","0 :: 10","0 = Not at all; 10 = Extremely","ec14"
"ec_15","Integer","","Recommended","On a scale from 0-10, how similar are the emotions SURPRISE and FEAR?","0 :: 10","0 = Not at all; 10 = Extremely","ec15"
"ec_16","Integer","","Recommended","On a scale from 0-10, how related is ""Smiling"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec16"
"ec_17","Integer","","Recommended","On a scale from 0-10, how related is ""Nausea"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec17"
"ec_18","Integer","","Recommended","On a scale from 0-10, how related is ""Yelling"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec18"
"ec_19","Integer","","Recommended","On a scale from 0-10, how related is ""Shaking"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec19"
"ec_20","Integer","","Recommended","On a scale from 0-10, how related is ""Shock"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec20"
"ec_21","Integer","","Recommended","On a scale from 0-10, how related is ""Heart racing"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec21"
"ec_22","Integer","","Recommended","On a scale from 0-10, how related is ""Grossness"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec22"
"ec_23","Integer","","Recommended","On a scale from 0-10, how related is ""Frowning"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec23"
"ec_24","Integer","","Recommended","On a scale from 0-10, how related is ""Jumping"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec24"
"ec_25","Integer","","Recommended","On a scale from 0-10, how related is ""Wide eyes"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec25"
"ec_26","Integer","","Recommended","On a scale from 0-10, how related is ""Upset"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec26"
"ec_27","Integer","","Recommended","On a scale from 0-10, how related is ""Vomiting"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec27"
"ec_28","Integer","","Recommended","On a scale from 0-10, how related is ""Laughing"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec28"
"ec_29","Integer","","Recommended","On a scale from 0-10, how related is ""Heat"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec29"
"ec_30","Integer","","Recommended","On a scale from 0-10, how related is ""Excitement"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec30"
"ec_31","Integer","","Recommended","On a scale from  0-10, how related is ""Sweating"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec31"
"ec_32","Integer","","Recommended","On a scale from 0-10, how related is ""Sickness"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec32"
"ec_33","Integer","","Recommended","On a scale from 0-10, how related is ""Loving"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec33"
"ec_34","Integer","","Recommended","On a scale from 0-10, how related is ""Depression"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec34"
"ec_35","Integer","","Recommended","On a scale from 0-10, how related is ""Calm"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec35"
"ec_36","Integer","","Recommended","On a scale from 0-10, how related is ""Tense"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec36"
"ec_37","Integer","","Recommended","On a scale from 0-10, how related is ""Avoidance"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec37"
"ec_38","Integer","","Recommended","On a scale from 0-10, how related is ""Slumping over"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely","ec38"
"ec39","Integer","","Recommended","On a scale from 0-10, how related is ""Screaming"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec40","Integer","","Recommended","On a scale from 0-10, how related is ""Clenching fists"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec41","Integer","","Recommended","On a scale from 0-10, how related is ""Lonely"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec42","Integer","","Recommended","On a scale from 0-10, how related is ""Pain"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec43","Integer","","Recommended","On a scale from 0-10, how related is ""Frustration"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec44","Integer","","Recommended","On a scale from 0-10, how related is ""Gasping"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec45","Integer","","Recommended","On a scale from 0-10, how related is ""Warmth"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec46","Integer","","Recommended","On a scale from 0-10, how related is ""Hiding"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec47","Integer","","Recommended","On a scale from 0-10, how related is ""Punching"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec48","Integer","","Recommended","On a scale from 0-10, how related is ""Anxious"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec49","Integer","","Recommended","On a scale from 0-10, how related is ""Headache"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec50","Integer","","Recommended","On a scale from 0-10, how related is ""Gagging"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec51","Integer","","Recommended","On a scale from 0-10, how related is ""Turning away"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec52","Integer","","Recommended","On a scale from 0-10, how related is ""Lethargic"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec53","Integer","","Recommended","On a scale from 0-10, how related is ""Jaw grinding"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec54","Integer","","Recommended","On a scale from 0-10, how related is ""Crying"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec55","Integer","","Recommended","On a scale from 0-10, how related is ""Rage"" to the emotion ""Anger""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec56","Integer","","Recommended","On a scale from 0-10, how related is ""Smiling"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec57","Integer","","Recommended","On a scale from 0-10, how related is ""Nausea"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec58","Integer","","Recommended","On a scale from 0-10, how related is ""Yelling"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec59","Integer","","Recommended","On a scale from 0-10, how related is ""Shaking"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec60","Integer","","Recommended","On a scale from 0-10, how related is ""Shock"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec61","Integer","","Recommended","On a scale from 0-10, how related is ""Heart racing"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec62","Integer","","Recommended","On a scale from 0-10, how related is ""Grossness"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec63","Integer","","Recommended","On a scale from 0-10, how related is ""Frowning"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec64","Integer","","Recommended","On a scale from 0-10, how related is ""Jumping"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec65","Integer","","Recommended","On a scale from 0-10, how related is ""Wide eyes"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec66","Integer","","Recommended","On a scale from 0-10, how related is ""Upset"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec67","Integer","","Recommended","On a scale from 0-10, how related is ""Vomiting"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec68","Integer","","Recommended","On a scale from 0-10, how related is ""Laughing"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec69","Integer","","Recommended","On a scale from 0-10, how related is ""Heat"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec70","Integer","","Recommended","On a scale from 0-10, how related is ""Excitement"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec71","Integer","","Recommended","On a scale from 0-10, how related is ""Sweating"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec72","Integer","","Recommended","On a scale from 0-10, how related is ""Sickness"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec73","Integer","","Recommended","On a scale from 0-10, how related is ""Loving"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec74","Integer","","Recommended","On a scale from 0-10, how related is ""Depression"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec75","Integer","","Recommended","On a scale from 0-10, how related is ""Calm"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec76","Integer","","Recommended","On a scale from 0-10, how related is ""Tense"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec77","Integer","","Recommended","On a scale from 0-10, how related is ""Avoidance"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec78","Integer","","Recommended","On a scale from 0-10, how related is ""Slumping over"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec79","Integer","","Recommended","On a scale from 0-10, how related is ""Screaming"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec80","Integer","","Recommended","On a scale from 0-10, how related is ""Clenching fists"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec81","Integer","","Recommended","On a scale from 0-10, how related is ""Lonely"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec82","Integer","","Recommended","On a scale from 0-10, how related is ""Pain"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec83","Integer","","Recommended","On a scale from 0-10, how related is ""Frustration"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec84","Integer","","Recommended","On a scale from  0-10, how related is ""Gasping"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec85","Integer","","Recommended","On a scale from 0-10, how related is ""Warmth"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec86","Integer","","Recommended","On a scale from 0-10, how related is ""Hiding"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec87","Integer","","Recommended","On a scale from 0-10, how related is ""Punching"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec88","Integer","","Recommended","On a scale from 0-10, how related is ""Anxious"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec89","Integer","","Recommended","On a scale from 0-10, how related is ""Headache"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec90","Integer","","Recommended","On a scale from 0-10, how related is ""Gagging"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec91","Integer","","Recommended","On a scale from 0-10, how related is ""Turning away"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec92","Integer","","Recommended","On a scale from 0-10, how related is ""Lethargic"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec93","Integer","","Recommended","On a scale from 0-10, how related is ""Jaw grinding"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec94","Integer","","Recommended","On a scale from 0-10, how related is ""Crying"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec95","Integer","","Recommended","On a scale from 0-10, how related is ""Rage"" to the emotion ""Fear""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec96","Integer","","Recommended","On a scale from 0-10, how related is ""Smiling"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec97","Integer","","Recommended","On a scale from 0-10, how related is ""Nausea"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec98","Integer","","Recommended","On a scale from 0-10, how related is ""Yelling"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec99","Integer","","Recommended","On a scale from 0-10, how related is ""Shaking"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec100","Integer","","Recommended","On a scale from 0-10, how related is ""Shock"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec101","Integer","","Recommended","On a scale from 0-10, how related is ""Heart racing"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec102","Integer","","Recommended","On a scale from 0-10, how related is ""Grossness"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec103","Integer","","Recommended","On a scale from 0-10, how related is ""Frowning"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec104","Integer","","Recommended","On a scale from 0-10, how related is ""Jumping"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec105","Integer","","Recommended","On a scale from 0-10, how related is ""Wide eyes"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec106","Integer","","Recommended","On a scale from 0-10, how related is ""Upset"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec107","Integer","","Recommended","On a scale from 0-10, how related is ""Vomiting"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec108","Integer","","Recommended","On a scale from 0-10, how related is ""Laughing"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec109","Integer","","Recommended","On a scale from 0-10, how related is ""Heat"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec110","Integer","","Recommended","On a scale from 0-10, how related is ""Excitement"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec111","Integer","","Recommended","On a scale from 0-10, how related is ""Sweating"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec112","Integer","","Recommended","On a scale from 0-10, how related is ""Sickness"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec113","Integer","","Recommended","On a scale from 0-10, how related is ""Loving"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec114","Integer","","Recommended","On a scale from 0-10, how related is ""Depression"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec115","Integer","","Recommended","On a scale from 0-10, how related is ""Calm"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec116","Integer","","Recommended","On a scale from 0-10, how related is ""Tense"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec117","Integer","","Recommended","On a scale from 0-10, how related is ""Avoidance"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec118","Integer","","Recommended","On a scale from 0-10, how related is ""Slumping over"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec119","Integer","","Recommended","On a scale from 0-10, how related is ""Screaming"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec120","Integer","","Recommended","On a scale from 0-10, how related is ""Clenching fists"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec121","Integer","","Recommended","On a scale from 0-10, how related is ""Lonely"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec122","Integer","","Recommended","On a scale from 0-10, how related is ""Pain"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec123","Integer","","Recommended","On a scale from 0-10, how related is ""Frustration"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec124","Integer","","Recommended","On a scale from 0-10, how related is ""Gasping"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec125","Integer","","Recommended","On a scale from 0-10, how related is ""Warmth"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec126","Integer","","Recommended","On a scale from 0-10, how related is ""Hiding"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec127","Integer","","Recommended","On a scale from 0-10, how related is ""Punching"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec128","Integer","","Recommended","On a scale from 0-10, how related is ""Anxious"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec129","Integer","","Recommended","On a scale from 0-10, how related is ""Headache"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec130","Integer","","Recommended","On a scale from 0-10, how related is ""Gagging"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec131","Integer","","Recommended","On a scale from 0-10, how related is ""Turning away"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec132","Integer","","Recommended","On a scale from 0-10, how related is ""Lethargic"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec133","Integer","","Recommended","On a scale from 0-10, how related is ""Jaw grinding"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec134","Integer","","Recommended","On a scale from 0-10, how related is ""Crying"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec135","Integer","","Recommended","On a scale from 0-10, how related is ""Rage"" to the emotion ""Disgust""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec136","Integer","","Recommended","On a scale from 0-10, how related is ""Smiling"" to the emotion ""Sadness""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec137","Integer","","Recommended","On a scale from 0-10, how related is ""Nausea"" to the emotion ""Sadness""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec138","Integer","","Recommended","On a scale from 0-10, how related is ""Yelling"" to the emotion ""Sadness""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec139","Integer","","Recommended","On a scale from 0-10, how related is ""Shaking"" to the emotion ""Sadness""?","0 :: 10","0 = Not at all; 10 = Extremely",""
"ec140","Integer","","Recommended","On a scale from 0-10, how related is ""Shock"" to the emotion ""Sadness""?","0 :: 10","0 = Not at all; 10 = Extremely",""
