"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eor_1","Integer","","Recommended","How effective have you been obtaining the following resources? Housing","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_2","Integer","","Recommended","How effective have you been obtaining the following resources? Material goods and services","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_3","Integer","","Recommended","How effective have you been obtaining the following resources? Education","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_4","Integer","","Recommended","How effective have you been obtaining the following resources? Employment","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_5","Integer","","Recommended","How effective have you been obtaining the following resources? Health care","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_6","Integer","","Recommended","How effective have you been obtaining the following resources? Childcare","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_7","Integer","","Recommended","How effective have you been obtaining the following resources? Transportation","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_8","Integer","","Recommended","How effective have you been obtaining the following resources? Social support","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_9","Integer","","Recommended","How effective have you been obtaining the following resources? Legal assistance","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_10","Integer","","Recommended","How effective have you been obtaining the following resources? Financial issues","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
"eor_11","Integer","","Recommended","How effective have you been obtaining the following resources? Issues regarding children","1::4","1= Very ineffective; 2= Ineffective; 3= Effective; 4= Very effective",""
