"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"eps_q1","Integer","","Recommended","How much did you feel like you were really in a cafeteria?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q2","Integer","","Recommended","How much did you feel like you were in school?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q3","Integer","","Recommended","How much did you feel you got to explore the cafeteria?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q4","Integer","","Recommended","How much did the setting feel like the real world?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q5","Integer","","Recommended","How much did the characters feel like they were real?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q6","Integer","","Recommended","How much did you feel like you could reach out and touch objects?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q7","Integer","","Recommended","How much did you feel like you really were the characters in the game?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
"eps_q8","Integer","","Recommended","How much did this game feel more real than a regular video game?","0::100;999","0 = Not at all ; 100 = Extremely; 999 = missing",""
