"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","t_c_age"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,t_c_gender"
"erc1","Integer","","Recommended","Is a cheerful child.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_1,erc_01,p_erc_1,t_erc_01"
"erc2","Integer","","Recommended","Exhibits wide mood swings (child's emotional
state difficult to anticipate because he/she moves
quickly from a positive to a negative mood).","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_2,erc_02,p_erc_2,t_erc_02"
"erc3","Integer","","Recommended","Responds positively to neutral or friendly
overtures by adults. [responds positively to polite or
friendly adults]","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_3,erc_03,p_erc_3,t_erc_03"
"erc4","Integer","","Recommended","Transitions well from one activity to another;
doesn't become angry, anxious, distressed, or
overly excited when moving from one activity to
another.","1::4; -1; -7; -8; -9","1= Almost Always; 2= Often; 3= Sometimes; 4= Rarely/ Never; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_4,erc_04,p_erc_4,t_erc_04"
"erc5","Integer","","Recommended","Can recover quickly from upset or distress (for
example, doesn't pout or remain sullen, anxious, or
sad after emotionally distressing events).","1::4; -1; -7; -8; -9","1= Almost Always; 2= Often; 3= Sometimes; 4= Rarely/ Never; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_5,erc_05,p_erc_5,t_erc_05"
"erc6","Integer","","Recommended","Is easily frustrated.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_6,erc_06,p_erc_6,t_erc_06"
"erc7","Integer","","Recommended","Responds positively neutral or friendly
overtures by peers. [Responds positively to polite or
friendly peers.]","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_7,erc_07,p_erc_7,t_erc_07"
"erc8","Integer","","Recommended","Is prone to angry outbursts/ tantrums easily.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_8,erc_08,p_erc_8,t_erc_08"
"erc9","Integer","","Recommended","Is able to delay gratification.","1::4; -1; -7; -8; -9","1= Almost Always; 2= Often; 3= Sometimes; 4= Rarely/ Never; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_9,erc_09,p_erc_9,t_erc_09"
"erc10","Integer","","Recommended","Takes pleasure in the distress of other (for
example, laughs when another person gets hurt or
punished; seems to enjoy teasing others).","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_10,erc_10,p_erc_10,t_erc_10"
"erc11","Integer","","Recommended","Can modulate excitement [Can control his/her
excitement] (for example, doesn't get carried
away in high-energy play situations or overly
excited in inappropriate contexts).","1::4; -1; -7; -8; -9","1= Almost Always; 2= Often; 3= Sometimes; 4= Rarely/ Never; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_11,erc_11,p_erc_11,t_erc_11"
"erc12","Integer","","Recommended","Is whiny or clingy with adults.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_12,erc_12,p_erc_12,t_erc_12"
"erc13","Integer","","Recommended","Is prone to have disruptive outbursts of energy
and exuberance [excitement].","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_13,erc_13,p_erc_13,t_erc_13"
"erc14","Integer","","Recommended","Responds angrily to limit-setting by adults.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_14,erc_14,p_erc_14,t_erc_14"
"erc15","Integer","","Recommended","Can say when s/he is feeling sad, angry, or mad,
fearful or afraid.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_15,erc_15,p_erc_15,t_erc_15"
"erc16","Integer","","Recommended","Seems sad or listless.","1::4; -1; -7; -8; -9","1= Almost Always; 2= Often; 3= Sometimes; 4= Rarely/ Never; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_16,erc_16,p_erc_16,t_erc_16"
"erc17","Integer","","Recommended","Is overly exuberant [excited and energetic]
when attempting to engage other in play.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_17,erc_17,p_erc_17,t_erc_17"
"erc18","Integer","","Recommended","Displays flat affect [doesn't show much emotion
when you would expect it] (expression is vacant or
inexpressive; child seems emotionally absent).","1::4; -1; -7; -8; -9","1= Almost Always; 2= Often; 3= Sometimes; 4= Rarely/ Never; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_18,erc_18,p_erc_18,t_erc_18"
"erc19","Integer","","Recommended","Responds negatively to neutral or friendly
overtures by peers [Responds negatively to polite or
friendly peers] (for example, may speak in an angry
tone of voice or respond fearfully).","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_19,erc_19,p_erc_19,t_erc_19"
"erc20","Integer","","Recommended","Is impulsive [Can't control him/herself].","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_20,erc_20,p_erc_20,t_erc_20"
"erc21","Integer","","Recommended","Is empathic [sympathetic] towards others; show
concern when others are upset or distressed.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_21,erc_21,p_erc_21,t_erc_21"
"erc22","Integer","","Recommended","Displays exuberance [energy and excitement]
that others find intrusive or disruptive.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_22,erc_22,p_erc_22,t_erc_22"
"erc23","Integer","","Recommended","Displays appropriate negative emotions (anger,
fear, frustration, distress) in response to hostile,
aggressive, or intrusive acts by others.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_23,erc_23,p_erc_23,t_erc_23"
"erc24","Integer","","Recommended","Displays negative emotions when attempting to
engage others in play.","1::4; -1; -7; -8; -9","1= Rarely/ Never; 2= Sometimes; 3= Often; 4= Almost Always; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","emoreg_check_24,erc_24,p_erc_24,t_erc_24"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","tds_time,wave"
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"p_erc_lab_neg_score","Integer","","Recommended","Lability Negativity Subscale Score","","","erclab"
"p_erc_emotion_reg_score","Integer","","Recommended","Emotion Regulation Subscale Score","","","ercer"
"p_erc_total_score","Integer","","Recommended","ERC Total Score","","","erctot"
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
