"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mat_grandfa_ethn1","String","255","Recommended","Biological Maternal Grandfather ethnic group 1","","",""
"mat_grandfa_ethn2","String","255","Recommended","Biological Maternal Grandfather ethnic group 2","","",""
"mat_grandma_ethn1","String","255","Recommended","Biological Maternal Grandmother ethnic group 1","","",""
"mat_grandma_ethn2","String","255","Recommended","Biological Maternal Grandmother ethnic group 2","","",""
"pat_grandfa_ethn1","String","255","Recommended","Biological Paternal Grandfather ethnic group 1","","",""
"pat_grandfa_ethn2","String","255","Recommended","Biological Paternal Grandfather ethnic group 2","","",""
"pat_grandma_ethn1","String","255","Recommended","Biological Paternal Grandmother ethnic group 1","","",""
"pat_grandma_ethn2","String","255","Recommended","Biological Paternal Grandmother ethnic group 2","","",""
"mat_grandfa_cntry","String","255","Recommended","Biological Maternal Grandfather country and/ or tribe","","",""
"mat_grandma_cntry","String","255","Recommended","Biological Maternal Grandmother country and/ or tribe","","",""
"pat_grandfa_cntry","String","255","Recommended","Biological Paternal Grandfather country and/ or tribe","","",""
"pat_grandma_cntry","String","255","Recommended","Biological Paternal Grandmother country and/ or tribe","","",""
