"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ef_q1","Integer","","Recommended","Follows one-step directives","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q2","Integer","","Recommended","Follows two-step directives","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q3","Integer","","Recommended","Follows a complete sequence of steps or actions","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q4","Integer","","Recommended","Can repeat actions they just learned to do","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q5","Integer","","Recommended","Is good at remembering the exact order something happened","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q6","Integer","","Recommended","Is good at following a simple set of instructions","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q7","Integer","","Recommended","Is good at following a complex set of instructions with more than 8 steps (Examples: baking. constructing objects, etc.)","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q8","Integer","","Recommended","Go after something they want with reckless abandon","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q9","Integer","","Recommended","Seems to crave excitement and new experiences","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q10","Integer","","Recommended","Does not consider possible danger when doing something","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q11","Integer","","Recommended","Seems to act without thinking first","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q12","Integer","","Recommended","Takes risks that most people do not take","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q13","Integer","","Recommended","Makes good decisions in dangerous situations","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q14","Integer","","Recommended","Is easily upset","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q15","Integer","","Recommended","Has trouble soothing themselves","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q16","Integer","","Recommended","Gets frustrated quickly","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"ef_q17","Integer","","Recommended","Calms down easily after something exciting","0::4","0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Very Often",""
