"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","nimhid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","ptid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","testdate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2","visitnum"
"eysenck1","Integer","","Recommended","1. Would you enjoy water skiing?","0;1","1=True; 0=False",""
"eysenck2","Integer","","Recommended","2. Usually do you prefer to stick to brands you know are reliable, to trying new ones on the chance of finding something better?","0;1","1=True; 0=False",""
"eysenck3","Integer","","Recommended","3. Would you feel sorry for a lonely stranger?","0;1","1=True; 0=False",""
"eysenck4","Integer","","Recommended","4. Do you quite enjoy taking risks?","0;1","1=True; 0=False","rt18_4"
"eysenck5","Integer","","Recommended","5. Do you often get emotionally involved in with your friends' problems","0;1","1=True; 0=False",""
"eysenck6","Integer","","Recommended","6. Would you enjoy parachute jumping?","0;1","1=True; 0=False","rt18_5"
"eysenck7","Integer","","Recommended","7. Do you often buy things on impulse?","0;1","1=True; 0=False",""
"eysenck8","Integer","","Recommended","8. Do unhappy people who are sorry for themselves irritate you?","0;1","1=True; 0=False",""
"eysenck9","Integer","","Recommended","9. Do you generally do and say things without stopping to think?","0;1","1=True; 0=False",""
"eysenck10","Integer","","Recommended","10. Are you inclined to get nervous when others around you seem to be nervous?","0;1","1=True; 0=False",""
"eysenck11","Integer","","Recommended","11. Do you often get into a jam because you do things without thinking?","0;1","1=True; 0=False","rt18_1"
"eysenck12","Integer","","Recommended","12. Do you think hitch-hiking is too dangerous a way to travel?","0;1","1=True; 0=False",""
