"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","subject_id"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fpa_cor1","Integer","","Recommended","FPA, task1, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor2","Integer","","Recommended","FPA, task2, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor3","Integer","","Recommended","FPA, task3, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor4","Integer","","Recommended","FPA, task4, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor5","Integer","","Recommended","FPA, task5, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor6","Integer","","Recommended","FPA, task6, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor7","Integer","","Recommended","FPA, task7, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor8","Integer","","Recommended","FPA, task8, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor9","Integer","","Recommended","FPA, task9, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor10","Integer","","Recommended","FPA, task10, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor11","Integer","","Recommended","FPA, task11, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor12","Integer","","Recommended","FPA, task12, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor13","Integer","","Recommended","FPA, task13, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor14","Integer","","Recommended","FPA, task14, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor15","Integer","","Recommended","FPA, task15, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor16","Integer","","Recommended","FPA, task16, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor17","Integer","","Recommended","FPA, task17, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor18","Integer","","Recommended","FPA, task18, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor19","Integer","","Recommended","FPA, task19, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor20","Integer","","Recommended","FPA, task20, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor21","Integer","","Recommended","FPA, task21, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor22","Integer","","Recommended","FPA, task22, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor23","Integer","","Recommended","FPA, task23, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor24","Integer","","Recommended","FPA, task24, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_cor25","Integer","","Recommended","FPA, task25, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpa_rt1","Float","","Recommended","FPB, task1, reaction time","","Millisecond",""
"fpa_rt2","Float","","Recommended","FPB, task2, reaction time","","Millisecond",""
"fpa_rt3","Float","","Recommended","FPB, task3, reaction time","","Millisecond",""
"fpa_rt4","Float","","Recommended","FPB, task4, reaction time","","Millisecond",""
"fpa_rt5","Float","","Recommended","FPB, task5, reaction time","","Millisecond",""
"fpa_rt6","Float","","Recommended","FPB, task6, reaction time","","Millisecond",""
"fpa_rt7","Float","","Recommended","FPB, task7, reaction time","","Millisecond",""
"fpa_rt8","Float","","Recommended","FPB, task8, reaction time","","Millisecond",""
"fpa_rt9","Float","","Recommended","FPB, task9, reaction time","","Millisecond",""
"fpa_rt10","Float","","Recommended","FPB, task10, reaction time","","Millisecond",""
"fpa_rt11","Float","","Recommended","FPB, task11, reaction time","","Millisecond",""
"fpa_rt12","Float","","Recommended","FPB, task12, reaction time","","Millisecond",""
"fpa_rt13","Float","","Recommended","FPB, task13, reaction time","","Millisecond",""
"fpa_rt14","Float","","Recommended","FPB, task14, reaction time","","Millisecond",""
"fpa_rt15","Float","","Recommended","FPB, task15, reaction time","","Millisecond",""
"fpa_rt16","Float","","Recommended","FPB, task16, reaction time","","Millisecond",""
"fpa_rt17","Float","","Recommended","FPB, task17, reaction time","","Millisecond",""
"fpa_rt18","Float","","Recommended","FPB, task18, reaction time","","Millisecond",""
"fpa_rt19","Float","","Recommended","FPB, task19, reaction time","","Millisecond",""
"fpa_rt20","Float","","Recommended","FPB, task20, reaction time","","Millisecond",""
"fpa_rt21","Float","","Recommended","FPB, task21, reaction time","","Millisecond",""
"fpa_rt22","Float","","Recommended","FPB, task22, reaction time","","Millisecond",""
"fpa_rt23","Float","","Recommended","FPB, task23, reaction time","","Millisecond",""
"fpa_rt24","Float","","Recommended","FPB, task24, reaction time","","Millisecond",""
"fpa_rt25","Float","","Recommended","FPB, task25, reaction time","","Millisecond",""
"fpb_cor1","Integer","","Recommended","FPB, task1, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor2","Integer","","Recommended","FPB, task2, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor3","Integer","","Recommended","FPB, task3, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpc_cor4","Integer","","Recommended","FPB, task4, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor5","Integer","","Recommended","FPB, task5, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor6","Integer","","Recommended","FPB, task6, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor7","Integer","","Recommended","FPB, task7, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor8","Integer","","Recommended","FPB, task8, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor9","Integer","","Recommended","FPB, task9, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor10","Integer","","Recommended","FPB, task10, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor11","Integer","","Recommended","FPB, task11, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor12","Integer","","Recommended","FPB, task12, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor13","Integer","","Recommended","FPB, task13, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor14","Integer","","Recommended","FPB, task14, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor15","Integer","","Recommended","FPB, task15, accuracy","0;1","0=Incorrect; 1=Correct",""
"fpb_cor16","Integer","","Recommended","FPB, task16, accuracy","0;1","0=Incorrect; 1=Correct",""
