"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","stepid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"daysrz","Integer","","Recommended","days since randomization","","",""
"pathway","Integer","","Recommended","step pathway","1::9","1=SCP; 2=AD-Acute Depression; 3=REFD-Refractory Dep; 4=RELP-Relapse Prevent; 5=Psy-AD-Psychosocial; 6=Psy-REL-Psychosocial; 7=Omega 3; 8=LiMRS; 9=PAD-Psychosocial",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"certcode","Integer","","Recommended","stepbd certification code","","",""
"closerel","Integer","","Recommended","relatives close friends","0;1;-7","0=No; 1=Yes; -7=Refused",""
"relcode","String","100","Recommended","relative code","","",""
"relsex","Integer","","Recommended","relative sex","1::3","1=Male; 2=Female; 3=Transgender",""
"relage","Integer","","Recommended","relative age at randomization","","","age"
"partstep","Integer","","Recommended","relative participate step","0;1;-7","0=No; 1=Yes; -7=Refused",""
"caretake","Integer","","Recommended","relative care taking","0;1;-7","0=No; 1=Yes; -7=Refused",""
"chours","Float","","Recommended","relative contact hours","","",""
"site","String","101","Recommended","Site","","Study Site","site_id,siteid"
