"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily","assessment"
"binge1","Integer","","Recommended","How appetizing is this food? (Binge Food 1)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge2","Integer","","Recommended","How appetizing is this food? (Binge Food 2)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge3","Integer","","Recommended","How appetizing is this food? (Binge Food 3)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge4","Integer","","Recommended","How appetizing is this food? (Binge Food 4)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge5","Integer","","Recommended","How appetizing is this food? (Binge Food 5)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge6","Integer","","Recommended","How appetizing is this food? (Binge Food 6)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge7","Integer","","Recommended","How appetizing is this food? (Binge Food 7)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge8","Integer","","Recommended","How appetizing is this food? (Binge Food 8)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge9","Integer","","Recommended","How appetizing is this food? (Binge Food 9)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge10","Integer","","Recommended","How appetizing is this food? (Binge Food 10)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge11","Integer","","Recommended","How appetizing is this food? (Binge Food 11)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge12","Integer","","Recommended","How appetizing is this food? (Binge Food 12)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge13","Integer","","Recommended","How appetizing is this food? (Binge Food 13)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge14","Integer","","Recommended","How appetizing is this food? (Binge Food 14)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge15","Integer","","Recommended","How appetizing is this food? (Binge Food 15)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge16","Integer","","Recommended","How appetizing is this food? (Binge Food 16)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge17","Integer","","Recommended","How appetizing is this food? (Binge Food 17)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge18","Integer","","Recommended","How appetizing is this food? (Binge Food 18)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge19","Integer","","Recommended","How appetizing is this food? (Binge Food 19)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge20","Integer","","Recommended","How appetizing is this food? (Binge Food 20)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge21","Integer","","Recommended","How appetizing is this food? (Binge Food 21)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge22","Integer","","Recommended","How appetizing is this food? (Binge Food 22)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge23","Integer","","Recommended","How appetizing is this food? (Binge Food 23)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge24","Integer","","Recommended","How appetizing is this food? (Binge Food 24)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge25","Integer","","Recommended","How appetizing is this food? (Binge Food 25)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy1","Integer","","Recommended","How appetizing is this food? (Healthy 1)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy2","Integer","","Recommended","How appetizing is this food? (Healthy 2)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy3","Integer","","Recommended","How appetizing is this food? (Healthy 3)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy4","Integer","","Recommended","How appetizing is this food? (Healthy 4)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy5","Integer","","Recommended","How appetizing is this food? (Healthy 5)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy6","Integer","","Recommended","How appetizing is this food? (Healthy 6)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy7","Integer","","Recommended","How appetizing is this food? (Healthy 7)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy8","Integer","","Recommended","How appetizing is this food? (Healthy 8)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy9","Integer","","Recommended","How appetizing is this food? (Healthy 9)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy10","Integer","","Recommended","How appetizing is this food? (Healthy 10)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy11","Integer","","Recommended","How appetizing is this food? (Healthy 11)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy12","Integer","","Recommended","How appetizing is this food? (Healthy 12)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy13","Integer","","Recommended","How appetizing is this food? (Healthy 13)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy14","Integer","","Recommended","How appetizing is this food? (Healthy 14)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy15","Integer","","Recommended","How appetizing is this food? (Healthy 15)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy16","Integer","","Recommended","How appetizing is this food? (Healthy 16)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy17","Integer","","Recommended","How appetizing is this food? (Healthy 17)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy18","Integer","","Recommended","How appetizing is this food? (Healthy 18)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy19","Integer","","Recommended","How appetizing is this food? (Healthy 19)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy20","Integer","","Recommended","How appetizing is this food? (Healthy 20)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy21","Integer","","Recommended","How appetizing is this food? (Healthy 21)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy22","Integer","","Recommended","How appetizing is this food? (Healthy 22)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy23","Integer","","Recommended","How appetizing is this food? (Healthy 23)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy24","Integer","","Recommended","How appetizing is this food? (Healthy 24)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy25","Integer","","Recommended","How appetizing is this food? (Healthy 25)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge_appet","Float","","Recommended","How appetizing is this food? (Binge Food Mean)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"healthy_appet","Float","","Recommended","How appetizing is this food? (Healthy Mean)","1::9; 999","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing",""
"binge33","Integer","","Recommended","How appetizing is this food? (Binge Food 33)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge34","Integer","","Recommended","How appetizing is this food? (Binge Food 34)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge35","Integer","","Recommended","How appetizing is this food? (Binge Food 35)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge36","Integer","","Recommended","How appetizing is this food? (Binge Food 36)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge37","Integer","","Recommended","How appetizing is this food? (Binge Food 37)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge38","Integer","","Recommended","How appetizing is this food? (Binge Food 38)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge39","Integer","","Recommended","How appetizing is this food? (Binge Food 39)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge40","Integer","","Recommended","How appetizing is this food? (Binge Food 40)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge41","Integer","","Recommended","How appetizing is this food? (Binge Food 41)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge42","Integer","","Recommended","How appetizing is this food? (Binge Food 42)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge43","Integer","","Recommended","How appetizing is this food? (Binge Food 43)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge44","Integer","","Recommended","How appetizing is this food? (Binge Food 44)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge45","Integer","","Recommended","How appetizing is this food? (Binge Food 45)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge46","Integer","","Recommended","How appetizing is this food? (Binge Food 46)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge47","Integer","","Recommended","How appetizing is this food? (Binge Food 47)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
"binge48","Integer","","Recommended","How appetizing is this food? (Binge Food 48)","1::9; 999; 0","1 = not at all appetizing; 9 = extremely appetizing; 999 = missing; 0 = food makes participant physically ill",""
