"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"scream_cb_order","Integer","","Recommended","Counterbalancing order","1::8","",""
"who_cs_plus","Integer","","Recommended","Hair color of lady that was the CS+","0;1","0=Light; 1=Dark",""
"who_rated_first","Integer","","Recommended","Hair color of lady that was rated first","0;1","0=Light; 1=Dark",""
"conditioning_completion","Integer","","Recommended","Subject's completion status of fear conditioning task","1::3","1=Completed full task; 2=Completed conditioning but not extinction; 3=Did not complete conditioning",""
"scr_precond_csplus_trial1","Float","","Recommended","Skin conductance response for trial 1 of CS+ stimuli in preconditioning phase","","",""
"scr_precond_csplus_trial2","Float","","Recommended","Skin conductance response for trial 2 of CS+ stimuli in preconditioning phase","","",""
"scr_precond_csplus_trial3","Float","","Recommended","Skin conductance response for trial 3 of CS+ stimuli in preconditioning phase","","",""
"scr_precond_csplus_trial4","Float","","Recommended","Skin conductance response for trial 4 of CS+ stimuli in preconditioning phase","","",""
"scr_precond_csminus_trial1","Float","","Recommended","Skin conductance response for trial 1 of CS- stimuli in preconditioning phase","","",""
"scr_precond_csminus_trial2","Float","","Recommended","Skin conductance response for trial 2 of CS- stimuli in preconditioning phase","","",""
"scr_precond_csminus_trial3","Float","","Recommended","Skin conductance response for trial 3 of CS- stimuli in preconditioning phase","","",""
"scr_precond_csminus_trial4","Float","","Recommended","Skin conductance response for trial 4 of CS- stimuli in preconditioning phase","","",""
"scr_cond_csplus_trial1","Float","","Recommended","Skin conductance response for trial 1 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csplus_trial2","Float","","Recommended","Skin conductance response for trial 2 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csplus_trial3","Float","","Recommended","Skin conductance response for trial 3 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csplus_trial4","Float","","Recommended","Skin conductance response for trial 4 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csplus_trial5","Float","","Recommended","Skin conductance response for trial 5 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csplus_trial6","Float","","Recommended","Skin conductance response for trial 6 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csplus_trial7","Float","","Recommended","Skin conductance response for trial 7 of CS+ stimuli in conditioning phase","","",""
"scr_cond_csminus_trial1","Float","","Recommended","Skin conductance response for trial 1 of CS- stimuli in conditioning phase","","",""
"scr_cond_csminus_trial2","Float","","Recommended","Skin conductance response for trial 2 of CS- stimuli in conditioning phase","","",""
"scr_cond_csminus_trial3","Float","","Recommended","Skin conductance response for trial 3 of CS- stimuli in conditioning phase","","",""
"scr_cond_csminus_trial4","Float","","Recommended","Skin conductance response for trial 4 of CS- stimuli in conditioning phase","","",""
"scr_cond_csminus_trial5","Float","","Recommended","Skin conductance response for trial 5 of CS- stimuli in conditioning phase","","",""
"scr_cond_csminus_trial6","Float","","Recommended","Skin conductance response for trial 6 of CS- stimuli in conditioning phase","","",""
"scr_cond_csminus_trial7","Float","","Recommended","Skin conductance response for trial 7 of CS- stimuli in conditioning phase","","",""
"scr_cond_ucs_trial1","Float","","Recommended","Skin conductance response for trial 1 of UCS stimuli in conditioning phase","","",""
"scr_cond_ucs_trial2","Float","","Recommended","Skin conductance response for trial 2 of UCS stimuli in conditioning phase","","",""
"scr_cond_ucs_trial3","Float","","Recommended","Skin conductance response for trial 3 of UCS stimuli in conditioning phase","","",""
"scr_cond_ucs_trial4","Float","","Recommended","Skin conductance response for trial 4 of UCS stimuli in conditioning phase","","",""
"scr_cond_ucs_trial5","Float","","Recommended","Skin conductance response for trial 5 of UCS stimuli in conditioning phase","","",""
"scr_cond_ucs_trial6","Float","","Recommended","Skin conductance response for trial 6 of UCS stimuli in conditioning phase","","",""
"scr_ext_csplus_trial1","Float","","Recommended","Skin conductance response for trial 1 of CS+ stimuli in extinction phase","","",""
"scr_ext_csplus_trial2","Float","","Recommended","Skin conductance response for trial 2 of CS+ stimuli in extinction phase","","",""
"scr_ext_csplus_trial3","Float","","Recommended","Skin conductance response for trial 3 of CS+ stimuli in extinction phase","","",""
"scr_ext_csplus_trial4","Float","","Recommended","Skin conductance response for trial 4 of CS+ stimuli in extinction phase","","",""
"scr_ext_csplus_trial5","Float","","Recommended","Skin conductance response for trial 5 of CS+ stimuli in extinction phase","","",""
"scr_ext_csplus_trial6","Float","","Recommended","Skin conductance response for trial 6 of CS+ stimuli in extinction phase","","",""
"scr_ext_csplus_trial7","Float","","Recommended","Skin conductance response for trial 7 of CS+ stimuli in extinction phase","","",""
"scr_ext_csminus_trial1","Float","","Recommended","Skin conductance response for trial 1 of CS- stimuli in extinction phase","","",""
"scr_ext_csminus_trial2","Float","","Recommended","Skin conductance response for trial 2 of CS- stimuli in extinction phase","","",""
"scr_ext_csminus_trial3","Float","","Recommended","Skin conductance response for trial 3 of CS- stimuli in extinction phase","","",""
"scr_ext_csminus_trial4","Float","","Recommended","Skin conductance response for trial 4 of CS- stimuli in extinction phase","","",""
"scr_ext_csminus_trial5","Float","","Recommended","Skin conductance response for trial 5 of CS- stimuli in extinction phase","","",""
"scr_ext_csminus_trial6","Float","","Recommended","Skin conductance response for trial 6 of CS- stimuli in extinction phase","","",""
"scr_ext_csminus_trial7","Float","","Recommended","Skin conductance response for trial 7 of CS- stimuli in extinction phase","","",""
"scr_ext_gs_trial1","Float","","Recommended","Skin conductance response for trial 1 of GS stimuli in extinction phase","","",""
"scr_ext_gs_trial2","Float","","Recommended","Skin conductance response for trial 2 of GS stimuli in extinction phase","","",""
"scr_ext_gs_trial3","Float","","Recommended","Skin conductance response for trial 3 of GS stimuli in extinction phase","","",""
"scr_ext_gs_trial4","Float","","Recommended","Skin conductance response for trial 4 of GS stimuli in extinction phase","","",""
"scr_ext_gs_trial5","Float","","Recommended","Skin conductance response for trial 5 of GS stimuli in extinction phase","","",""
"scr_ext_gs_trial6","Float","","Recommended","Skin conductance response for trial 6 of GS stimuli in extinction phase","","",""
"scr_ext_gs_trial7","Float","","Recommended","Skin conductance response for trial 7 of GS stimuli in extinction phase","","",""
"scr_precond_csplus_ave","Float","","Recommended","Average skin conductance response to CS+ stimuli in the preconditioning phase","","",""
"scr_precond_csminus_ave","Float","","Recommended","Average skin conductance response to CS- stimuli in the preconditioning phase","","",""
"scr_precondcsplusavedropfirst","Float","","Recommended","Average skin conductance response to CS+ stimuli in the preconditioning phase (dropping first presentation)","","",""
"scr_precondcsminusavedropfirst","Float","","Recommended","Average skin conductance response to CS- stimuli in the preconditioning phase (dropping first presentation)","","",""
"scr_cond_csplus_ave","Float","","Recommended","Average skin conductance response to CS+ stimuli in the conditioning phase","","",""
"scr_cond_csminus_ave","Float","","Recommended","Average skin conductance response to CS- stimuli in the conditioning phase","","",""
"scr_cond_ucs_ave","Float","","Recommended","Average skin conductance response to UCS stimuli in the conditioning phase","","",""
"scr_ext_csplus_ave","Float","","Recommended","Average skin conductance response to CS+ stimuli in the extinction phase","","",""
"scr_ext_csminus_ave","Float","","Recommended","Average skin conductance response to CS- stimuli in the extinction phase","","",""
"scr_ext_gs_ave","Float","","Recommended","Average skin conductance response to GS stimuli in the extinction phase","","",""
"csminus_pre_acq_like","Integer","","Recommended","Self-reported rating of how much the participant liked the CS- stimuli before the preconditioning phase","1::10","1=Do not like; 10=Like a whole lot",""
"csminus_pre_acq_pleasant","Integer","","Recommended","Self-reported rating of how pleasant the participant thought the CS- stimuli was before the preconditioning phase","1::10","1=Not pleasant; 10=Extremely pleasant",""
"csminus_pre_acq_scared","Integer","","Recommended","Self-reported rating of how scared the participant was of the CS- stimuli before the preconditioning phase","1::10","1=Not scared; 10=Extremely scared",""
"csminus_pre_acq_unpleasant","Integer","","Recommended","Self-reported rating of how unpleasant the participant thought the CS- stimuli was before the preconditioning phase","1::10","1=Not unpleasant; 10=Extremely unpleasant",""
"csplus_pre_acq_like","Integer","","Recommended","Self-reported rating of how much the participant liked the CS+ stimuli before the preconditioning phase","1::10","1=Do not like; 10=Like a whole lot",""
"csplus_pre_acq_pleasant","Integer","","Recommended","Self-reported rating of how pleasant the participant thought the CS+ stimuli was before the preconditioning phase","1::10","1=Not pleasant; 10=Extremely pleasant",""
"csplus_pre_acq_scared","Integer","","Recommended","Self-reported rating of how scared the participant was of the CS+ stimuli before the preconditioning phase","1::10","1=Not scared; 10=Extremely scared",""
"csplus_pre_acq_unpleasant","Integer","","Recommended","Self-reported rating of how unpleasant the participant thought the CS+ stimuli was before the preconditioning phase","1::10","1=Not unpleasant; 10=Extremely unpleasant",""
"csminus_post_acq_like","Integer","","Recommended","Self-reported rating of how much the participant liked the CS- stimuli immediately after the conditioning phase","1::10","1=Do not like; 10=Like a whole lot",""
"csminus_post_acq_pleasant","Integer","","Recommended","Self-reported rating of how pleasant the participant thought the CS- stimuli was immediately after the conditioning phase","1::10","1=Not pleasant; 10=Extremely pleasant",""
"csminus_post_acq_scared","Integer","","Recommended","Self-reported rating of how scared the participant was of the CS- stimuli immediately after the conditioning phase","1::10","1=Not scared; 10=Extremely scared",""
"csminus_post_acq_unpleasant","Integer","","Recommended","Self-reported rating of how unpleasant the participant thought the CS- stimuli was immediately after the conditioning phase","1::10","1=Not unpleasant; 10=Extremely unpleasant",""
"csplus_post_acq_like","Integer","","Recommended","Self-reported rating of how much the participant liked the CS+ stimuli immediately after the conditioning phase","1::10","1=Do not like; 10=Like a whole lot",""
"csplus_post_acq_pleasant","Integer","","Recommended","Self-reported rating of how pleasant the participant thought the CS+ stimuli immediately after the conditioning phase","1::10","1=Not pleasant; 10=Extremely pleasant",""
"csplus_post_acq_scared","Integer","","Recommended","Self-reported rating of how scared the participant was of the CS+ stimuli immediately after the conditioning phase","1::10","1=Not scared; 10=Extremely scared",""
"csplus_post_acq_unpleasant","Integer","","Recommended","Self-reported rating of how unpleasant the participant thought the CS+ stimuli was immediately after the conditioning phase","1::10","1=Not unpleasant; 10=Extremely unpleasant",""
"scream_predictable_post_acq","Integer","","Recommended","Was the scream predictable?","1;2","1=Yes; 2=No",""
"csplus_pctscream","Integer","","Recommended","Self-reported rating collected immediately after the conditioning phase of how often the CS+ stimuli screamed","0::100","",""
"csminus_pctscream","Integer","","Recommended","Self-reported rating collected immediately after the conditioning phase of how often the CS- stimuli screamed","0::100","",""
"csminus_post_ext_like","Integer","","Recommended","Self-reported rating of how much the participant liked the CS- stimuli after the extinction phase","1::10","1=Do not like; 10=Like a whole lot",""
"csminus_post_ext_pleasant","Integer","","Recommended","Self-reported rating of how pleasant the participant thought the CS- stimuli was after the extinction phase","1::10","1=Not pleasant; 10=Extremely pleasant",""
