"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"feighner_alc_g4_2","Integer","","Recommended","Patient's family objects to drinking","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc133_feighner_fam_obj"
"feighner_alc_g4_2_yr","Integer","","Recommended","Year Patient's family objects to drinking","","","alc133y_feighner_fam_obj_yr"
"feighner_alc_g4_1","Integer","","Recommended","Patient thinks they drinks too much","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc134_feighner_self_excess"
"feighner_alc_g4_1_yr","Integer","","Recommended","Year Patient thinks they drinks too much","","","alc134y_feighner_self_excess_yr"
"feighner_alc_g4_4","Integer","","Recommended","Others (Friends, Doctor, Clergy) said patient is drinking too much","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc135_feighner_friends"
"feighner_alc_g4_4_yr","Integer","","Recommended","Year Others (Friends, Doctor, Clergy) said patient is drinking too much","","","alc135y_feighner_friends_yr"
"feighner_alc_g4_5","Integer","","Recommended","Patient feels guilty about their drinking","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc136_feighner_felt_guilty"
"feighner_alc_g4_5_yr","Integer","","Recommended","Year Patient feels guilty about their drinking","","","alc136y_feighner_felt_guilty_yr"
"feighner_alc_g4_3","Integer","","Recommended","Patient lost friends because of drinking","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc137_feighner_lost_friends"
"feighner_alc_g4_3_yr","Integer","","Recommended","Year Patient lost friends because of drinking","","","alc137y_feighner_lost_friends_yr"
"feighner_alc_g2_1","Integer","","Recommended","Patient is unable to stop drinking when they wanted to do so","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc138_feighner_wanted_stop"
"feighner_alc_g2_1_yr","Integer","","Recommended","Year Patient is unable to stop drinking when they wanted to do so","","","alc138y_feighner_wanted_stop_yr"
"feighner_alc_g2_2","Integer","","Recommended","Patient tried to control drinking (only allowing drinking at certain times or certain places, such as after 5pm, only on weekends, only with other people))","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc139_feighner_tried_control"
"feighner_alc_g2_2_yr","Integer","","Recommended","Year Patient tried to control drinking (only allowing drinking at certain times or certain places, such as after 5pm, only on weekends, only with other people))","","","alc139y_feighner_tried_control_yr"
"feighner_alc_g2_3","Integer","","Recommended","Patient needed to drink just after get up (before breakfast)","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc140_feighner_am_drink"
"feighner_alc_g2_3_yr","Integer","","Recommended","Year Patient needed to drink just after get up (before breakfast)","","","alc140y_feighner_am_drink_yr"
"feighner_alc_g2_4","Integer","","Recommended","Patient substituted nonbeverage forms of alcohol such as rubbing alcohol, mouthwash, or Sterno (jellied, denatured, canned alcohol) when out of liquor","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc141_feighner_substitute"
"feighner_alc_g2_4_yr","Integer","","Recommended","Year Patient substituted nonbeverage forms of alcohol such as rubbing alcohol, mouthwash, or Sterno (jellied, denatured, canned alcohol) when out of liquor","","","alc141y_feighner_substitute_yr"
"feighner_alc_g3_3a","Integer","","Recommended","Patient had job troubles because of drinking (drinking on job/missing work)","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc142_feighner_job_trouble"
"feighner_alc_g3_3a_yr","Integer","","Recommended","Year Patient had job troubles because of drinking (drinking on job/missing work)","","","alc142y_feighner_job_trouble_yr"
"feighner_alc_g3_3b","Integer","","Recommended","Patient lost job because of drinking","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc143_feighner_lost_job"
"feighner_alc_g3_3b_yr","Integer","","Recommended","Year Patient lost job because of drinking","","","alc143y_feighner_lost_job_yr"
"feighner_alc_g3_2","Integer","","Recommended","Patient had trouble driving or traffic difficulties because of drinking (accident or DUI)","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc144_feighner_dui"
"feighner_alc_g3_2_yr","Integer","","Recommended","Year Patient had trouble driving or traffic difficulties because of drinking (accident or DUI)","","","alc144y_feighner_dui_yr"
"feighner_alc_g3_1","Integer","","Recommended","Patient arrested/held at police station because of drinking/disturbing peace","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc145_feighner_arrested"
"feighner_alc_g3_1_yr","Integer","","Recommended","Year Patient arrested/held at police station because of drinking/disturbing peace","","","alc145y_feighner_arrested_yr"
"feighner_alc_g3_4","Integer","","Recommended","Patient got into fights while drinking","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc146_feighner_fights"
"feighner_alc_g3_4_yr","Integer","","Recommended","Year Patient got into fights while drinking","","","alc146y_feighner_fights_yr"
"feighner_alc_g1_4","Integer","","Recommended","Patient neglected responsibilities while on binge/bender (48 hours or more of drinking), must have occurred more than once to be scored as positive","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc147a_feighner_responsibilities"
"feighner_alc_g1_4_yr","Integer","","Recommended","Year Patient neglected responsibilities while on binge/bender (48 hours or more of drinking), must have occurred more than once to be scored as positive","","","alc147y_feighner_responsibilities_yr"
"feighner_alc_g1_4_num","Integer","","Recommended","Number of times on bender lasting a couple of days","","","alc147b_feighner_bender_num_times"
"feighner_alc_g1_3","Integer","","Recommended","Patient blacked out while drinking (amnesiac episodes during heavy drinking not accounted for by head trauma)","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc148_feighner_blackout"
"feighner_alc_g1_3_yr","Integer","","Recommended","Year Patient blacked out while drinking (amnesiac episodes during heavy drinking not accounted for by head trauma)","","","alc148y_feighner_blackout_yr"
"feighner_alc_g1_1","Integer","","Recommended","Patient experienced any manifestation of alcohol withdrawal such as shakes/fits/seizures/DTs/see or hearing things that aren't there","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc149_feighner_withdrawal"
"feighner_alc_g1_1_yr","Integer","","Recommended","Year Patient experienced any manifestation of alcohol withdrawal such as shakes/fits/seizures/DTs/see or hearing things that aren't there","","","alc149y_feighner_withdrawal_yr"
"feighner_alc_g1_2","Integer","","Recommended","Drinking caused health problems or history of medical complications (cirrhosis, gastritis, pancreatitis, myopathy, polyneuropathy, Wernicke-Korsakoff syndrome, etc.)","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc150_feighner_health_prob"
"feighner_alc_g1_2_yr","Integer","","Recommended","Year Drinking caused health problems or history of medical complications (cirrhosis, gastritis, pancreatitis, myopathy, polyneuropathy, Wernicke-Korsakoff syndrome, etc.)","","","alc150y_feighner_health_prob_yr"
"feighner_alc_mtg","Integer","","Recommended","Patient Attended Alcoholics Anonymous (AA) meeting","1;5;-8;-9","1= No; 5= Yes; -8= NA; -9= Missing","alc151_feighner_aa_meeting"
"feighner_alc_mtg_yr","Integer","","Recommended","Year Patient Attended Alcoholics Anonymous (AA) meeting","","","alc151y_feighner_aa_meeting_yr"
"feighner_alc_1st_symp","String","30","Recommended","Question number of symptom which occurred first","","","alc152_feighner_first_symptom"
"feighner_alc_1st_symp_age","Integer","","Recommended","Age when first symptom occurred","","","alc153_feighner_first_symptom_age"
"feigher_alc_criteria","Integer","","Recommended","Met criteria - Feighner alcoholism. A definite diagnosis is made when symptoms occur in at least three of the four groups; a probably diagnosis is made when symptoms occur in only two groups","1::3","1= Did not meet criteria; 2= Probably met criteria; 3= Definitely met criteria","alcrit_feighner_alcoholism"
