"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id,subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fibser_1","Integer","","Recommended","1.  Choose the response that best describes the frequency (how often) of the side effects of the medication you have taken within the past week for your depression.","0::7","0=No side effects; 1=Present 10% of the time; 2=Present 25% of the time; 3=Present 5-% of the time; 4=Present 75% of the time; 5=Present 90% of the time; 6=Present all the time; 7=refused","fisfq"
"fibser_2","Integer","","Recommended","2.  Choose the response that best describes the intensity (how severe) of the side effects that you believe are due to the medication you have taken within the last week for your depression","0::6","0=No side effects; 1=Trivial; 2=Mild; 3=Moderate; 4=Marked; 5=Severe; 6=Intolerable","fisin"
"fibser_3","Integer","","Recommended","3.  Choose the response that best describes the degree to which antidepressant medication side effects that you have had over the last week have interfered with your day to day functions.","0::6","0=No impairment; 1=Minimal impairment; 2=Mild impairment; 3=Moderate impairment; 4=Marked impairment; 5=Severe impairment; 6=Unable to function due to side effects","grseb"
"fibser_score_total","Float","","Recommended","FIBSER Total Score - sums values from the 3 questions","","",""
"subject_description","String","4000","Recommended","Subject related information (e.g the affection, phenotype, disease information, etc.).","","",""
"site","String","101","Recommended","Site","","Study Site","siteid"
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14","week1"
"visday","Integer","","Recommended","Number of days from study baseline to date of visit","","","date"
"phase","Integer","","Recommended","Phase","","9 =follow up",""
"vis_type","Integer","","Recommended","Visit type","0::2","1=Phone/remote; 0=doctor's office/In person; 2=No, not phone interview","phone"
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
