"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fin_strain1","Integer","","Recommended","At the present time, are you able to afford a home suitable for yourself and your family?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain2","Integer","","Recommended","At the present time, are you able to afford furniture or household equipment that needs to be replaced?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain3","Integer","","Recommended","At the present time, are you able to afford the kind of car you need?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain4","Integer","","Recommended","At the present time, are you able to afford the kind of food you and your family should have?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain5","Integer","","Recommended","At the present time, are you able to afford the kind of medical care you and your family should have?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain6","Integer","","Recommended","At the present time, are you able to afford the kind of clothing you and your family should have?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain7","Integer","","Recommended","At the present time, are you able to afford the kind of leisure activities you and your family want?","1::4","1= Yes, definitely; 2= Yes, with some difficulty; 3= Yes, with great difficulty; 4= No, I cannot afford",""
"fin_strain8","Integer","","Recommended","At the present time, do you have problems in paying your bills?","1::4","1= No difficulty; 2= Yes, a little difficulty; 3= Yes, some difficulty; 4= Yes, great deal of difficulty",""
"fin_strain9","Integer","","Recommended","At the end of the month, do you have:","1::3","1= Some money left over; 2= Just enough to make ends meet; 3= Not enough to make ends meet",""
"fin_strain_total","Integer","","Recommended","Financial Strain Questionnaire (FSQ) Total Score","9::35","Sum of items fin_strain1-9; Higher scores indicate greater financial strain",""
