"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subjectid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"behavioralobservations_hand","String","255","Recommended","Handedness","","","handedness"
"indextap_r","Float","","Recommended","Number of taps with right hand in 20 seconds","","",""
"indextap_l","Float","","Recommended","Number of taps with left hand in 20 seconds","","",""
"session_order_lh_pre_sham","String","100","Recommended","Order of session Pre Unihemispheric Sham brain stimulation","","",""
"seq1_lh_unih_pre_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric Sham brain stimulation","","",""
"seq2_lh_unih_pre_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric Sham brain stimulation","","",""
"seq3_lh_unih_pre_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric Sham brain stimulation","","",""
"seq4_lh_unih_pre_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric Sham brain stimulation","","",""
"seq5_lh_unih_pre_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric Sham brain stimulation","","",""
"seq1_lh_unih_post_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric Sham brain stimulation","","",""
"seq2_lh_unih_post_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric Sham brain stimulation","","",""
"seq3_lh_unih_post_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric Sham brain stimulation","","",""
"seq4_lh_unih_post_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric Sham brain stimulation","","",""
"seq5_lh_unih_post_sham","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric Sham brain stimulation","","",""
"session_order_lh_pre_2ma","String","100","Recommended","Order of session Pre Unihemispheric 2mA brain stimulation","","",""
"seq1_lh_unih_pre_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric 2mA brain stimulation","","",""
"seq2_lh_unih_pre_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric 2mA brain stimulation","","",""
"seq3_lh_unih_pre_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric 2mA brain stimulation","","",""
"seq4_lh_unih_pre_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric 2mA brain stimulation","","",""
"seq5_lh_unih_pre_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Pre Unihemispheric 2mA brain stimulation","","",""
"seq1_lh_unih_post_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric 2mA brain stimulation","","",""
"seq2_lh_unih_post_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric 2mA brain stimulation","","",""
"seq3_lh_unih_post_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric 2mA brain stimulation","","",""
"seq4_lh_unih_post_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric 2mA brain stimulation","","",""
"seq5_lh_unih_post_2ma","Float","","Recommended","Number of correct and partially correct finger sequences Divided by standard deviation of keypress time.  Post Unihemispheric 2mA brain stimulation","","",""
"session_order_lh_pre_4ma","String","100","Recommended","Order of session Pre Unihemispheric 4mA brain stimulation","","",""
