"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"t2_svr_qc","Float","","Recommended","T2 SVR visual check quality score","0::4;-999","The values are between 0-4 (includes decimal values). The value -999 will be present when data are not available.",""
"t1_svr_qc","Float","","Recommended","T1 SVR visual check quality score","0::4;-999","The values are between 0-4 (includes decimal values). The value -999 will be present when data are not available.",""
"drawem_qc","Float","","Recommended","DrawEM_17 labels visual check quality score","0::2;-999","The values are between 0-2 (includes decimal values). The value -999 will be present when data are not available.",""
"fetal_age","Integer","","Recommended","Age of the fetus (i.e., gestational age) in days","0::322","",""
"fetal_age_type","Integer","","Recommended","Type of gestational age used for fetal_age","1;2","1 = Postovulatory gestational age, defined as days since the last ovulation, expected term of 266 days; 2 = Postmenstrual gestational age, days since the last menstrual period, expected term of 280 days",""
