"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respond_detail","Integer","","Recommended","Respondent detail","1::8;999","1 = Mother; 2 = Father; 3 = Other relative or custodial adult; 4 = Teacher or caregiver; 5 = Other specialist; 6 = Other; 7 = Child; 8= Spouse; 999 = Not available","fmss_FamilyMember"
"fmss_initialstatement","String","20","Recommended","Initial Statement","Positive;Neutral;Negative","",""
"fmss_relationship","String","20","Recommended","Often I have trouble getting my breath","Positive;Neutral;Negative","",""
"fmss_criticism","Integer","","Recommended","Criticism (#)","0::50","",""
"fmss_dissatisfaction","String","20","Recommended","Dissatisfaction","Present;Absent","",""
"fmss_emotionaldisplay","String","20","Recommended","Emotional Display","Present;Absent","",""
"fmss_statementofattitude","Integer","","Recommended","Statement of Attitude (#)","0::50","",""
"fmss_selfsacoverprotection","String","50","Recommended","Self-sacrifice/Overprotection","Present;Borderline;Absent;borderline lack of objectivity;lack of objectivity;SS;overprotective;borderline overprotective","",""
"fmss_excessivedetail","String","20","Recommended","Excessive Detail","Present;Borderline;Absent","",""
"fmss_positiveremarks","Integer","","Recommended","Positive Remarks","0::50","",""
"fmss_eesubgroup","String","20","Recommended","EE subgroup","Low;bCrit;bEOI;bCrit/bEOI;Crit;EOI;Crit/bEOI;bCrit/EOI;Crit/EOI","",""
"fmss_ee","String","20","Recommended","EE","High;Low","",""
"warmth_rating","Integer","","Recommended","Warmth Rating","0::5","0 = Absent; 3 = Neutral; 5 = Present",""
"visit_year","Integer","","Recommended","Year of visit","","",""
