"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","nimhid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","ptid"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","scsdate,testdate"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mps01","Integer","","Recommended","My parents set very high standards for me.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing",""
"mps02","Integer","","Recommended","Organization is very important to me.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing",""
"mps03","Integer","","Recommended","As a child, I was punished for doing things less than perfectly.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing",""
"mps04","Integer","","Recommended","If I do not set the highest standards for myself, I am likely to end up a second rate person.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing","mps4_ps"
"mps05","Integer","","Recommended","My parents never tried to understand my mistakes.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing",""
"mps06","Integer","","Recommended","It is important to me that I be thoroughly competent in everything that I do.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing","mps6_ps"
"mps07","Integer","","Recommended","I am a neat person.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing",""
"mps08","Integer","","Recommended","I try to be an organized person.","1::5;9999","1=Strongly Disagree; 2=2; 3=3; 4=4; 5=Strongly Agree; 9999=Missing",""
