"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","fnq_c_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fnq_c_1","Integer","","Recommended","1. Where do you live?","1::4; -9999","1= A - At home with parents.; 2= B - In a university residence hall.; 3= C - In a fraternity/sorority house.; 4= D - In a house/apartment; -9999= Do not wish to answer",""
"fnq_c_2","Integer","","Recommended","2. How are your living expenses (rent, food, entertainment, etc.) paid?","1::4; -9999","1= A - Mostly by parents=; 2= B - Mostly by scholarship= parents pay the rest.; 3= C - Mostly by yourself; 4= D - Mostly by scholarship= you pay the rest; -9999= Do not wish to answer",""
"fnq_mh_1","Integer","","Recommended","1. Where do you get your money?","1::5","1= A - Allowance from parents/caregivers; 2= B - Gifts; 3= C -You have a regular job; 4= D - You work odd jobs; 5= E - Other",""
"fnq_mh_1_other","String","50","Recommended","1. Where do you get your money? Specify ""Other""","","",""
"fnq_mh_2","Integer","","Recommended","2. How are your school expenses (notebooks, supplies, etc.) and clothing paid?","1::3","1= A - Mostly by parents/caregivers; 2= B - By yourself and by your parents/caregivers; 3= C - Mostly by yourself","fnq_c_3"
"fnq_mh_3","Integer","","Recommended","3. Who pays for other things you use (cell phone, games, movies, sports, music)?","1::3","1= A - Mostly by parents/caregivers; 2= B - By yourself and by your parents/caregivers; 3= C - Mostly by yourself",""
"fnq_mh_4","Integer","","Recommended","4. During an average week, how often do you eat at a restaurant?","1::4","1= A - Never eat out; 2= B - Less than 3 times; 3= C - 3-7 times; 4= D - Almost all meals","fnq_c_4"
"fnq_mh_5","Integer","","Recommended","5. When you eat out, how much do you usually spend?","1::4","1= A - Your parents/caregivers usually pay when you eat out; 2= B - Less than $6.50; 3= C - $6.50 to $13; 4= D - More than $13","fnq_c_5"
"fnq_mh_6","Integer","","Recommended","6. How often do you have pocket money to buy simple things?","1::4","1= A - Never; 2= B - Sometimes= but there are days when you are broke.; 3= C - Usually; 4= D - Always","fnq_c_6"
"fnq_mh_7","Integer","","Recommended","7. On weekends, if you want to, how often do you have money to go out?","1::4","1= A - Never; 2= B - Sometimes= but sometimes you have to stay home.; 3= C - Usually; 4= D - Always","fnq_c_7"
"fnq_mh_8","Integer","","Recommended","8. Are you employed?","1::4","1= A - Yes; 2= B - Yes= by family or neighbors; 3= C - No. You don't have a job but you are looking for one; 4= D - No. You don't have a job and you are not looking for one.","fnq_c_8"
"fnq_mh_9_parents","Float","","Recommended","How much money do you get from Parents/Allowance per month?","","dollars","fnq_c_9_parents"
"fnq_mh_9_jobs","Float","","Recommended","How much money do you get from Jobs per month?","","dollars","fnq_c_9_jobs"
"fnq_mh_9_oddjobs","Float","","Recommended","How much money do you get from Odd Jobs per month?","","dollars","fnq_c_9_oddjobs"
"fnq_mh_9_gifts","Float","","Recommended","How much money do you get from Gifts per year?","","dollars","fnq_c_9_gifts"
"fnq_mh_9_scholarship","Float","","Recommended","How much money do you get from Scholarships per month?","","dollars","fnq_c_9_scholarship"
"fnq_mh_9_other","Float","","Recommended","How much money do you get from other sources per month?","","dollars","fnq_c_9_other"
"fnq_mh_9_other_specified","String","50","Recommended","How much money do you get from other sources per month? Specify ""Other""","","","fnq_c_9_other_specified"
"fnq_mh_10","Integer","","Recommended","10. How would you describe your level of financial need? How much do you need money?","0::10","10=being ""Extreme financial need"";  0=being ""None"",","fnq_c_16"
"version_form","String","121","Recommended","Form used/assessment name","","",""
"if08","Integer","","Recommended","Do you own a home?","0;1","0= No; 1= Yes",""
"if09","Integer","","Recommended","Do you own any investment properties (e.g., rental property)?","0;1","0= No; 1= Yes",""
"if10","Integer","","Recommended","Do you regularly receive money from your parents or other family members?","0;1","0= No; 1= Yes",""
"if11","Integer","","Recommended","If yes, how much do you receive in a typical month?","","Amount in US Dollars",""
"if12","Integer","","Recommended","Have you ever applied for SSI or SSDI benefits?","0;1","0= No; 1= Yes",""
"if13","Integer","","Recommended","If yes, was the application approved?","0;1","0= No; 1= Yes",""
"if14","Integer","","Recommended","If it was approved, how much do you receive monthly?","","Amount in US Dollars",""
"if15","Integer","","Recommended","Do you receive money from any other welfare or government assistance programs?","0;1","0= No; 1= Yes",""
"if16","Integer","","Recommended","If yes, how much do you receive monthly?","","Amount in US Dollars",""
"if17","Integer","","Recommended","How many credit cards do you have (include bank, store, gas)?","","Number of Credit Cards",""
"if18","Integer","","Recommended","How many times have you been turned down for a credit card?","","0 or Number of Times",""
"if19","Integer","","Recommended","How many times has one of your credit cards been canceled by the issuer (not by you)?","","0 or Number of Times",""
"if20","Integer","","Recommended","Do you have debts? (DO NOT COUNT HOUSE, CAR, OR STUDENT LOAN)","0;1","0= No; 1= Yes",""
"if21","Integer","","Recommended","If yes, how much debt to you currently have (not including house, car or student loan)?","1 :: 6","1= Less than 100; 2= 101  500; 3= 501   1,000; 4= 1001 5,000; 5= 5,001 10,000; 6= More than 10,000",""
"if22","Integer","","Recommended","In the past 2 years, have your parents or another family member or friend provided emergency funds to help you out of financial trouble?","0;1","0= No; 1= Yes",""
"if23","Integer","","Recommended","How much money was provided in total?","","Amount in US Dollars",""
"if24","Integer","","Recommended","In the past two years, have you helped another family member or friend with emergency funds?","0;1","0= No; 1= Yes",""
"if25","Integer","","Recommended","How much money was provided in total?","","Amount in US Dollars",""
"if26","Integer","","Recommended","In the past two years, have you moved in with parents or other family members after living independently?","0;1","0= No; 1= Yes",""
"if27","String","4000","Recommended","Describe the reasons why you moved back home:","","",""
"if01","Integer","","Recommended","What is your annual income?","1 :: 41","1= Under 5,000; 2= 5,000 to 9,999; 3= 10,000 to 14,999; 4= 15,000 to 19,999; 5= 20,000 to 24,999; 6= 25,000 to 29,999; 7= 30,000 to 34,999; 8= 35,000 to 39,999; 9= 40,000 to 44,999; 10= 45,000 to 49,999; 11= 50,000 to 54,999; 12= 55,000 to 59,999; 13= 60,000 to 64,999; 14= 65,000 to 69,999; 15= 70,000 to 74,999; 16= 75,000 to 79,999; 17= 80,000 to 84,999; 18= 85,000 to 89,999; 19= 90,000 to 94,999; 20= 95,000 to 99,999; 21= 100,000 to 104,999; 22= 105,000 to 109,999; 23= 110,000 to 114,999; 24= 115,000 to 119,999; 25= 120,000 to 124,999; 26= 125,000 to 129,999; 27= 130,000 to 134,999; 28= 135,000 to 139,999; 29= 140,000 to 144,999; 30= 145,000 to 149,999; 31= 150,000 to 154,999; 32= 155,000 to 159,999; 33= 160,000 to 164,999; 34= 165,000 to 169,999; 35= 170,000 to 174,999; 36= 175,000 to 179,999; 37= 180,000 to 184,999; 38= 185,000 to 189,999; 39= 190,000 to 194,999; 40= 195,000 to 199,999; 41= 200,000 or more",""
"if28","Integer","","Recommended","In the past 12 months, what kind of health insurance have you had? Check any that apply.","0 :: 7","0= No insurance; 1= Employer coverage self; 2= Employer coverage partner; 3= Individual Coverage Self; 4= Individual coverage partner; 5= Medicaid; 6= State plan (CHIP); 7= Other",""
"if29","Integer","","Recommended","If you currently do not have health insurance, what is the reason:","1 :: 5","1= Not applicable, I have insurance; 2= Cant afford; 3= Employer does not offer; 4= Dont need; 5= Other",""
"if30","String","100","Recommended","If other, Please specify:","","",""
"if02","Integer","","Recommended","How much money do you pay in rent or housing monthly?","","Amount in US Dollars",""
"if03","Integer","","Recommended","Do you provide financially for others (e.g., partner, children)?","0;1","0= No; 1= Yes",""
"if04","Integer","","Recommended","How much money do you have in savings?","1 :: 41","1= Under 5,000; 2= 5,000 to 9,999; 3= 10,000 to 14,999; 4= 15,000 to 19,999; 5= 20,000 to 24,999; 6= 25,000 to 29,999; 7= 30,000 to 34,999; 8= 35,000 to 39,999; 9= 40,000 to 44,999; 10= 45,000 to 49,999; 11= 50,000 to 54,999; 12= 55,000 to 59,999; 13= 60,000 to 64,999; 14= 65,000 to 69,999; 15= 70,000 to 74,999; 16= 75,000 to 79,999; 17= 80,000 to 84,999; 18= 85,000 to 89,999; 19= 90,000 to 94,999; 20= 95,000 to 99,999; 21= 100,000 to 104,999; 22= 105,000 to 109,999; 23= 110,000 to 114,999; 24= 115,000 to 119,999; 25= 120,000 to 124,999; 26= 125,000 to 129,999; 27= 130,000 to 134,999; 28= 135,000 to 139,999; 29= 140,000 to 144,999; 30= 145,000 to 149,999; 31= 150,000 to 154,999; 32= 155,000 to 159,999; 33= 160,000 to 164,999; 34= 165,000 to 169,999; 35= 170,000 to 174,999; 36= 175,000 to 179,999; 37= 180,000 to 184,999; 38= 185,000 to 189,999; 39= 190,000 to 194,999; 40= 195,000 to 199,999; 41= 200,000 or more",""
"if05","Integer","","Recommended","Do you have a tax deferred retirement account?","0;1","0= No; 1= Yes",""
"if06","Integer","","Recommended","Do you invest in the stock market or other financial investments?","0;1","0= No; 1= Yes",""
"if07","Integer","","Recommended","About how much money do you have in investments?","","Amount in US Dollars",""
