"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"phenotype_description","String","4000","Recommended","Description of the phenotype for the subject","","","population"
"edutot","Float","","Recommended","Total years of education","","","education"
"satdesirechange","Integer","","Recommended","Pre- to post-satiation change in subjective desirability of satiated reward: (Target Desire3 - Target Desire2)","","",""
"neutdesirechange","Integer","","Recommended","Pre- to post-satiation change in subjective desirability of non-satiated reward: (Neutral Desire3 - Neutral Desire2)","","",""
"hungerchange","Integer","","Recommended","Pre- to post-satiation change in hunger: (Hunger3 - Hunger2)","","",""
"fullnesschange","Integer","","Recommended","Pre- to post-satiation change in fullness: (Fullness3 - Fullness2)","","",""
"calories_consumed_in_satiation","Float","","Recommended","Calories consumed during satiation phase","150::1000","",""
"pre_responses__satiated","Integer","","Recommended","Number of button-presses for the satiated reward during Pre-satiation","","",""
"post_response__satiated","Integer","","Recommended","Number of button-presses for the satiated reward during Post-satiation","","",""
"pre_responses__neutral","Integer","","Recommended","Number of button-presses for the non-satiated reward during Pre-satiation","","",""
"post_responses__neutral","Integer","","Recommended","Number of button-presses for the non-satiated reward during Post-satiation","","",""
"target_desire1","Integer","","Recommended","Subjective desirability of satiated reward before Training phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"target_desire2","Integer","","Recommended","Subjective desirability of satiated reward before Pre-satiation phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"target_desire3","Integer","","Recommended","Subjective desirability of satiated reward after Satiation phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"target_desire4","Integer","","Recommended","Subjective desirability of satiated reward after Post-satiation phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"neutral_desire1","Integer","","Recommended","Subjective desirability of non-satiated reward before Training phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"neutral_desire2","Integer","","Recommended","Subjective desirability of non-satiated reward before Pre-satiation phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"neutral_desire3","Integer","","Recommended","Subjective desirability of non-satiated reward after Satiation phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"neutral_desire4","Integer","","Recommended","Subjective desirability of non-satiated reward after Post-satiation phase","0::10","0 = Not at all; 5 = Moderately; 10 = Very much",""
"hunger1","Integer","","Recommended","Subjective hunger before Training phase","0::10","0 = Not at all hungry; 5 = Moderately hungry; 10 = Extremely hungry",""
"hunger2","Integer","","Recommended","Subjective hunger before Pre-satiation phase","0::10","0 = Not at all hungry; 5 = Moderately hungry; 10 = Extremely hungry",""
"hunger3","Integer","","Recommended","Subjective hunger after Satiation phase","0::10","0 = Not at all hungry; 5 = Moderately hungry; 10 = Extremely hungry",""
"hunger4","Integer","","Recommended","Subjective hunger after Post-satiation phase","0::10","0 = Not at all hungry; 5 = Moderately hungry; 10 = Extremely hungry",""
"fullness1","Integer","","Recommended","Subjective fullness before Training phase","0::10","0 = Not at all full; 5 = Moderately full; 10 = Extremely full",""
"fullness2","Integer","","Recommended","Subjective fullness before Pre-satiation phase","0::10","0 = Not at all full; 5 = Moderately full; 10 = Extremely full",""
"fullness3","Integer","","Recommended","Subjective fullness after Satiation phase","0::10","0 = Not at all full; 5 = Moderately full; 10 = Extremely full",""
"fullness4","Integer","","Recommended","Subjective fullness after Post-satiation phase","0::10","0 = Not at all full; 5 = Moderately full; 10 = Extremely full",""
"bmi","Float","","Recommended","body mass index of subject","","-9=Missing; -5=Item/Instrument not collected; -2=Not collected at this time point",""
"eat_26","Integer","","Recommended","Eating Attitudes Test score","","",""
"total_training_trials","Integer","","Recommended","Total trials needed to reach criterion (10 of both rewards obtained) during the Training phase","","",""
"total_calories","Float","","Recommended","Total calories consumed during the entire task","","",""
"satdevalscore","Integer","","Recommended","Devaluation score for the satiated reward: (Pre-Responses__Satiated minus Post-Responses__Satiated)","","",""
"nonsatdevalscore","Integer","","Recommended","Devaluation score for the non-satiated reward: (Pre-Responses__Neutral minus Post-Responses__Neutral)","","",""
"trainq1only","Integer","","Recommended","Number of both rewards obtained during the first quarter of the Training phase","","",""
"trainq2only","Integer","","Recommended","Number of both rewards obtained during the second quarter of the Training phase","","",""
"trainq3only","Integer","","Recommended","Number of both rewards obtained during the third quarter of the Training phase","","",""
"trainq4only","Integer","","Recommended","Number of both rewards obtained during the fourth quarter of the Training phase","","",""
"fspgod","String","70","Recommended","Subject's gender OTHER describe","","",""
