"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"friend_age","Integer","","Recommended","How old is this friend? If you don't know exactly, give a guess.","0::1200","Age in months",""
"friend_know","String","500","Recommended","How do you know this friend?","","",""
"friend_gender","String","20","Recommended","Is your friend a boy or a girl?","M;F;O","M = Male; F = Female; O = Other",""
"friend_going","Integer","","Recommended","How is this friendship going?","1::15","1 = frowning face; 15 = smiling face",""
"friend_happy","Integer","","Recommended","How happy are you with this friendship?","1::15","1 = frowning face; 15 = smiling face",""
"lrsat","Float","","Recommended","Satisfaction score","","","friend_satsified"
"fqq1","Integer","","Recommended","Do you and your friend live really close to each other?","0::4","0 = Not at all true; 1 = A little true; 2 = Somewhat true; 3 = Pretty true; 4 = Really true",""
"fqq2","Integer","","Recommended","Always sit together at lunch?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq3","Integer","","Recommended","Get mad a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq4","Integer","","Recommended","Tell you you're good at things?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq5","Integer","","Recommended","Sticks up for you if others talk behind your back?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq6","Integer","","Recommended","Make each other feel important and special?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq7","Integer","","Recommended","Always pick each other as partners for things?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq8","Integer","","Recommended","Say ""I'm sorry"" if he/she hurts your feelings?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq9","Integer","","Recommended","Sometimes says mean things about you to other kids?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq10","Integer","","Recommended","Has good ideas about games to play?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq11","Integer","","Recommended","Talk about how to get over being mad at each other?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq12","Integer","","Recommended","Would like you even if others didn't?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq13","Integer","","Recommended","Tells you that you are pretty smart?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq14","Integer","","Recommended","Always tell each other your problems?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq15","Integer","","Recommended","Makes you feel good about your ideas?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq16","Integer","","Recommended","Talk to him/her when you're mad about something that happened to you?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq17","Integer","","Recommended","Help each other with chores a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq18","Integer","","Recommended","Do special favors for each other?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq19","Integer","","Recommended","Do fun things together a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq20","Integer","","Recommended","Argue a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq21","Integer","","Recommended","Can count on to keep promises?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq22","Integer","","Recommended","Go to each other's houses?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq23","Integer","","Recommended","Always play together at recess?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq24","Integer","","Recommended","Gives advice with figuring things out?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq25","Integer","","Recommended","Talk about the things that make you sad?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq26","Integer","","Recommended","Make up easily when you have a fight?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq27","Integer","","Recommended","Fight a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq28","Integer","","Recommended","Share things with each other?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq29","Integer","","Recommended","Talk about how to make yourselves feel better if you are mad at each other?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq30","Integer","","Recommended","Does not tell others your secrets?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq31","Integer","","Recommended","Bug each other a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq32","Integer","","Recommended","Come up with good ideas on ways to do things?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq33","Integer","","Recommended","Loan each other things all the time?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq34","Integer","","Recommended","Helps you so you can get done more quickly?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq35","Integer","","Recommended","Get over your arguments really quickly?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq36","Integer","","Recommended","Count on each other for good ideas on how to get things done?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq37","Integer","","Recommended","Doesn't listen to you?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq38","Integer","","Recommended","Tell each other private things?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq39","Integer","","Recommended","Help each other with schoolwork a lot?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq40","Integer","","Recommended","Tell each other secrets?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq41","Integer","","Recommended","Cares about your feelings?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq42","Integer","","Recommended","When you get mad at your friend, do you stay mad for a long time?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq43","Integer","","Recommended","Do you and your friend listen to each other?","0::4","0 = No; 1 = Not very much; 2 = Sometimes; 3 = A lot of times; 4 = Always",""
"fqq_vc","Integer","","Recommended","Validation and Caring Score","","",""
"fqq_cr","Integer","","Recommended","Conflict Resolution Score","","",""
"fqq_cb","Integer","","Recommended","Conflict and Betrayal Score","","",""
"fqq_hg","Integer","","Recommended","Help and Guidance Score","","",""
"fqq_car","Integer","","Recommended","Companionship and Recreation Score","","",""
"fqq_ie","Integer","","Recommended","Intimate Exchange Score","","",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"childfriend1","Integer","","Recommended","1. Do you have a closest (or best) friend?","0;1","0 = No; 1 = Yes",""
"childfriend3","Integer","","Recommended","3. How happy are you with your friendship with your best friend?","1::4","1 = Not at all happy; 4 = Very happy",""
"childfriend5","Integer","","Recommended","5. Overall, how happy are you with your friendships?","1::4","1 = Not at all happy; 4 = Very happy",""
"fqq44","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends that mean a lot to me.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
"fqq45","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends that inspire me to work hard.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
"fqq46","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends who stand up for me.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
"fqq47","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends that help me learn about working with others.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
"fqq48","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends who count on me.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
"fqq49","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends who help me stay out of trouble.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
"fqq50","Integer","","Recommended","Please tell us how true each of the following statements is about you. I have friends who I feel safe with.","0::3;999","0= Not true about me; 1= A little true about me; 2 = Somewhat true about me; 3 = Mostly true about me; 999 = Missing",""
