"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fjq_child_1","Integer","","Recommended","I would feel embarrassed if I saw [friendfirstnm] trip in the cafeteria and spill [friend_his_her] lunch tray.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_2","Integer","","Recommended","I would feel jealous if I invited [friendfirstnm] to go see a new movie, but [friend_he_she] told me [friend_he_she] was already going with another [friend_boy_girl] from our group.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_3","Integer","","Recommended","I would feel guilty if [friendfirstnm] got a good grade on a test that I knew [friend_he_she] didn't study for.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_4","Integer","","Recommended","I would feel jealous if the teacher let us pick study partners for this year, and another [friend_boy_girl] in our group picked [friendfirstnm] first.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_5","Integer","","Recommended","I would be excited if [friendfirstnm] won two tickets to an amusement park and invited me.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_6","Integer","","Recommended","I would feel jealous if [friendfirstnm] and I used to walk to school together by ourselves and talk, and a new [friend_boy_girl] moved into the neighborhood and began walking with us every day.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_7","Integer","","Recommended","I would feel bad if [friendfirstnm] called to tell me that the water pipes had burst at [friend_his_her] house, and [friend_he_she] couldn't meet me after school today.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_8","Integer","","Recommended","I would feel jealous if I walked into the library and saw [friendfirstnm] and another [friend_boy_girl] from our group talking, joking, and making plans to walk home together after school.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_9","Integer","","Recommended","I would feel angry if [friendfirstnm] failed a test at school.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_10","Integer","","Recommended","I would feel jealous if I found out that [friendfirstnm] went to a new music store with another [friend_boy_girl] from our group, when we had said we would go together the first time.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_11","Integer","","Recommended","I would feel sad if [friendfirstnm] moved to another state.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_12","Integer","","Recommended","I would feel jealous if I found out that [friendfirstnm] got into a fight with [friend_his_her] parents, and [friend_he_she] called another [friend_boy_girl] from our group for advice and didn't talk to me.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_13","Integer","","Recommended","I would feel sad if [friendfirstnm] wanted to be on the student committee to pick the new school mascot, and didn't get picked.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_14","Integer","","Recommended","I would feel jealous if [friendfirstnm] is assigned to work on a project with another [friend_boy_girl] in our group, and they started spending a lot of time together.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_15","Integer","","Recommended","I would feel mad if the teacher gave [friendfirstnm] detention for talking in class, when [friend_he_she] actually was not one of the ones talking.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_16","Integer","","Recommended","I would feel jealous if I found out that another [friend_boy_girl] in our group was planning a cool surprise birthday party for [friendfirstnm].","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_17","Integer","","Recommended","I'd think it was funny if [friendfirstnm] had gum stuck on the back of [friend_his_her] pants.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_18","Integer","","Recommended","I would feel jealous if [friendfirstnm] joined a team or club without me, and [friend_he_she] started spending a lot of time with the other [friend_boys_girls] in that group.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_19","Integer","","Recommended","I would feel angry if I loaned [friendfirstnm] my new CD, and [friend_he_she] lost it and didn't get me another one.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_20","Integer","","Recommended","I would feel jealous if [friendfirstnm] had a secret and didn't tell me first.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_21","Integer","","Recommended","I would feel confused if [friendfirstnm] won a prize and didn't tell me about it.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_22","Integer","","Recommended","I would feel jealous if I gave [friendfirstnm] a birthday present, and [friend_he_she] got one she liked even better from another [friend_boy_girl] in our group.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_23","Integer","","Recommended","I would feel lonely if [friendfirstnm] stayed at home, and I went away to camp for the summer.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_24","Integer","","Recommended","I would feel jealous if [friendfirstnm] and I used to always check each other's homework together, and another [friend_boy_girl] in our group started checking it with [friend_him_her].","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_25","Integer","","Recommended","I would feel jealous if I overheard two [friend_boys_girls] from our group talking and one of them told the other one that [friend_he_she] and [friendfirstnm] are best friends.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_26","Integer","","Recommended","I would feel jealous if I called [friendfirstnm] to talk and [friend_he_she] told me [friend_he_she] couldn't because another [friend_boy_girl] from our group was waiting for [friend_him_her] and they were going on a bike ride.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"fjq_child_27","Integer","","Recommended","I would feel jealous if another [friend_boy_girl] from our group picked [friendfirstnm] to go with [friend_his_her] family on a camping trip overnight.","0::4","0= Not true at all; 1= A little true; 2= Somewhat true; 3= Pretty true; 4= Really true",""
"about_whom","String","100","Recommended","Description of person or group of people about whom participant is answering questions","","e.g., Partner 1, Friend 2, neighbors",""
