"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily","visit_number"
"fsscr_1","Integer","","Recommended","1. Giving an oral report.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_2","Integer","","Recommended","2. Riding in the car or bus.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_3","Integer","","Recommended","3. Getting punished by mother.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_4","Integer","","Recommended","4. Lizards.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_5","Integer","","Recommended","5. Looking foolish.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_6","Integer","","Recommended","6. Ghosts or spooky things.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_7","Integer","","Recommended","7. Sharp objects.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_8","Integer","","Recommended","8. Having to go to the hospital.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_9","Integer","","Recommended","9. Death or dead people.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_10","Integer","","Recommended","10. Getting lost in a strange place.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_11","Integer","","Recommended","11. Snakes.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_12","Integer","","Recommended","12. Talking on the telephone.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_13","Integer","","Recommended","13. Roller coaster or carnival rides.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_14","Integer","","Recommended","14. Getting sick at school.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_15","Integer","","Recommended","15. Being sent to the principal.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_16","Integer","","Recommended","16. Riding on the train.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_17","Integer","","Recommended","17. Being left at home with a sitter.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_18","Integer","","Recommended","18. Bears or wolves.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_19","Integer","","Recommended","19. Meeting someone for the first time.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_20","Integer","","Recommended","20. Bombing attacks---being invaded.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_21","Integer","","Recommended","21. Getting a shot from the nurse or doctor.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_22","Integer","","Recommended","22. Going to the dentist.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_23","Integer","","Recommended","23. High places like mountains.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_24","Integer","","Recommended","24. Being teased.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_25","Integer","","Recommended","25. Spiders.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_26","Integer","","Recommended","26. A burglar breaking into our house.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_27","Integer","","Recommended","27. Flying in an airplane.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_28","Integer","","Recommended","28. Being called on by the teacher.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_29","Integer","","Recommended","29. Getting poor grades.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_30","Integer","","Recommended","30. Bats or birds.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_31","Integer","","Recommended","31. My parents criticizing me.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_32","Integer","","Recommended","32. Guns.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_33","Integer","","Recommended","33. Being in a fight.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_34","Integer","","Recommended","34. FIre---getting burned.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_35","Integer","","Recommended","35. Getting a cut or injury.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_36","Integer","","Recommended","36. Being in a big crowd.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_37","Integer","","Recommended","37. Thunderstorms.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_38","Integer","","Recommended","38. Having to eat some food I don't like.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_39","Integer","","Recommended","39. Cats.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_40","Integer","","Recommended","40. Failing a test.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_41","Integer","","Recommended","41. Being hit by a car or truck.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_42","Integer","","Recommended","42. Having to go to school.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_43","Integer","","Recommended","43. Playing rough games during recess.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_44","Integer","","Recommended","44. Having my parents argue.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_45","Integer","","Recommended","45. Dark rooms or closets.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_46","Integer","","Recommended","46. Having to put on a recital or perfromance.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_47","Integer","","Recommended","47. Ants or beetles.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_48","Integer","","Recommended","48. Being criticized by others.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_49","Integer","","Recommended","49. Strange looking people.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_50","Integer","","Recommended","50. The sight of blood.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_51","Integer","","Recommended","51. Going to the doctor.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_52","Integer","","Recommended","52. Strange or mean looking dogs.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_53","Integer","","Recommended","53. Cemeteries (graveyards).","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_54","Integer","","Recommended","54. Getting a report card.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_55","Integer","","Recommended","55. Getting a haircut.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_56","Integer","","Recommended","56. Deep water or the ocean.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_57","Integer","","Recommended","57. Nightmares.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_58","Integer","","Recommended","58. Falling from high places.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_59","Integer","","Recommended","59. Getting a shock from electricity.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_60","Integer","","Recommended","60. Going to bed in the dark.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_61","Integer","","Recommended","61. Getting car sick.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_62","Integer","","Recommended","62. Being alone.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_63","Integer","","Recommended","63. Having to wear clothes different from others.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_64","Integer","","Recommended","64. Getting punished by my father.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_65","Integer","","Recommended","65. Having to stay after school.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_66","Integer","","Recommended","66. Making mistakes.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_67","Integer","","Recommended","67. Mystery movies.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_68","Integer","","Recommended","68. Loud sirens.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_69","Integer","","Recommended","69. Doing something new.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_70","Integer","","Recommended","70. Germs or getting a serious illness.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_71","Integer","","Recommended","71. Closed spaces.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_72","Integer","","Recommended","72. Earthquakes.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_73","Integer","","Recommended","73. Terrorists.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_74","Integer","","Recommended","74. Elevators.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_75","Integer","","Recommended","75. Dark places.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_76","Integer","","Recommended","76. Not being able to breathe.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_77","Integer","","Recommended","77. Getting a bee sting.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_78","Integer","","Recommended","78. Worms or snails.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_79","Integer","","Recommended","79. Rats or mice.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_80","Integer","","Recommended","80. Taking a test.","0::2; 9999","0=None; 1=Some; 2=A lot; 9999=Missing",""
"fsscr_facr_sc","Integer","","Recommended","FSSCR-Failure and Criticism score","0::46","",""
"fsscr_unk_sc","Integer","","Recommended","FSSCR-The Unknown score","0::36","",""
