"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"c_2_think_female","Integer","","Recommended","Over the last 6 months- I think of myself as a female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_1_think_male","Integer","","Recommended","Over the last 6 months- I think of myself as a male.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_3_think_both","Integer","","Recommended","Over the last 6 months- I think of myself as both a male and a female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_4_think_neither","Integer","","Recommended","Over the last 6 months- I think of myself as neither a male nor a female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_5_think_completelydiff","Integer","","Recommended","Over the last 6 months- I think of myself as completely different than male or female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_11_seeme_female","Integer","","Recommended","Over the last 6 months- I want people to see me as a female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_10_seeme_male","Integer","","Recommended","Over the last 6 months- I want people to see me as a male.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_12_seeme_both","Integer","","Recommended","Over the last 6 months- I want people to see me as both a male and a female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_13_seeme_neither","Integer","","Recommended","Over the last 6 months- I want people to see me as neither a male nor a female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_14_seeme_completelydiff","Integer","","Recommended","Over the last 6 months- I want people to see me as a gender completely different than male or female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_16_truegender_female","Integer","","Recommended","Over the last 6 months- Overall, I feel that deep down my true gender is female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_15_truegender_male","Integer","","Recommended","Over the last 6 months- Overall, I feel that deep down my true gender is male.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_17_truegender_both","Integer","","Recommended","Over the last 6 months- Overall, I feel that deep down my true gender is both male and female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_18_truegender_neither","Integer","","Recommended","Over the last 6 months- Overall, I feel that deep down my true gender is neither male nor female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_19_truegender_completelydif","Integer","","Recommended","Over the last 6 months- Overall, I feel that deep down my true gender is completely different than male or female.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_33_femalename","Integer","","Recommended","Over the last 6 months- Having a female name feels or would feel right for me.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_35_malename_69ec3c","Integer","","Recommended","Over the last 6 months- Having a male name feels or would feel right for me.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_37_genderneutral_name","Integer","","Recommended","Over the last 6 months- Having a gender neutral name (not clearly male or female) feels or would feel right for me.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_34_femalepronoun","Integer","","Recommended","Over the last 6 months- Being called ''she'' or ''her'' feels or would feel right for me.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_36_malepronoun","Integer","","Recommended","Over the last 6 months- Being called ''he'' or ''him'' feels or would feel right for me.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_38_genderneutral_pronoun","Integer","","Recommended","Over the last 6 months- Being called ''they'' or ''them'' or something that is gender neutral feels or would feel right for me.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_50_penis_31a167","Integer","","Recommended","Over the last 6 months- I'm fine having a penis. Or if I don't have a penis, I wish I had been born with one.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_51_vagina_ca5052","Integer","","Recommended","Over the last 6 months- I'm fine having a vagina. Or if I don't have a vagina, I wish I had been born with one.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_53_breasts_a292de","Integer","","Recommended","Over the last 6 months- I'm fine having breasts. Or if I don't have breasts now, I would be fine having them in the future.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_54_flatchest_0d8641","Integer","","Recommended","Over the last 6 months- I'd rather have breasts than a flat chest.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_73_deepvoice_upset","Integer","","Recommended","Over the last 6 months- I am upset or would be upset having a deeper (low-pitch) voice.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_74_beard_upset_8904c9","Integer","","Recommended","Over the last 6 months- Having hair on my face (like a beard or a mustache) would be very upsetting.","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_58_female_voice_6fe803","Integer","","Recommended","Over the last 6 months- I want my voice to sound like most girls or women (higher-pitch).","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_60_male_voice_3b8ec7","Integer","","Recommended","Over the last 6 months- I want my voice to sound like most boys or men (lower-pitch).","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_61_neutral_voice_61ba63","Integer","","Recommended","Over the last 6 months- I want my voice to sound neither male nor female (gender neutral).","0::3","0=Never true; 1=Sometimes true; 2=Often true; 3=Always true",""
"c_82_attracted_female","Integer","","Recommended","Over the last 6 months- I am sexually attracted to people who are female.","0::2","0=False; 1=True; 2=Somewhat True",""
"c_83_attracted_male","Integer","","Recommended","Over the last 6 months- I am sexually attracted to people who are male.","0::2","0=False; 1=True; 2=Somewhat True",""
"c_84_attracted_neith","Integer","","Recommended","Over the last 6 months- I am sexually attracted to people who are neither male nor female (gender nonbinary).","0::2","0=False; 1=True; 2=Somewhat True",""
"c_85_attracted_notsure","Integer","","Recommended","Over the last 6 months- I'm not sure whether I'm sexually attracted to males, females, neither, or both.","0::2","0=False; 1=True; 2=Somewhat True",""
"c_86_no_sexualfeelings","Integer","","Recommended","Over the last 6 months- I have no sexual feelings.","0::2","0=False; 1=True; 2=Somewhat True",""
