"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"gdms1","Integer","","Recommended","When I make decisions, I tend to rely on my intuition (I: Intuitive)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms2","Integer","","Recommended","I rarely make important decisions without consulting other people (D: Dependent)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms3","Integer","","Recommended","When I make a decision, it is more important for me to feel the decision is right than to have a rational reason for it (I: Intuitive)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms4","Integer","","Recommended","I double-check my information sources to be sure I have the right facts before making decisions (R: Rational)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms5","Integer","","Recommended","I use the advice of other people in making my important decisions (D: Dependent)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms6","Integer","","Recommended","I put off making decisions because thinking about them makes me uneasy (A: Avoidant)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms7","Integer","","Recommended","I make decisions in a logical and systematic way (R: Rational)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms8","Integer","","Recommended","When making decisions I do what I think first (S: Spontaneous)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms9","Integer","","Recommended","I generally make snap decisions (S: Spontaneous)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms10","Integer","","Recommended","I like to have someone steer me in the right direction when I am faced with important decisions (D: Dependent)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms11","Integer","","Recommended","My decision-making requires careful thought (R: Rational)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms12","Integer","","Recommended","When making a decision, I trust my inner feelings and reactions (I: Intuitive)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms13","Integer","","Recommended","When making a decision, I consider various options in terms of a specified goal (R: Rational)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms14","Integer","","Recommended","I avoid making important decisions until the pressure is on (A: Avoidant)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms15","Integer","","Recommended","I often make impulsive decisions (S: Spontaneous)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms16","Integer","","Recommended","When making decisions, I rely upon my instincts (I: Intuitive)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms17","Integer","","Recommended","I generally make decisions that feel right to me (I: Intuitive)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms18","Integer","","Recommended","I often need the assistance of other people when making important decisions (D: Dependent)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms19","Integer","","Recommended","I postpone decision making whenever possible (A: Avoidant)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms20","Integer","","Recommended","I often make decisions on the spur of the moment (S: Spontaneous)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms21","Integer","","Recommended","I often put off making important decisions (A: Avoidant)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms22","Integer","","Recommended","If I have the support of others, it is easier for me to make important decisions (D: Dependent)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms23","Integer","","Recommended","I generally make important decisions only if I am obligated (A: Avoidant)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms24","Integer","","Recommended","I make quick decisions (S: Spontaneous)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"gdms25","Integer","","Recommended","I usually have a rational basis for making decisions (R: Rational)","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
