"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"gns_sds1","Integer","","Recommended","Girls are the victims of rumors if they have boyfriends","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_sds2","Integer","","Recommended","Boys tell girls they love them when they don't","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_sds3","Integer","","Recommended","Adolescent girls should avoid boys because they trick them into having sex","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_sds4","Integer","","Recommended","Boys have girlfriends to show off to their friends","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_sds5","Integer","","Recommended","Adolescent boys lose interest in a girl after they have sex with her","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_sds6","Integer","","Recommended","Adolescent boys fool girls into having sex","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst1","Integer","","Recommended","Boys should be raised tough so they can overcome any difficulty in life","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst2","Integer","","Recommended","Girls should avoid raising their voice to be ladylike","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst3","Integer","","Recommended","Boys should always defend themselves even if it means fighting","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst4","Integer","","Recommended","Girls are expected to be humble","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst5","Integer","","Recommended","Girls need their parents' protection more than boys","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst6","Integer","","Recommended","Boys who behave like girls are considered weak","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gst7","Integer","","Recommended","It's important for boys to show they are tough even if they are nervous inside","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gsr1","Integer","","Recommended","A woman's role is taking care of her home and family","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gsr2","Integer","","Recommended","A man should have the final word about decisions in the home","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gsr3","Integer","","Recommended","A woman should obey her husband in all matters","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
"gns_gsr4","Integer","","Recommended","Men should be the ones who bring money home for the family, not women","0::4","0=Disagree a lot; 1=Disagree a little; 2=Neither disagree nor agree; 3=Agree a little; 4=Agree a lot",""
