"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"goldsmith1","Integer","","Recommended","I spend a lot of my free time doing music-related activities.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith2","Integer","","Recommended","I sometimes choose music that can trigger shivers down my spine.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith3","Integer","","Recommended","I enjoy writing about music, for example on blogs and forums.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith4","Integer","","Recommended","If somebody starts singing a song I don't know, I can usually join in.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith5","Integer","","Recommended","I am able to judge whether someone is a good singer or not.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith6","Integer","","Recommended","I can sing or play music from memory.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith7","Integer","","Recommended","I usually know when I'm hearing a song for the first time.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith8","Integer","","Recommended","I'm intrigued by musical styles I'm not familiar with and want to find out more.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith9","Integer","","Recommended","Pieces of music rarely evoke emotions for me. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith10","Integer","","Recommended","I am able to hit the right notes when I sing along with a recording.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith11","Integer","","Recommended","I find it difficult to spot mistakes in a performance of a song even if I know the tune. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith12","Integer","","Recommended","I can compare and discuss differences between two performances or versions of the same piece of music.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith13","Integer","","Recommended","I have trouble recognizing a familiar song when played in a different way or by a different performer. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith14","Integer","","Recommended","I have never been complimented for my talents as a musical performer. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith15","Integer","","Recommended","I often read or search the internet for things related to music.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith16","Integer","","Recommended","I often pick certain music to motivate or excite me.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith17","Integer","","Recommended","I am not able to sing in harmony when somebody is singing a familiar tune. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith18","Integer","","Recommended","I can tell when people sing or play out of time with the beat.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith19","Integer","","Recommended","I am able to identify what is special about a given musical piece.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith20","Integer","","Recommended","I am able to talk about the emotions that a piece of music evokes for me.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith21","Integer","","Recommended","I don't spend much of my disposable income on music. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith22","Integer","","Recommended","I can tell when people sing or play out of tune.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith23","Integer","","Recommended","When I sing, I have no idea whether I'm in tune or not. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith24","Integer","","Recommended","Music is kind of an addiction for me - I couldn't live without it.","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
"goldsmith25","Integer","","Recommended","I don't like singing in public because I'm afraid that I would sing wrong notes. (Reverse Scored)","1::7","1 = Completely Disagree; 2 = Strongly Disagree; 3 = Disagree; 4 = Neither Agree nor Disagree; 5 = Agree; 6; Strongly Agree; 7 = Completely Agree",""
