"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"gs_grass_practice","Integer","","Recommended","# of tries Grass","0::3","",""
"gs_snow_practice","Integer","","Recommended","# of tries Snow","0::3","",""
"gs_item1","Integer","","Recommended","Grass/Snow item 1","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item2","Integer","","Recommended","Grass/Snow item 2","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item3","Integer","","Recommended","Grass/Snow item 3","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item4","Integer","","Recommended","Grass/Snow item 4","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item5","Integer","","Recommended","Grass/Snow item 5","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item6","Integer","","Recommended","Grass/Snow item 6","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item7","Integer","","Recommended","Grass/Snow item 7","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item8","Integer","","Recommended","Grass/Snow item 8","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item9","Integer","","Recommended","Grass/Snow item 9","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item10","Integer","","Recommended","Grass/Snow item 10","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item11","Integer","","Recommended","Grass/Snow item 11","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item12","Integer","","Recommended","Grass/Snow item 12","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item13","Integer","","Recommended","Grass/Snow item 13","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item14","Integer","","Recommended","Grass/Snow item 14","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item15","Integer","","Recommended","Grass/Snow item 15","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"gs_item16","Integer","","Recommended","Grass/Snow item 16","0::2","0= Incorrect Touch; 1= Indirect, Correct Touch;  2= Direct, Correct Touch",""
"total_correct","Integer","","Recommended","Grass Snow Total Number Correct","0::16","",""
"total_trials_admin","Integer","","Recommended","Total Trials Administered","0::16","",""
"percent_correct","Integer","","Recommended","% Correct Tries","","-9= Not Applicable",""
"median_rt","Integer","","Recommended","Median Reaction Time","0::20","",""
"rt_trials_1_4","Integer","","Recommended","Reaction time on trials 1-4","0::20","",""
"rt_trials_13_16","Integer","","Recommended","Reaction time on trials 13-16","0::20","",""
"validity","String","13","Recommended","Validity rating","Yes;No;Questionnable","",""
"notes","String","200","Recommended","Any additional notes","","",""
