"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","gp_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"dom_hand","String","5","Recommended","Dominant hand","R;L; -99","R = Right; L = Left; -99=Missing",""
"ados_module","Integer","","Recommended","ADOS Module","","",""
"dom_totaltime","Float","","Recommended","Dominant hand Total Time (in sec.)","","","hal_reit_peg_dom_sec"
"dom_error","Integer","","Recommended","Dominant hand Errors","","",""
"nondom_hand","String","5","Recommended","Non-dominant hand","R;L","R = Right; L = Left",""
"nondom_totaltime","Float","","Recommended","Non-dominant hand Total Time (in sec.)","","","hal_reit_peg_non_sec"
"nondom_error","Integer","","Recommended","Non-dominant hand Errors","","",""
"hal_reit_peg_both_sec","Integer","","Recommended","time for both hands, seconds","","","gp_time"
"hal_reit_peg_dom_t","Integer","","Recommended","t-score for dominant hand pegboard","","",""
"hal_reit_peg_non_t","Integer","","Recommended","t-score for non-dominant hand pegboard","","",""
"version","String","20","Recommended","Version/code of assessment","","",""
"nc_grv_dnp","Integer","","Recommended","Number of pegs successfully inserted by dominant hand","0::25","","gp_totalscoredomhand"
"nc_grv_ndnp","Integer","","Recommended","Number of pegs successfully inserted by non-dominant hand","0::25","",""
"nc_disabil","Integer","","Recommended","Other Type of Disability (1=yes)","0;1","0=no; 1=yes",""
"site","String","101","Recommended","Site","","Study Site",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14",""
"daysrz","Integer","","Recommended","days since randomization","","",""
"rand_num","Integer","","Recommended","Randomization Number","0::2","",""
"num_sessions","Integer","","Recommended","Number of sessions completed","","",""
"behavobs_handedness","String","25","Recommended","Handedness","1;2;3;NYE;999","1 = Right-handed; 2 = Left-handed; 3 = Ambidextrous; NYE =not yet established; 999 = missing/refused",""
"assessment_complete","Integer","","Recommended","Complete?","0::2","0=Incomplete; 1=Unverified; 2=Complete","gp_notesexpanded"
"gp_drops","Integer","","Recommended","Dropped Pegs","","",""
"gp_numberpegs","Integer","","Recommended","Number of Pegs in place","","",""
"gp_total","Integer","","Recommended","Total Score","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","gp_grooved_pegboard_complete"
"b_gpd_t1_correct","Integer","","Recommended","Number of Grooved Pegs placed correctly by Dominant Hand","","","b_gpegboard_dominant_t1_correct"
"b_gpd_t1_dropped","Integer","","Recommended","Number of Grooved Pegs dropped by Dominant Hand ","","","b_gpegboard_dominant_t1_dropped"
"b_gpd_t1_time","Float","","Recommended","Time to complete by Dominant hand","","","b_gpegboard_dominant_t1_time"
"b_gpd_t2_correct","Integer","","Recommended","Number of Grooved Pegs placed correctly by Dominant Hand Trial 2","","","b_gpegboard_dominant_t2_correct"
"b_gpd_t2_dropped","Integer","","Recommended","Number of Grooved Pegs dropped by Dominant Hand Trial 2","","","b_gpegboard_dominant_t2_dropped"
"b_gpd_t2_time","Float","","Recommended","Time to complete by Dominant hand Trial 2","","","b_gpegboard_dominant_t2_time"
"b_gpd_avg_correct","Float","","Recommended","Average Number of Pegs Placed Correctly by Dominant Hand","","","b_gpegboard_dominant_avg_correct"
"b_gpd_avg_dropped","Float","","Recommended","Average Number of Pegs Dropped by Dominant Hand","","","b_gpegboard_dominant_avg_dropped"
"b_gpd_avg_time","Float","","Recommended","Average Time to complete by Dominant Hand","","","b_gpegboard_dominant_avg_time"
"b_gpnd_t1_correct","Integer","","Recommended","Number of Grooved Pegs placed correctly by Non Dominant Hand","","","b_gpegboard_ndominant_t1_correct"
"b_gpnd_t1_dropped","Integer","","Recommended","Number of Grooved Pegs dropped by Non Dominant Hand ","","","b_gpegboard_ndominant_t1_dropped"
"b_gpnd_t1_time","Float","","Recommended","Time to complete by Non Dominant hand","","","b_gpegboard_ndominant_t1_time"
"b_gpnd_t2_correct","Integer","","Recommended","Number of Grooved Pegs placed correctly by Non Dominant Hand Trial 2","","","b_gpegboard_ndominant_t2_correct"
"b_gpnd_t2_dropped","Integer","","Recommended","Number of Grooved Pegs dropped by Non Dominant Hand Trial 2","","","b_gpegboard_ndominant_t2_dropped"
"b_gpnd_t2_time","Float","","Recommended","Time to complete by Non Dominant hand Trial 2","","","b_gpegboard_ndominant_t2_time"
"b_gpnd_avg_correct","Float","","Recommended","Average Number of Pegs Placed Correctly by Non Dominant Hand","","","b_gpegboard_ndominant_avg_correct"
"b_gpnd_avg_dropped","Float","","Recommended","Average Number of Pegs Dropped by Non Dominant Hand","","","b_gpegboard_ndominant_avg_dropped"
"b_gpnd_avg_time","Float","","Recommended","Average Time to complete by Non Dominant Hand","","","b_gpegboard_ndominant_avg_time"
"drug_name","String","25","Recommended","Drug Name","","",""
"drug_dosage","Integer","","Recommended","Drug Dosage","0;1","0 = Pre-dose; 1 = Post-dose",""
"dom_slerror","Integer","","Recommended","Dominant Hand: Directional Set-Loss Error","0::50","",""
"non_dom_slerror","Integer","","Recommended","Non Dominant Hand: Directional Set-Loss Error","0::50","",""
"gp_dom_hand","Float","","Recommended","Grooved Pegboard Test Dominant Hand Z Score","","Total of 5 timed rows in this test. For kids 8 and under Z Score is based on the total time for the first 2 rows. For children older than 8 it is based on the total time for all 5 rows. ",""
"gp_ndom_hand","Float","","Recommended","Grooved Pegboard Test Non-Dominant Hand Z Score","","Total of 5 timed rows in this test. For kids 8 and under Z Score is based on the total time for the first 2 rows. For children older than 8 it is based on the total time for all 5 rows. ",""
"wravma_dom_raw","Integer","","Recommended","Wide Range Assessment of Visual Motor Abilities (WRAVMA): Dominant hand raw score","0::80","",""
"wravma_non_dom_raw","Integer","","Recommended","Wide Range Assessment of Visual Motor Abilities (WRAVMA): Non-dominant hand raw score","0::80","",""
"wravma_dom_standard","Integer","","Recommended","Wide Range Assessment of Visual Motor Abilities (WRAVMA): Dominant hand standard score","45::155","",""
"wravma_non_dom_standard","Integer","","Recommended","Wide Range Assessment of Visual Motor Abilities (WRAVMA): Non-dominant hand standard score","45::155","",""
