"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","pseudo_guids"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","interview_dt_t1,interview_dt_t2,interview_dt_t3,interview_dt_t4"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_t1_mos,age_t2_mos,age_t3_mos,age_t4_mos"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,gender_t1,gender_t2,gender_t3,gender_t4"
"gyn1a_t4","Integer","","Recommended","Do you have an OB-GYN doctor?","0;1","0 = No; 1= Yes",""
"gyn1b_t4","Integer","","Recommended","If yes, is your OB-GYN doctor at the VA?","0;1","0 = No; 1= Yes",""
"gyn1c_t4","Integer","","Recommended","Have you seen your OB-GYN in the past 3 years?","0;1","0 = No; 1= Yes",""
"aut_prehuse_pelvic","Integer","","Recommended","Within the past 3 years, have you had a pelvic exam and/or pap smear?","0::3","0 = No;1 = Yes; 2= NA; 3= Don’t Know","gyn1d_t4"
"gyn2a_t4","Integer","","Recommended","Do you experience emotional distress during pelvic exams?","1::5","1= Not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"gyn2b_t4","Integer","","Recommended","Do you experience physical discomfort during pelvic exams?","1::5","1= Not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"gyn2c_t4","Integer","","Recommended","Are you afraid of your OB-GYN doctor?","1::5","1= Not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"gyn2d_t4","Integer","","Recommended","How much does it matter to you if the OB-GYN is male or female?","1::5","1= Not at all; 2= A little; 3= Moderately; 4= Quite a bit; 5= Extremely",""
"gyn3a_t4","Integer","","Recommended","In the past 3 years, have you used birth control or hormones?","0;1","0 = No; 1= Yes",""
"gyn3b_t4","Integer","","Recommended","If you have used birth control or hormones, what kind? (e.g., condoms, pills, shot, arm implant, IUD, patch, diaphragm)?","0;1","0 = No; 1= Yes",""
"gyn3c_t4","Integer","","Recommended","Purpose of birth control/hormones: prevent pregnancy","0;1","0 = No; 1= Yes",""
"gyn3d_t4","Integer","","Recommended","Purpose of birth control/hormones: prevent getting a sexually transmitted disease","0;1","0 = No; 1= Yes",""
"gyn3e_t4","Integer","","Recommended","Purpose of birth control/hormones: for other health reasons (abnormal bleeding, menopause)","0;1","0 = No; 1= Yes",""
"mchq_7","Integer","","Recommended","Abnormal pap smear?","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data","gyn4_t4"
"gyn5a_t4","Integer","","Recommended","Have you had a hysterectomy (surgical removal of your uterus)?","0;1","0 = No; 1= Yes",""
"gyn5b_t4","Integer","","Recommended","Reason for hysterectomy: Vaginal bleeding (i.e heavy menses, irregular bleeding, abnormal bleeding)","0;1","0 = No; 1= Yes",""
"gyn5c_t4","Integer","","Recommended","Reason for hysterectomy: Pain (abdominal or pelvic pain)","0;1","0 = No; 1= Yes",""
"gyn5d_t4","Integer","","Recommended","Reason for hysterectomy: Prolapse (bladder or uterus ''falling out'' of your vagina)","0;1","0 = No; 1= Yes",""
"gyn5e_t4","Integer","","Recommended","Reason for hysterectomy: Cancer (uterine, ovarian, cervical or a family history of cancer)","0;1","0 = No; 1= Yes",""
"gyn5f_t4","Integer","","Recommended","Reason for hysterectomy: Uterine fibroids","0;1","0 = No; 1= Yes",""
"gyn5g_t4","Integer","","Recommended","Reason for hysterectomy: Ovarian cysts","0;1","0 = No; 1= Yes",""
