"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","CATIEID"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"visit","String","60","Recommended","Visit name","","",""
"truncvis","Integer","","Recommended","Truncated Visit Number","","""Created variable: provides a numeric visit number for all visits, including unscheduled and end of phase""",""
"phase_ct","String","20","Recommended","Current Phase. Phase patient was in at the time of the assessment Phase 4 refers to the follow-up phase.","Pre-Rand; Phase 1/1A; Phase 2; Phase 3; Phase 4; Phase 1B; Open-Choice Phase; Screening; Phase 1","",""
"visday","Integer","","Recommended","Number of days from study baseline to date of visit","","",""
"protocol","String","50","Recommended","Protocol [Study] name","","",""
"colldy","Integer","","Recommended","Collection Day","","Number of days from study baseline to date of sample collection",""
"length","String","10","Recommended","Hair Sample Length (cm)","","",""
"cocaine","String","10","Recommended","Cocaine","","0= the drug was not detected;  qns= hair quantity was not sufficient for testing",""
"opiates","String","10","Recommended","Opiates","","0= the drug was not detected;  qns= hair quantity was not sufficient for testing",""
"pcp","String","10","Recommended","PCP","","0= the drug was not detected;  qns= hair quantity was not sufficient for testing",""
"meth","String","10","Recommended","Methamphetamine","","0= the drug was not detected;  qns= hair quantity was not sufficient for testing",""
"thc","String","10","Recommended","Marijuana (THC)","","0= the drug was not detected;  qns= hair quantity was not sufficient for testing",""
