"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"traj04worstpainscl","Integer","","Recommended","Scale reflecting participant self-report of the level of knee pain at its worst in the last 24 hours","0::10","0 = No pain; 10 = Pain as bad as you can imagine","traj24worstpainscl"
"traj04avgpainscl","Integer","","Recommended","Scale reflecting participant self-report of the average knee pain severity in the last 24 hours","0::10","0 = No pain; 10 = Pain as bad as you can imagine","traj24avgpainscl"
"traj04painintfactivscl","Integer","","Recommended","Scale reflecting participant self-report of knee pain interference with general activity in the last 24 hours","0::10","0 = Did not interfere; 10 = Completely interfered","traj24painintfactivscl"
"traj04sleepscl","Integer","","Recommended","Scale reflecting participant self-report of sleep quality in the last 24 hours","0::10","0 = Extremely poor; 10 = Extremely good","traj24sleepscl"
"traj04physactscl","Integer","","Recommended","Scale reflecting participant self-report of level of physical activity in the last 24 hours","0::10","0 = Not at all; 10 = Extremely","traj24physactscl"
"traj04sadscl","Integer","","Recommended","Scale reflecting participant self-report of level of feeling sad in the last 24 hours","0::10","0 = Not at all; 10 = Extremely",""
"traj04angryscl","Integer","","Recommended","Scale reflecting participant self-report of level of feeling angry in the last 24 hours","0::10","0 = Not at all; 10 = Extremely",""
"traj04nervousscl","Integer","","Recommended","Scale reflecting participant self-report of level of feeling nervous in the last 24 hours","0::10","0 = Not at all; 10 = Extremely",""
"traj04medyn","Integer","","Recommended","Indicator of taking medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medyn"
"traj04medlist1acet","Integer","","Recommended","Indicator of taking acetaminophen (Tylenol) for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist1acet"
"traj04medlist1nsaid","Integer","","Recommended","Indicator of taking NSAID medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist1nsaid"
"traj04medlist2opioid","Integer","","Recommended","Indicator of taking opioid medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist2opioid"
"traj04medlist3thc","Integer","","Recommended","Indicator of taking cannabis (THC, CBD) medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist3thc"
"traj04medlist4gaba","Integer","","Recommended","Indicator of taking Gabapentin or pregabalin (Neurontin, Lyrica, etc) medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist4gaba"
"traj04medlist5dulox","Integer","","Recommended","Indicator of taking Duloxetine (Cymbalta) or venlafaxine (Wellbutrin) medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist5dulox"
"traj04medlist6other","Integer","","Recommended","Indicator of taking other medication for knee pain in the last 24 hours","0;1","0 = No; 1 = Yes","traj24medlist6other"
"traj04medlist6othertxt","String","200","Recommended","Other medication for knee pain in the last 24 hours","","Name of other medication taken.","traj24medlist6othertxt"
