"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bscp_hrs_since_water","Integer","","Recommended","Number of hours since last drank anything except water","0::1440","",""
"bscp_hrs_since_food","Integer","","Recommended","Number of hours since last food intake","0::1440","",""
"bscp_caff_cups_amt","Integer","","Recommended","How would you describe the amount of caffeine you had in the last 24 hours?","1::4","1 = The usual amount; 2 = Less than the usual amount; 3 = More than the usual amount; 4 = Not applicable",""
"bscp_hrs_since_cafstim","Integer","","Recommended","Number of hours since last had caffeine/stimulants","0::1440","",""
"bscp_any_vacc","Integer","","Recommended","Have you received any vaccine in the last two weeks?","0;1","0 = No; 1 = Yes",""
"bscp_ra_initials","String","20","Recommended","Research assistant initials","","",""
"bscp_phleb_by_init","String","20","Recommended","Initials of person performing phlebotomy","","",""
"bscp_sample_obtained","Integer","","Recommended","Blood sample","0;1","0 = Obtained; 1=Not obtained",""
"bscp_no_sample_reason","Integer","","Recommended","Reason blood sample not obtained","1::5","1 = Unable to obtain blood (Greater than 2 sticks); 2 = Patient request to stop (pain, paresthesia); 3 = Patient condition (lightheaded, fainted); 4 = Hematoma after needle stick (bruising, ecchymosis); 5 = Other",""
"bscp_samplekit_brcd","String","50","Recommended","Sample kit barcode","","",""
"bscp_time_blood_draw_dss","String","50","Recommended","Time completed blood draw: days since surgery","","Difference between time of blood draw and surgery date",""
"bscp_lav1_not_obt","Integer","","Recommended","Lavender tube obtained","0;1","0 = Obtained; 1=Not obtained",""
"bscp_lav1_brcd","String","50","Recommended","Barcode Lavender tube","","",""
"bscp_paxg_not_obt","Integer","","Recommended","PAXgene DNA tube obtained","0;1","0 = Obtained; 1=Not obtained",""
"bscp_paxg_brcd","String","50","Recommended","Barcode PAXgene DNA tube","","",""
"bscp_time_centrifuge_dss","String","50","Recommended","Time completed centrifuging: days since surgery","","Difference between time of centrifuging and surgery date",""
"bscp_deg_of_hemolysis","Float","","Recommended","Assess the degree of hemolysis of the plasma (Lavender tube) after centrifugation according to the laminated hemolysis color scale, and record the estimated hemoglobin value in g/L.","0;0.25;0.5;1;2;4;8","",""
"bscp_aliquot_box_brcd","String","50","Recommended","Plasma aliquot (2'') freezer box barcode","","",""
"bscp_buffycoat_na","Integer","","Recommended","Buffy coat (blue microfuge) tube obtained","0;1","0 = Obtained; 1=Not obtained",""
"bscp_buffycoat_brcd","String","50","Recommended","Buffy coat (blue microfuge) tube barcode","","",""
"bscp_plasma_brcd","String","50","Recommended","Barcode Plasma aliquot","","",""
"bscp_aliq_cnt","Integer","","Recommended","Number of aliquots","0::8","",""
"bscp_paxg_box_brcd","String","50","Recommended","PAXgene DNA (3'') freezer box","","",""
"bscp_aliquot_freezer_time","String","50","Recommended","Time plasma aliquot tubes placed in freezer","","",""
"bscp_aliquot_freezer_dss","String","50","Recommended","Time plasma aliquot tubes placed in freezer: days since surgery","","Difference between freezer time and surgery date",""
"bscp_protocol_dev","Integer","","Recommended","Did a protocol deviation occur?","0;1","0 = No; 1 = Yes",""
"bscp_protocol_dev_reason","Integer","","Recommended","Reason for protocol deviation","1::3","1 = Unable to obtain blood sample - technical reason; 2 = Unable to obtain blood sample - patient related; 3 = Sample handling/processing error",""
"bscp_comments","String","200","Recommended","Blood sample Comments","","",""
"bscp_procby_initials","String","20","Recommended","Initials of person that processed blood","","",""
