"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"commtrbthkclrpast30dayscl","Integer","","Recommended","Scale describing how often participant had trouble with thinking clearly or memory problems in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commcomptaskpast30dayscl","Integer","","Recommended","Scale describing how often participant had people complain that he/she is not completing necessary tasks in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commothphyscmedpst30dyscl","Integer","","Recommended","Scale describing how often participant had to go to someone other than their prescribing physician to get sufficient pain relief from medications in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commtakmeddifpast30dayscl","Integer","","Recommended","Scale describing how often participant had taken medications differently from how they are prescribed in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commhurtselfpast30dayscl","Integer","","Recommended","Scale describing how often participant had seriously thought about hurting themself in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commopithkpast30dayscl","Integer","","Recommended","Scale describing how much time participant had spent thinking about opioid medications in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commargoftpast30dayscl","Integer","","Recommended","Scale describing how often participant was in an argument in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commangconpast30dayscl","Integer","","Recommended","Scale describing how often participant had trouble controlling anger in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commsomelsmedpast30dayscl","Integer","","Recommended","Scale describing how often participant needed to take medications belonging to someone else in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commhanmedworpast30dayscl","Integer","","Recommended","Scale describing how often participant worried about how they were handling their medications in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commothworrypast30dayscl","Integer","","Recommended","Scale describing how often others worried about how participant was handling their medications in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commemecalapppast30dayscl","Integer","","Recommended","Scale describing how often participant had to make an emergency phone call or show up at a clinic without an appointment in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commangroftnpast30dayscl","Integer","","Recommended","Scale describing how often participant had gotten angry with people in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commtakmormedpast30dayscl","Integer","","Recommended","Scale describing how often participant had to take more medication than prescribed in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commbormedpast30dayscl","Integer","","Recommended","Scale describing how often participant borrowed pain medication from someone else in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commothsympast30dayscl","Integer","","Recommended","Scale describing how often participant used pain medicine for symptoms other than pain in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commemergrmpast30dayscl","Integer","","Recommended","Scale describing how often participant had to visit the emergency room in the past 30 days, as a part of Current Opioid Misuse Measure (COMM).","0::4","0 = Never; 1 = Seldom; 2 = Sometimes; 3 = Often; 4 = Very Often",""
"commoverallscore","Integer","","Recommended","Calculated overall (summative) score, as a part of Current Opioid Misuse Measure (COMM).","0::68","Sum of elements: COMMTrbThkClrPast30DayScl, COMMCompTaskPast30DayScl, COMMOthPhyscMedPst30DyScl, COMMTakMedDifPast30DayScl, COMMHurtSelfPast30DayScl, COMMOpiThkPast30DayScl, COMMArgOftPast30DayScl, COMMAngConPast30DayScl, COMMSomElsMedPast30DayScl, COMMHanMedWorPast30DayScl, COMMOthWorryPast30DayScl, COMMEmeCalAppPast30DayScl, COMMAngrOftnPast30DayScl, COMMTakMorMedPast30DayScl, COMMBorMedPast30DayScl, COMMOthSymPast30DayScl, COMMEmergRmPast30DayScl",""
