"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"fabqphysclactvtycsscl","Integer","","Recommended","Scale of participant belief that pain was caused by physical activity, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqphysclactvtywrsscl","Integer","","Recommended","Scale of participant belief that physical activity makes pain worse, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqphysclactvtybckhrmscl","Integer","","Recommended","Scale of participant belief that physical activity might harm the back, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqphysactvtyshldntdoscl","Integer","","Recommended","Scale of participant belief that they should not do physical activities which (might) make pain worse, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqphysactvtycnntdoscl","Integer","","Recommended","Scale of participant belief that they cannot do physical activities which (might) make pain worse, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrkaccdntcspnscl","Integer","","Recommended","Scale of participant belief that pain was caused by work or by an accident at work, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrkaggrvtpnscl","Integer","","Recommended","Scale of participant belief that pain was aggravated by work, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqpncompclmscl","Integer","","Recommended","Scale of participant response to the statement, ''I have a claim for compensation for my pain,'' as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrkhvyscl","Integer","","Recommended","Scale of participant belief that their work is too heavy, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrkpnwrsscl","Integer","","Recommended","Scale of participant belief that work makes or would make pain worse, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrkbckhrmscl","Integer","","Recommended","Scale of participant belief that work might harm their back, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqpnwrkshldntscl","Integer","","Recommended","Scale of participant belief that they should not do normal work with present pain, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrknrmlunabldoscl","Integer","","Recommended","Scale of participant belief that they cannot do normal work with present pain, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrknrmlunabldopntxscl","Integer","","Recommended","Scale of participant belief that they cannot do normal work until pain is treated, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrkrtnnrml3mnthdbtscl","Integer","","Recommended","Scale of participant belief that they will not be back to normal work within 3 months, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqwrknrmlevrrtndbtscl","Integer","","Recommended","Scale of participant belief that they will never be able to go back to work, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::6","0=Completely disagree; 3=Unsure; 6=Completely agree",""
"fabqfravdncwrkscore","Integer","","Recommended","Score of the total sum for fear-avoidance beliefs about work, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::30","",""
"fabqfravdphyactscore","Integer","","Recommended","Score of the total sum for fear-avoidance beliefs about physical activity, as part of the Fear-Avoidance Beliefs Questionnaire (FABQ).","0::66","",""
