"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"opioiduseafuopds","Integer","","Recommended","Indicator of currently taking opioids daily or most days as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = No; 1 = Yes",""
"opioiduseafudrug1nm","Integer","","Recommended","Indicator of name of the opioid medication for drug 1 as part of the A2CPS Opioid Use Acute Follow-up","1::10","1 = Hydrocodone (Vicodin, Norco); 2 = Oxycodone (Percocet, Oxycontin); 3 = Codeine (Tylenol 3, Tylenol 4); 4 = Tramadol (Ultram, Ultracet); 5 = Hydromorphone (Dilaudid); 6 = Morphine (MS Contin, MS IR); 7 = Tapentadol (Nucynta); 8 = Methadone; 9 = Fentanyl (Duragesic); 10 = Other",""
"opioiduseafudrug1ds","Integer","","Recommended","Dose of drug 1 as part of the A2CPS Opioid Use Acute Follow-up","1::64","See below, variable names OpioidUseAfuDose_1 through OpioidUseAfuDose_9",""
"opioiduseafudrug1quanta","Integer","","Recommended","Number of pills of drug 1 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug1quantb","Integer","","Recommended","Number of teaspoons of drug 1 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug1quantc","Integer","","Recommended","Number of patches of drug 1 applied per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug1quantd","Integer","","Recommended","Indicator that quantity of drug 1 taken/applied during past week is UNKNOWN, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = Unchecked; 1 = Checked",""
"opioiduseafud1other","Integer","","Recommended","Indicator of currently taking another opioid pain medication, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = No; 1 = Yes",""
"opioiduseafudrug2nm","Integer","","Recommended","Indicator of name of the opioid medication for drug 2 as part of the A2CPS Opioid Use Acute Follow-up","1::10","1 = Hydrocodone (Vicodin, Norco); 2 = Oxycodone (Percocet, Oxycontin); 3 = Codeine (Tylenol 3, Tylenol 4); 4 = Tramadol (Ultram, Ultracet); 5 = Hydromorphone (Dilaudid); 6 = Morphine (MS Contin, MS IR); 7 = Tapentadol (Nucynta); 8 = Methadone; 9 = Fentanyl (Duragesic); 10 = Other",""
"opioiduseafudrug2ds","Integer","","Recommended","Dose of drug 2 as part of the A2CPS Opioid Use Acute Follow-up","1::64","See below, variable names OpioidUseAfuDose_1 through OpioidUseAfuDose_9",""
"opioiduseafudrug2quanta","Integer","","Recommended","Number of pills of drug 2 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug2quantb","Integer","","Recommended","Number of teaspoons of drug 2 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug2quantc","Integer","","Recommended","Number of patches of drug 2 applied per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug2quantd","Integer","","Recommended","Indicator that quantity of drug 2 taken/applied during past week is UNKNOWN, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = Unchecked; 1 = Checked",""
"opioiduseafud2other","Integer","","Recommended","Indicator of currently taking another opioid pain medication, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = No; 1 = Yes",""
"opioiduseafudrug3nm","Integer","","Recommended","Indicator of name of the opioid medication for drug 3 as part of the A2CPS Opioid Use Acute Follow-up","1::10","1 = Hydrocodone (Vicodin, Norco); 2 = Oxycodone (Percocet, Oxycontin); 3 = Codeine (Tylenol 3, Tylenol 4); 4 = Tramadol (Ultram, Ultracet); 5 = Hydromorphone (Dilaudid); 6 = Morphine (MS Contin, MS IR); 7 = Tapentadol (Nucynta); 8 = Methadone; 9 = Fentanyl (Duragesic); 10 = Other",""
"opioiduseafudrug3ds","Integer","","Recommended","Dose of drug 3 as part of the A2CPS Opioid Use Acute Follow-up","1::64","See below, variable names OpioidUseAfuDose_1 through OpioidUseAfuDose_9",""
"opioiduseafudrug3quanta","Integer","","Recommended","Number of pills of drug 3 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug3quantb","Integer","","Recommended","Number of teaspoons of drug 3 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug3quantc","Integer","","Recommended","Number of patches of drug 3 applied per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug3quantd","Integer","","Recommended","Indicator that quantity of drug 3 taken/applied during past week is UNKNOWN, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = Unchecked; 1 = Checked",""
"opioiduseafud3other","Integer","","Recommended","Indicator of currently taking another opioid pain medication, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = No; 1 = Yes",""
"opioiduseafudrug4nm","Integer","","Recommended","Indicator of name of the opioid medication for drug 4 as part of the A2CPS Opioid Use Acute Follow-up","1::10","1 = Hydrocodone (Vicodin, Norco); 2 = Oxycodone (Percocet, Oxycontin); 3 = Codeine (Tylenol 3, Tylenol 4); 4 = Tramadol (Ultram, Ultracet); 5 = Hydromorphone (Dilaudid); 6 = Morphine (MS Contin, MS IR); 7 = Tapentadol (Nucynta); 8 = Methadone; 9 = Fentanyl (Duragesic); 10 = Other",""
"opioiduseafudrug4ds","Integer","","Recommended","Dose of drug 4 as part of the A2CPS Opioid Use Acute Follow-up","1::64","See below, variable names OpioidUseAfuDose_1 through OpioidUseAfuDose_9",""
"opioiduseafudrug4quanta","Integer","","Recommended","Number of pills of drug 4 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug4quantb","Integer","","Recommended","Number of teaspoons of drug 4 taken per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug4quantc","Integer","","Recommended","Number of patches of drug 4 applied per day on average during the past week, as part of the A2CPS Opioid Use Acute Follow-up","","",""
"opioiduseafudrug4quantd","Integer","","Recommended","Indicator that quantity of drug 4 taken/applied during past week is UNKNOWN, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = Unchecked; 1 = Checked",""
"opioiduseafud4other","Integer","","Recommended","Indicator of currently taking another opioid pain medication, as part of the A2CPS Opioid Use Acute Follow-up","0;1","0 = No; 1 = Yes",""
"opioiduseafudose_1","Integer","","Recommended","Dose options for Hydrocodone as part of the A2CPS Opioid Use Acute Follow-up Visit","1::4","1 = Tablets Hydrocodone with acetaminophen 5mg/325 mg; 2 = Tablets Hydrocodone with acetaminophen 7.5mg/325mg; 3 = Tablets Hydrocodone with acetaminophen 10mg/325mg; 4 = Liquid Hydrocodone 7.5mg/500mg per 15ml",""
"opioiduseafudose_2","Integer","","Recommended","Dose options for Oxycodone as part of the A2CPS Opioid Use Acute Follow-up Visit","5::22","5 = Tablets Oxycodone with acetaminophen 2.5mg/325mg; 6 = Tablets Oxycodone with acetaminophen 5mg/325; 7 = Tablets Oxycodone with acetaminophen 7.5mg/325mg; 8 = Tablets Oxycodone with acetaminophen 10mg/325mg; 9 = Tablets Oxycodone Immediate release 5mg;10 = Tablets Oxycodone Immediate release 7.5mg; 11 = Tablets Oxycodone Immediate release 10mg; 12 = Tablets Oxycodone Immediate release 15mg; 13 = Tablets Oxycodone Immediate release 20mg; 14 = Tablets Oxycodone Immediate release 30mg; 15 = Tablets Oxycodone Extended release 10mg; 16 = Tablets Oxycodone Extended release 15mg; 17 = Tablets Oxycodone Extended release 20mg; 18 = Tablets Oxycodone Extended release 30mg; 19 = Tablets Oxycodone Extended release 40mg; 20 = Tablets Oxycodone Extended release 60mg; 21 = Tablets Oxycodone Extended release 80mg; 22 = Liquid Oxycodone 5mg/5ml",""
"opioiduseafudose_3","Integer","","Recommended","Dose options for Codeine as part of the A2CPS Opioid Use Acute Follow-up Visit","23::28","23 = Tablets Codeine with acetaminophen 15mg/300mg; 24 = Tablets Codeine with acetaminophen 30mg/300mg; 25 = Tablets Codeine with acetaminophen 60mg/300mg; 26 = Tylenol with Codeine #3; 27 = Tylenol with Codeine #4; 28 = Liquid Codeine 12mg/120mg per 5ml",""
"opioiduseafudose_4","Integer","","Recommended","Dose options for Tramadol as part of the A2CPS Opioid Use Acute Follow-up Visit","29::33","29 = Tablets Tramadol 50mg; 30 = Tablets Tramadol 100mg; 31 = Tablets Tramadol 150mg; 32 = Tablets Tramadol 200mg; 33 = Tablets Tramadol 300mg",""
"opioiduseafudose_5","Integer","","Recommended","Dose options for Hydromorphone (Dilaudid) as part of the A2CPS Opioid Use Acute Follow-up Visit","34::40","34 = Tablets hydromorphone (Dilaudid) 2mg; 35 = Tablets hydromorphone (Dilaudid) 4mg; 36 = Tablets hydromorphone (Dilaudid) 8mg; 37 = Tablets hydromorphone (Dilaudid) 12mg; 38 = Tablets hydromorphone (Dilaudid) 16mg; 39 = Tablets hydromorphone (Dilaudid) 32mg; 40 = Liquid hydromorphone (Dilaudid) 5mg/5ml",""
"opioiduseafudose_6","Integer","","Recommended","Dose options for Morphine (MS Contin, MS IR) as part of the A2CPS Opioid Use Acute Follow-up Visit","41::48","41 = Tablets Morphine Immediate release 15mg; 42 = Tablets Morphine Immediate release 30mg; 43 = Tablets Morphine Extended release 15mg; 44 = Tablets Morphine Extended release 30mg; 45 = Tablets Morphine Extended release 60mg; 46 = Tablets Morphine Extended release 100mg; 47 = Tablets Morphine Extended release 200mg; 48 = Liquid Morphine 10mg/5ml",""
"opioiduseafudose_7","Integer","","Recommended","Dose options for Tapentadol as part of the A2CPS Opioid Use Acute Follow-up Visit","49::56","49 = Tablets Tapentadol Immediate release 50mg; 50 = Tablets Tapentadol Immediate release 75mg; 51 = Tablets Tapentadol Immediate release 100mg; 52 = Tablets Tapentadol Extended release 50mg; 53 = Tablets Tapentadol Extended release 100mg; 54 = Tablets Tapentadol Extended release 150mg; 55 = Tablets Tapentadol Extended release 200mg; 56 = Tablets Tapentadol Extended release 250mg",""
"opioiduseafudose_8","Integer","","Recommended","Dose options for Methadone as part of the A2CPS Opioid Use Acute Follow-up Visit","57::59","57 = Tablets Methadone 5mg; 58 = Tablets Methadone 10mg; 59 = Liquid Methadone 10mg/ml",""
"opioiduseafudose_9","Integer","","Recommended","Dose options for Fentanyl as part of the A2CPS Opioid Use Acute Follow-up Visit","60::64","60 = Transdermal Fentanyl (Duragesic) 12mcg; 61 = Transdermal Fentanyl (Duragesic) 25mcg; 62 = Transdermal Fentanyl (Duragesic) 50mcg; 63 = Transdermal Fentanyl (Duragesic) 75mcg; 64 = Transdermal Fentanyl (Duragesic) 100mcg",""
