"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","GUID"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","chi_gen,gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"chi_3d_vision","Integer","","Recommended","Which statement describes your child's VISION over  past 3 days","1::6","1 = Can read and recognize a friend on the other side of the street without glasses or contacts; 2 = Can read and recognize a friend on the other side of the street, with glasses; 3 = Can read (with or without glasses), but unable to recognize a friend on the other side of the street, even with glasses; 4 = Able to recognize a friend on the other side of the street with/without glasses, but unable to read even with glasses; 5 = Unable to read or recognize a friend on the other side of the street, even with glasses; 6 = Unable to see at all","Child_q22_vision"
"chi_3d_hear","Integer","","Recommended","Which statement describes your child's HEARING over  past 3 days","1::6","1 = Able to hear what is said in a group conversation without a hearing aid; 2 = Able to hear what is said in a conversation with one other person in a quiet room without a hearing aid, but require a hearing aid for a group conversation; 3 = Able to hear what is said in an individual conversation in a quiet room, and able to hear what is said in a group conversation, with a hearing aid; 4 = Able to hear what is said in a conversation with one other person (with a hearing aid), but unable to hear what is said in a group conversation, even with a hearing aid; 5 = Unable to hear at all","Child_q23_hearing"
"chi_3d_speech","Integer","","Recommended","Which statement describes your child's SPEECH over  past 3 days","1::6","1 = Able to be understood completely; 2 = Able to be understood partially with strangers, but completely with friends; 3 = Able to be understood partially by strangers or friends; 4 = Unable to be understood when speaking with strangers, but able to be partially understood when speaking with friends; 5 = Unable to understood when speaking to other people at all (or unable to speak at all)","Child_q24_speech"
"chi_3d_amb","Integer","","Recommended","Which statement describes your child's AMBULATIOn over  past 3 days","1::6","1 = Able to walk around neighborhood without difficulty and walking equipment; 2 = Able to walk around neighborhood with difficulty, but without equipment or help; 3 = Able to walk around neighborhood with equipment, but without help of another person; 4 = Able to only walk short distances with walking equipment, and require a wheelchair to get around neighborhood; 5 = Unable to walk alone, even with walking equipment, able to  walk short distances with the help of another person, requires a wheelchair to get around neighborhood; 6 = Cannot walk at all","Child_q25_ambulation"
"chi_3d_dex","Integer","","Recommended","Which statement describes your child's DEXTERITY over  past 3 days","1::6","1 = Full use of 2 hands and 10 fingers; 2 = Limitations in use of hands/fingers but does not require special tools or help; 3 = Limitation in uses of hands/fingers, is independent with use of special tools, does not require help of another person; 4 = Limitations in use of hands/fingers, requires help of another person for some tasks (not independent even with special tools); 5 = Limitations in use of hands/fingers, requires help of another person for most tasks (not independent even with special tools); 6 = Limitations in use of hands/fingers, requires help of person for all tasks ((not independent even with special tools)","Child_q26_dexterity"
"chi_3d_emo","Integer","","Recommended","Which statement describes your child's EMOTION over  past 3 days","1::5","1 = Happy and interested in life; 2 = Somewhat happy; 3 = Somewhat unhappy; 4 = Very unhappy; 5 = So unhappy life is not worthwhile","Child_q27_emotion"
"chi_3d_cog","Integer","","Recommended","Which statement describes your child's COGNITION over  past 3 days","1::6","1 = Able to remember most things, think clearly and solve day to day problems; 2 = Able to remember most things, but has a little difficulty when solving day to day problem; 3 = Somewhat forgetful, but can think clearly and solve day to day problems; 4 = Somewhat forgetful, and have a little difficulty when trying to think/solve day to day problems; 5 = Very forgetful, has great difficulty when trying to thin/solve day to day problems; 6 = Unable to remember anything at al, unable to think or solve day to day problems","Child_q28_cognition"
"chi_3d_pain","Integer","","Recommended","Which statement describes your child's PAIN over  past 3 days","1::5","1 = Free of pain and discomfort; 2 = Mild to moderate pain that prevents no activities; 3= Moderate pain that prevents few activities; 4 = Moderate to severe pain that prevents some activities; 5 = Severe pain that prevents most activities","Child_q29_pain"
