"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"htp1_slh","Integer","","Recommended","Sharing in the sober living house gives me self confidence","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp2_slh","Integer","","Recommended","I learn a lot about myself by helping others","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp3_slh","Integer","","Recommended","Helping others make me feel good about myself","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp4_slh","Integer","","Recommended","My experiences give hope to other members","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp5_slh","Integer","","Recommended","Sharing in the sober living house helps me deal with my issues","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp1_12","Integer","","Recommended","Sharing in meetings gives me self confidence","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp2_12","Integer","","Recommended","Sharing in meetings helps me deal with my issues","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp3_12","Integer","","Recommended","Helping others make me feel good about myself","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp4_12","Integer","","Recommended","My experiences give hope to other members","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"htp5_12","Integer","","Recommended","Sharing in meetings helps me deal with my issues","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
