"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"hfias_1","Integer","","Recommended","Did you worry that your [household] would not have enough food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_2","Integer","","Recommended","Were you or any household member not able to eat the [kinds of foods you preferred] because of a [lack of resources]?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_3","Integer","","Recommended","Did you or any household member have to eat [a limited variety of foods] due to a lack of resources?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_4","Integer","","Recommended","Did you or any household member have to eat some foods [that you really did not want to eat] because of a lack of resources to obtain other types of food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_5","Integer","","Recommended","Did you or any other household member have to eat a smaller [meal] than you felt you needed because there was not enough food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_6","Integer","","Recommended","Did you or any household member have to eat [fewer meals in a day] because there was not enough food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_7","Integer","","Recommended","Was there ever no food to eat of any kind in your household because of lack of resources to get food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_8","Integer","","Recommended","Did you or any household member go to sleep at night hungry because there was not enough food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias_9","Integer","","Recommended","Did you or any household member go a whole day and night without eating anything because there was not enough food?","1::3;666;777","1=Rarely; 2=Sometimes; 3=Often; 666=Missing; 777=NA",""
"hfias1","Integer","","Recommended","In the past four weeks, did you worry that your household would not have enough food?","0;1","0 = No (skip to hfias2); 1 = Yes",""
"hfias1a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you worry that your household would not have enough food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias2","Integer","","Recommended","In the past four weeks, were you or any household member not able to eat the kinds of foods you preferred because of a lack of resources?","0;1","0 = No (skip to hfias3); 1 = Yes",""
"hfias2a","Integer","","Recommended","In the past four weeks, how often did this happen: Were you or any household member not able to eat the kinds of foods you preferred because of a lack of resources?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias3","Integer","","Recommended","In the past four weeks, did you or any household member have to eat a limited variety of foods due to a lack of resources?","0;1","0 = No (skip to hfias4); 1 = Yes",""
"hfias3a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you or any household member have to eat a limited variety of foods due to a lack of resources?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias4","Integer","","Recommended","In the past four weeks, did you or any household member have to eat some foods that you really did not want to eat because of a lack of resources to obtain other types of food?","0;1","0 = No (skip to hfias5); 1 = Yes",""
"hfias4a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you or any household member have to eat some foods that you really did not want to eat because of a lack of resources to obtain other types of food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias5","Integer","","Recommended","In the past four weeks, did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?","0;1","0 = No (skip to hfias6); 1 = Yes",""
"hfias5a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you or any household member have to eat a smaller meal than you felt you needed because there was not enough food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias6","Integer","","Recommended","In the past four weeks, did you or any household member have to eat fewer meals in a day because there was not enough food?","0;1","0 = No (skip to hfias7); 1 = Yes",""
"hfias6a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you or any household member have to eat fewer meals in a day because there was not enough food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias7","Integer","","Recommended","In the past four weeks, was there ever no food to eat of any kind in your household because of lack of resources to get food?","0;1","0 = No (skip to hfias8); 1 = Yes",""
"hfias7a","Integer","","Recommended","In the past four weeks, how often did this happen: Was there ever no food to eat of any kind in your household because of lack of resources to get food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias8","Integer","","Recommended","In the past four weeks, did you or any household member go to sleep at night hungry because there was not enough food?","0;1","0 = No (skip to hfias9); 1 = Yes",""
"hfias8a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you or any household member go to sleep at night hungry because there was not enough food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
"hfias9","Integer","","Recommended","In the past four weeks, did you or any household member go a whole day and night without eating anything because there was not enough food?","0;1","0 = No; 1 = Yes",""
"hfias9a","Integer","","Recommended","In the past four weeks, how often did this happen: Did you or any household member go a whole day and night without eating anything because there was not enough food?","1::3","1 = Rarely (once or twice in the past four weeks); 2 = Sometimes (three to ten times in the past four weeks); 3 = Often (more than ten times in the past four weeks)",""
