"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"arv_start_date","Date","","Recommended","When did you first start taking your current medication regimen?","","MM/DD/YYYY",""
"arv_medicines","Integer","","Recommended","Name of ARV (Antiretroviral) medications","1::9","1= Tenofovir disoproxil fumarate + Dolutegravir + Lamivudine (TDF+3TC+DTG); 2= Abacavir + Dolutegravir + Lamivudine (ABC+3TC+DTG); 3= Tenofovir disoproxil fumarate + Dolutegravir + Efavirenz (TDF+3TC+EFV); 4= Zidovudine + Dolutegravir + Lamivudine (AZT+3TC+DTG); 5= Zidovudine + Dolutegravir + Atazanavir/ritonavir (AZT+3TC+ATV/r); 6= Zidovudine + Dolutegravir + Lopinavir/ritonavir (AZT+3TC+LPV/r); 7= Tenofovir disoproxil fumarate + Dolutegravir + Atazanavir/ritonavir (TDF+3TC+ATV/r); 8= Tenofovir disoproxil fumarate + Dolutegravir + Lopinavir/ritonavir (TDF+3TC+LPV/r); 9= Others",""
"arv_other_specify","String","100","Recommended","Specify other ARV (Antiretroviral) medication","","",""
"arv_dose","String","20","Recommended","ARV (Antiretroviral) medication dose per pill (in mg)","","",""
"arv_times_perday","Integer","","Recommended","ARV (Antiretroviral) medication times per day (in number)","1::10","",""
"arv_pills_pertime","Integer","","Recommended","ARV (Antiretroviral) medication pills per time (in number)","1::10","",""
"arv_pills_perday","Integer","","Recommended","ARV (Antiretroviral) medication pills per day (in number)","","",""
"arv_instruction","Integer","","Recommended","Are there any special instructions regarding taking the medication?","0;1","0= No;  1= Yes",""
"arv_instruction_yes","String","100","Recommended","If yes, please specify special instructions for taking medication","","",""
"arv_vas","Integer","","Recommended","Enter the score the participant has given for ARV (Antiretroviral) medication","0::100","",""
"arv_change_f","Integer","","Recommended","In the past 3 months, has any of your medication been changed?","0;1","0= No; 1= Yes",""
"arv_change_date_f","Date","","Recommended","If yes, please specify the date of medication change","","MM/DD/YYYY",""
