"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fscpreg","Integer","","Recommended","Were there any problems or complications during this child's pregnancy?","0;1;2;-999","0= No; 1= Yes; 2= Do not know; -999= Prefer not to answer","t1mhp1"
"t1mhp1a___1","Integer","","Recommended","Were there bed rest problems during your pregnancy?","0;1","0=No; 1=Yes",""
"devhx_10g3_p","Integer","","Recommended","During the pregnancy with this child, did you/biological mother have any of the following conditions? Severe anemia?/¿Anemia grave?","1 ; 0 ; 999","1 = Yes /Sí; 0 = No /No; 999 = Don't know/ No lo sé","t1mhp1a___2"
"fdh_12_prgncy_seizures","Integer","","Recommended","did mother have any seizures during pregnancy?","1;2","1=Yes; 2=No","t1mhp1a___3"
"ph1f_toxemia","Integer","","Recommended","Did the mother experience: toxemia","0;1","0= No; = Yes","t1mhp1a___4"
"preg4_2","Integer","","Recommended","During your most recent pregnancy, did you have any of the following health conditions? - High blood pressure (that started during this pregnancy), pre-eclampsia or eclampsia","0;1;999","0 = No; 1 = Yes; 999 = Missing","t1mhp1a___5"
"fdh_12_thyroid_prblems","Integer","","Recommended","did mother have thyroid problems during pregnancy?","1;2","1=Yes; 2=No","t1mhp1a___6"
"preg_infection","String","50","Recommended","Did infection occur during pregnancy?","Yes; No;999","","t1mhp1a___7"
"t1mhp1a___8","Integer","","Recommended","Medical Problems during pregnancy. Other","0;1","0=No; 1=Yes",""
"t1mhp1a____999","Integer","","Recommended","Prefer not answer if I had problems during my pregnancy","0;1","0=No; 1=Yes",""
"ph1l_other_desc","String","100","Recommended","Describe any other medical problems experienced during pregnancy","","","t1mhp1ax"
"weeksdelivery","Float","","Recommended","3. How many weeks pregnant were you when you delivered the baby? (full-term is considered 40 weeks)","0::50;999","999 = Don't know","t1mhp2"
"demo_preg_vaginal","Integer","","Recommended","Did the mother have a vaginal birth or a cesarean birth (C-section)?","1;2;97;-999","1= Vaginal birth; 2= Cesarean birth; 97= Do not know; -999= Prefer not to answer","t1mhp3"
"birth_weight_lbs","Float","","Recommended","Birth weight pounds","","","t1bwgtlb"
"birth_weight_oz","Float","","Recommended","Birth weight ounces","","","t1bwgtoz"
"child_bwkg","Float","","Recommended","2.1.a. Birth Weight (kg)","","","t1bwgtkg"
"birthweight_g","Float","","Recommended","birth weight in grams","","NA=Missing","t1bwgtg"
"dem_47_compl","Integer","","Recommended","Were there any birth complications with this child?","0;1;-999","0=No; 1=Yes; -999=Prefer not to answer","t1mhp4"
"ldnb_cemergency","String","50","Recommended","For C section - Why was the c-section performed - Emergency","Yes;No","","t1mhp4a___1"
"forceps_vacuum","String","3","Recommended","were forceps or a vacuum used to aid delivery","yes;no;999","","t1mhp4a___2"
"ldnb_cordarndneck","String","50","Recommended","Was the babys umbilical cord wrapped around its neck","No;Yes;Don't Know","","t1mhp4a___3"
"neo_jaundice","String","50","Recommended","Did jaundice occur after delivery?","Yes; No;999","","t1mhp4a___4"
"neo_infection","String","50","Recommended","Did infections occur after delivery?","Yes; No;999","","t1mhp4a___5"
"matern_breath_probs","Integer","","Recommended","Did your child experience any of the following: Breathing problems?","0;1","0 = No; 1 = Yes","t1mhp4a___6"
"t1mhp4a___7","Integer","","Recommended","Problems with child after birth. Other","0;1","0=No; 1=Yes",""
"t1mhp4a____999","Integer","","Recommended","Prefer not to answer if child had problems at birth","0;1","0=No; 1=Yes",""
"bhs_5i1","String","500","Recommended","Describe other problems at birth","","","t1mhp4ax"
"t1mhp5","Integer","","Recommended","How long did this child stay in the hospital after s/he was born?","1;2;3;4;5;-999","1=1-2 days; 2=3-6 days; 3=1-2 weeks; 4=3-4 weeks; 5=A month or more; -999=Prefer not to answer",""
"matern_nicu","Integer","","Recommended","Did your child experience any of the following: NICU admission?","0;1;-999","0= No; 1= Yes; -999= Prefer not to answer","t1mhp6"
"matern_nicu_days","Integer","","Recommended","If your child was admitted to the NICU, duration of stay in days.","","","t1mhp6a"
"ph_1","Integer","","Recommended","In general, would you say your child's physical health is excellent, good, fair, or poor?","0::3; 9998;-999","0 = Excellent; 1 = Good; 2 = Fair; 3 = Poor; 9998 = Did not answer; -999 = Prefer not to answer","t1chl1"
"ph_2","Integer","","Recommended","In general, how much do you worry about your child's health?","0::3; 9998;-999","0 = None at all; 1 = A little; 2 = Somewhat; 3 = A great deal; 9998 = Did not answer; -999 = Prefer not to answer","t1chl2"
"ph_3","Integer","","Recommended","In general, how much difficulty, pain or distress does your child’s health cause him or her?","0::3; 9998;-999","0 = None at all; 1 = A little; 2 = Somewhat; 3 = A great deal; 9998 = Did not answer; -999 = Prefer not to answer","t1chl13"
"ph_4","Integer","","Recommended","To what extent does health limit your child in any way, keeping him or her from activities he or she wants to do?","0::3; 9998;-999","0 = None at all; 1 = A little; 2 = Somewhat; 3 = A great deal; 9998 = Did not answer; -999 = Prefer not to answer","t1chl4"
"ph_5","Integer","","Recommended","How often in an average month does your child stay home or come home from school or childcare because of illness?","0::3; 9998;-99;-999","0 = Rarely/never (less than 1 day/month); 1 = A little of the time (1-2 days/month); 2 = Sometimes (3-5 days/month); 3 = Often (6 or more days/month); 9998 = Did not answer; -99 = Not applicable; -999 = Prefer not to answer","t1chl5"
"t1chl6","Integer","","Recommended","Has a doctor or other health professional ever told you that your child has asthma?","0;1;-999","0=No; 1=Yes; -999=Don't know/Prefer not to answer",""
"t1chl6a","Integer","","Recommended","If yes, how much of a problem is his/her asthma or wheezing?","0;1;2;3;-999","0=Not a problem; 1=Mild; 2=Moderate; 3=Severe; -999=Prefer not to answer",""
"t1chl6b","Integer","","Recommended","If yes, is your child currently taking any medications for asthma?","0;1;-999","0=No; 1=Yes;-999=Prefer not to answer",""
"medinfo_allergy","String","300","Recommended","Child currently taking Allergy/Asthma medication, specify","","Record dosage, time of day the medicine is taken, and reason for medication.","t1chl6c"
"t1chl6d","Integer","","Recommended","Has your child had asthma symptoms (coughing, wheezing, shortness of breath) in the past 12 months?","0;1;-999","0=No; 1=Yes;-999=Prefer not to answer",""
"cfmh_chd_fdalrgy","Integer","","Recommended","Does the Child have a food allergy?","0::2;999","0 = No; 1 = Yes; 2=Suspected","t1chl7___1"
"cmedhx21","Integer","","Recommended","Has your child had frequent ear infections?","0;1","0 = No;1 = Yes","t1chl7___2"
"t1chl7___3","Integer","","Recommended","Has your child had tubes in their ears?","0;1","7. Please check the box for any health problem that s/he has OR has had (select all that apply). 1=checked; 0=not checked",""
"psqb22","Integer","","Recommended","Child overweight","0::2; 9","0 = No; 1 = Yes; 2 = Do not know; -9 = Missing value","t1chl7___4"
"pean03","Integer","","Recommended","WAS CHILD UNDERWEIGHT (? CHART WEIGHT FOR HEIGHT, AT TIME OF LOWEST WEIGHT IN PAST YEAR)?","0; 2","0 = No; 2 = Yes","t1chl7___5"
"t1chl7___6","Integer","","Recommended","Has your child had anemia?","0;1","7. Please check the box for any health problem that s/he has OR has had (select all that apply). 1=checked; 0=not checked",""
"medhis_2k","Integer","","Recommended","Has your child ever been to a doctor for any of these things: Lead Poisoning","0;1","1 = Yes ; 0 = No","t1chl7___7"
"t1chl7___8","Integer","","Recommended","Has your child had a growth problem or ""Failure to Thrive""?","0;1","7. Please check the box for any health problem that s/he has OR has had (select all that apply). 1=checked; 0=not checked",""
"chi_hearing","Integer","","Recommended","please indicate if your child has hearing loss/deafness","0; 1;999","0 = No; 1 = Yes","t1chl7___9"
"cfmh_chd_visionimp","Integer","","Recommended","Does the Child have a vision impairment?","1;0","0 = No; 1 = Yes","t1chl7___10"
"t1chl7___11","Integer","","Recommended","Did your child have other health problems?","0;1","7. Please check the box for any health problem that s/he has OR has had (select all that apply). 1=checked; 0=not checked",""
"t1chl7____999","Integer","","Recommended","Prefer not to answer if my child had health problems","0;1","7. Please check the box for any health problem that s/he has OR has had (select all that apply). 1=checked; 0=not checked",""
"ph_14d","String","100","Recommended","Please describe your child's other health problem(s): Additional problems","","","t1chl7a"
"t1chl7b","String","100","Recommended","Highest Lead Level (Enter 999 if unknown)","","",""
"t1chl8","Integer","","Recommended","Does this child take any medications daily?","0;1;-999","0=No; 1=Yes;-999=Prefer not to answer",""
"t1chl8x","String","300","Recommended","What medication(s) does this child take?","","",""
"t1chl8b","Integer","","Recommended","Did this child take any medication today?","0;1;-999","0=No; 1=Yes;-999=Prefer not to answer",""
"dem_43_med_tod","String","150","Recommended","Please list medications this child has taken today, including the use of any inhaler?","","","t1chl8c"
"ph_119a","Integer","","Recommended","How many times has your child been to the Emergency Room within the past year?","","","t1chl9"
"t1chl10","Integer","","Recommended","How are medical/health care services for your child primarily paid for?","1;2;3;4;-999","1=Self; 2=Medicaid (Husky A); 3=Children's Health Insurance Program (CHIP, also called Husky B); 4=Insurance; -999=Prefer not to answer",""
"t1srv1","Integer","","Recommended","Has your child ever been evaluated for a developmental delay, mental retardation, autism, or Pervasive Developmental Disorder (PDD)?","0;1;-888;-999","0=No; 1=Yes; -888=Don't Know; -999=Prefer not to answer",""
"t1srv2","Integer","","Recommended","Has your child ever been diagnosed or identified by a professional as having a developmental delay, mental retardation, autism, or Pervasive Developmental Disorder (PDD)?","0;1;-888;-999","0=No; 1=Yes; -888=Don't Know; -999=Prefer not to answer",""
"child_speech","String","25","Recommended","Has child been diagnosed with or experiencing symptoms of speech problems?","No; Experiencing Symptoms; Diagnosed","Parent report","t1srv2a___1"
"scrn_asd","Integer","","Recommended","Has your child been diagnosed with... Autism spectrum disorder / Trastorno del espectro autista","1 ; 0","1 = Yes; 0 = No","t1srv2a___2"
"strconmotordelay","String","5","Recommended","Does the child have motor delays or slow motor development?","Yes; No","","t1srv2a___3"
"cfmh_chd_devdelay","Integer","","Recommended","Does (did) the Child have a Developmental Delay?","1;0","0 = No; 1 = Yes","t1srv2a___4"
"t1srv2a___5","Integer","","Recommended","Does your child have any other diagnosis?","0;1","2a. If yes, what were the diagnoses? Check all that apply. 1=checked; 0=not checked",""
"fishamunk3","Integer","","Recommended","Child: Unknown Diagnosis","0; 1","0= No; 1= Yes","t1srv2a____888"
"t1srv2a____999","Integer","","Recommended","Prefer not to answer about child's diagnosis","0;1","2a. If yes, what were the diagnoses? Check all that apply. 1=checked; 0=not checked",""
"s1","Integer","","Recommended","Has your child ever received special services for any developmental delays?","0;1;-888;-999","0=No; 1=Yes; -888= Do not know; -999= Prefer not to answer","t1srv3"
"interven_spee_1","Integer","","Recommended","Has your child EVER received Speech/Language Therapy?","0;1;3","0= No; 1= Yes; 3= N/A","t1srv3a___1"
"t1srv3a___2","Integer","","Recommended","Has your child ever received autism/PDD Services?","0;1","3a. If yes, which of these services has your child received? Check all that apply. 1=checked; 0=not checked",""
