"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"henviro_01","Integer","","Recommended","I got out of my house 4 times a week or more (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q1"
"henviro_02","Integer","","Recommended","I had an appropriate number of books (at least: 3 for ages 0-2, 10 for ages 3-9 and 20 for ages 10-14)","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q2"
"henviro_03","Integer","","Recommended","My parent/guardian read to me 3 times a week or more (under age 9).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q3"
"henviro_04","Integer","","Recommended","I was taken to the grocery store (once/week or 2-3 times a month).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q4"
"henviro_05","Integer","","Recommended","I had one or more cuddly, soft or role-playing toys (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q5"
"henviro_06","Integer","","Recommended","I had one or more push or pull toys (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q6"
"henviro_07","Integer","","Recommended","I had a safe play environment.","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q7"
"henviro_08","Integer","","Recommended","My family subscribed to at least one magazine (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q8"
"henviro_09","Integer","","Recommended","My family had a music player and at least 5 records/tapes/CDs (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q9"
"henviro_10","Integer","","Recommended","I was helped to learn numbers at home (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q10"
"henviro_11","Integer","","Recommended","I was helped to learn the alphabet at home (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q11"
"henviro_12","Integer","","Recommended","I was helped to learn colors at home (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q12"
"henviro_13","Integer","","Recommended","I was helped to learn shapes and sizes at home (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q13"
"henviro_14","Integer","","Recommended","I was taken to museums.","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q14"
"henviro_15","Integer","","Recommended","We had musical instruments at home that I could use.","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q15"
"henviro_16","Integer","","Recommended","My family used to get a daily newspaper.","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q16"
"henviro_17","Integer","","Recommended","I used to read several times a week for enjoyment.","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q17"
"henviro_18","Integer","","Recommended","My family encouraged me to start and do hobbies (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q18"
"henviro_19","Integer","","Recommended","I received lessons or belonged to sports/music/art/dance/drama organizations (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q19"
"henviro_20","Integer","","Recommended","I was taken to musical or drama performances (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q20"
"henviro_21","Integer","","Recommended","My parents and I discussed the programs we watched on TV (early childhood).","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q21"
"henviro_22","Integer","","Recommended","My home was not dark, was reasonably clean and minimally cluttered.","1::5","1 = Never True; 2; Rarely True; 3 = Sometimes True; 4 = Often True; 5 = Very Often True","q22"
