"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","patid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"asstyp","Integer","","Recommended","Assessment type","1::20","1=TADS GATE A; 2=TADS GATE B; 3 = TADS Gate C; 4 = TADS Week 6; 5 = TADS Week 12; 6 = TADS Week 18; 7 = TADS Week 24; 8 = TADS Week 30; 9 = TADS Week 36; 10 = TADS F/U Mo 3; 11 = TADS F/U Mo 6; 12 = TADS F/U Mo 9; 13 = TADS F/U Mo 12; 14 = SOFTAD month 6; 15 = SOFTAD month 12; 16 = SOFTAD month 18; 17 = SOFTAD month 24; 18 = SOFTAD month 30; 19 = SOFTAD month 36; 20 = SOFTAD month 42",""
"stage","Integer","","Recommended","Study stage","0::5; 51::53; 67; -888; -999","0 = Pre-Randomization (TADS) 1 = Stage 1 (TADS) 2 = Stage 2 (TADS) 3 = Stage 3 (TADS) 4 = Stage 4 (TADS) 5 = Stage 5 (SOFTAD); 51=Treatmentas Usual; 52=Screening Alone; 53=Intervention; 67=Unknown; -888=Not Applicable; -999=Missing;",""
"bsit0","Float","","Recommended","Weeks from Time 0/baseline to assessment","","","hont0"
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator","honrel1"
"respond_detail_oth_spec","String","255","Recommended","Respondent details","","","honrelo"
"hon1rtu","Integer","","Recommended","Scale 1: Problems with disruptive, antisocial or aggressive behavior","0::4","0 = No problems of this kind during the past month 1 = Minor quarrelling, demanding behavior, undueirritability, lying to avoid getting into trouble, etc.2 = Mild but definitely disruptive or antisocial behavior, lesser damage to property or aggression, or defiant behavior. Behavior occurs more than a typical child his/her age3 = Moderately severe aggressive or antisocial behavior such as fighting or persistently threatening or very oppositional or more serious destruction to property or moderate delinquent acts.4 = Disruptive in almost all activities, or at least one serious physical attack on others or animals, or serious destruction to property.","hon_q1"
"hon2rtu","Integer","","Recommended","Scale 2: Problems with overactivity, attention or concentration","0::4","0 = No problems of this kind during the past month 1 = Slight overactivity or minor restlessness, etc.2 = Mild but definite overactivity and/or attentional problems, but these can usually be controlled3 = Moderately severe overactivity and/or attentional problems that are sometimes uncontrollable4 = Severe overactivity and/or attentional problems that are present in most activities and almost never controllable","hon_q2"
"hon3rtu","Integer","","Recommended","Scale 3: Non-accidental self-injury","0::4","0 = No problem of this kind during the past month 1 = Occasional thoughts about death, or of self-harm not leading to injury. No self-harm or suicidal thoughts.2 = Non-hazardous self-harm, such as wrist scratching, whether or not associated with suicidal thoughts.3 = Moderately severe suicidal intent or moderate non-hazardous self-harm4 = Serious suicidal attempt or serious deliberate self-injury","hon_q3"
"hon4rtu","Integer","","Recommended","Scale 4: Problems with alcohol, substance/solvent misuse","0::4","0 = No problems of this kind during the past month 1 = Minor alcohol or drug use, within age norms2 = Mildly excessive alcohol or drug use3 = Moderately severe drug or alcohol problems significantly out of keeping with age norms4 = Severe drug or alcohol problems leading to dependency or incapacity","hon_q4"
"hon5rtu","Integer","","Recommended","Scale 5: Problems with scholastic or language skills","0::4","0 = No problems of this kind during the past month 1 = Minor impairment within the normal range ofvariation2 = Mild but definite impairment of clinical significance3 = Moderately severe problems, below the level expected on the basis of mental age, past performance or physical disability4 = Severe impairment much below the level expected on the basis of mental age, past performance or physical disability","hon_q5"
"hon6rtu","Integer","","Recommended","Scale 6: Physical illness or disability problems","0::4","0 = No incapacity as a result of physical health problem during the past month1 = Slight incapacity as a result of a health problem during the period2 = Physical health problem imposes mild but definite functional restriction3 = Moderate degree of restriction on activity due to a physical health problem4 = Complete or severe incapacity due to physical health problems","hon_q6"
"hon7rtu","Integer","","Recommended","Scale 7: Problems associated with hallucination, delusions or abnormal perceptions","0::4","0 = No evidence of abnormal thought or perceptions during the past month1 = Somewhat odd or eccentric beliefs not in keeping with cultural norms2 = Abnormal thoughts or perceptions are present, but there is little distress or manifestation in bizarre behavior, i.e., clinically present but mild3 = Moderate preoccupation with abnormal thoughts or perceptions or delusions, hallucinations, causing much distress and/or manifested in obviously bizarre behavior.4 = Mental state and behavior is seriously and adversely affected by delusions or hallucinations or abnormal perceptions, with severe impact on child/adolescent or others","hon_q7"
"hon8rtu","Integer","","Recommended","Scale 8: Problems with non-organic somatic symptoms","0::4","0 = No problems of this kind during the past month 1 = Slight problems only; such as occasionalenuresis, minor sleep problems, headaches or stomach aches without organic basis2 = Mild but definite problem with non-organic somatic symptoms3 = Moderately severe, symptoms produce a moderate degree of restriction in some activities4 = Very severe or symptoms persist into most activities. The child is seriously or adversely affected","hon_q8"
"hon9rtu","Integer","","Recommended","Scale 9: Problems with emotional and related symptoms","0::4","0 = No evidence of depression, anxieties, fears or phobias during the past month1 = Mildly anxious; gloomy; or transient mood changes2 = A mild but definite emotional symptom is clinically present, but is not preoccupying3 = Moderately severe emotional symptoms, which are preoccupying, intrude into some activities and are uncontrollable at least sometimes4 = Severe emotional symptoms which intrude into all activities and are nearly always uncontrollable","hon_q9"
"hon10rtu","Integer","","Recommended","Scale 10: Problems with peer relationships","0::4","0 = No significant problems during the past month 1 = Either transient or slight problems, occasionalsocial withdrawal2 = Mild but definite problems in making or sustaining peer relationships. Problems causing distress due to social withdrawal3 = Moderate problems due to active or passive withdrawal from social relationships,over-intrusiveness and/or to relationships that provide little or no comfort or support: e.g., as a result of being severely bullied4 = Severe social isolation with no friends due to inability to communicate socially and/or withdrawal from social relationships","hon_q10"
