"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hood01","Integer","","Recommended","I had an experience which was both timeless and spaceless.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood02","Integer","","Recommended","I had an experience which was incapable of being expressed in words.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood03","Integer","","Recommended","I had an experience in which something greater than myself seemed to absorb me.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood04","Integer","","Recommended","I had an experience in which everything seemed to disappear from my mind until I was conscious only of a void.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood05","Integer","","Recommended","I experienced profound joy.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood06","Integer","","Recommended","I had an experience in which I felt myself to be absorbed as one with all things.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood07","Integer","","Recommended","I experienced a perfectly peaceful state.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood08","Integer","","Recommended","I had an experience in which I felt as if all things were alive.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood09","Integer","","Recommended","I had an experience which seemed holy to me.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood10","Integer","","Recommended","I had an experience in which all things seemed to be aware.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood11","Integer","","Recommended","I had an experience in which I had no sense of time or space.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood12","Integer","","Recommended","I had an experience in which I realized the oneness of myself with all things.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood13","Integer","","Recommended","I had an experience in which a new view of reality was revealed to me.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood14","Integer","","Recommended","I experienced something to be divine.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood15","Integer","","Recommended","I had an experience in which time and space were non-existent.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood16","Integer","","Recommended","I experienced something that I would call ultimate reality.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood17","Integer","","Recommended","I had an experience in which ultimate reality was revealed to me.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood18","Integer","","Recommended","I had an experience in which I felt that all was perfection at that time.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood19","Integer","","Recommended","I had an experience in which I felt everything in the world to be part of the same whole.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood20","Integer","","Recommended","I had an experience which I knew to be sacred.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood21","Integer","","Recommended","I had an experience which I am unable to express adequately through language.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood22","Integer","","Recommended","I had an experience which left me with a feeling of awe.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood23","Integer","","Recommended","I had an experience that is impossible to communicate.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood24","Integer","","Recommended","I had an experience in which my own self seemed to merge into something greater.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
"hood25","Integer","","Recommended","I had an experience which left me with a feeling of wonder.","-2::2","-2=This description is definitely not true of my own experience or experiences; -1=This description is probably not true of my own experience or experiences; 0=Cannot decide; 1=This description is probably true of my own experience or experiences; 2=This description is definitely true of my own experience or experiences",""
