"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"horizon_eefrt_q1a","Integer","","Recommended","Did you experience obsessions/compulsions during either of the two tasks you just completed? Examples of obsessions/compulsions people might experience during the task include: Wanting to tap a special number of times, or an odd or even number of times wanting to use each finger a certain amount, or ""even out"" button-pressing across fingers, keys, or parts of the screen avoiding or preferring certain numbers, obsessions/compulsions similar to what you typically experience outside the task","0;1","0-No; 1=Yes",""
"horizon_eefrt_q1c","Integer","","Recommended","How distressing were the obsessions/compulsions you experienced during the task?","0::10","0=Not at all; 10=Extremely",""
"horizon_eefrt_q1d","Integer","","Recommended","How intense were the obsessions/compulsions you experienced during the task?","0::10","0=Not at all; 10=Extremely",""
"horizon_eefrt_q1e","Integer","","Recommended","How much did the obsessions/compulsions you experienced during the task affect your behavior during the task: your ratings or the amount of tapping?","0::10","0=Not at all; 10=Extremely",""
