"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ibelong1","Integer","","Recommended","In general, I do not have to change my behaviors when I am with racial-ethnic-cultural group members","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong2","Integer","","Recommended","I am free to be myself with members of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong3","Integer","","Recommended","In general, I do not have to hide parts of who I am with members of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong4","Integer","","Recommended","Members of my racial-ethnic-cultural group see me for who I am","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong5","Integer","","Recommended","I feel accepted by my racial-ethnic-cultural group for who I am","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong6","Integer","","Recommended","I have similar experiences to others in my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong7","Integer","","Recommended","Others in my racial-ethnic-cultural group see the world in a similar way to me","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong8","Integer","","Recommended","My success is connected to the success of members of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong9","Integer","","Recommended","I have many things in common with people from my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong10","Integer","","Recommended","I feel connected to my racial-ethnic-cultural group because of our shared experiences","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong11","Integer","","Recommended","I feel close to other members of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong12","Integer","","Recommended","I have shared interests with others in my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong13","Integer","","Recommended","I have shared values with others in my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong14","Integer","","Recommended","In general, I am at ease when I am with people from my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong15","Integer","","Recommended","In general, I feel ''at home'' when I am with members of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong16","Integer","","Recommended","I am happy that I am a member of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong17","Integer","","Recommended","I am proud to be a member of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong18","Integer","","Recommended","I like learning about my racial-ethnic-cultural group's history","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong19","Integer","","Recommended","I value my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong20","Integer","","Recommended","I consider it an honor to be a member of my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong21","Integer","","Recommended","I define what belonging to my racial-ethnic-cultural group means to me","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong22","Integer","","Recommended","I am a member of my racial-ethnic-cultural group on my own terms","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong23","Integer","","Recommended","I decide what my racial-ethnic-cultural group membership is","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong24","Integer","","Recommended","I do not have to prove that I belong to my racial-ethnic-cultural group to others in my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelong25","Integer","","Recommended","Others do not define my belonging to my racial-ethnic-cultural group","1::6","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Somewhat agree; 5=Agree; 6=Strongly agree",""
"ibelongscore","Integer","","Recommended","iBelong Scale Score","25::150","Sum of ibelong1 through ibelong25; higher scores indicate a stronger sense of racial-ethnic-cultural belonging",""
