"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"iats_1","Integer","","Recommended","Most of the time my attention is focused on whether my heart is beating fast","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_2","Integer","","Recommended","Most of the time my attention is focused on whether I am hungry","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_3","Integer","","Recommended","Most of the time my attention is focused on whether I am breathing fast","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_4","Integer","","Recommended","Most of the time my attention is focused on whether I am thirsty or dehydrated","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_5","Integer","","Recommended","Most of the time my attention is focused on whether I need to urinate","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_6","Integer","","Recommended","Most of the time my attention is focused on whether I need to defecate","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_7","Integer","","Recommended","Most of the time when I am eating, my attention is focused on different tastes","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_8","Integer","","Recommended","Most of the time my attention is focused on whether I am nauseated or need to vomit","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_9","Integer","","Recommended","Most of the time my attention is focused on whether I need to sneeze","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_10","Integer","","Recommended","Most of the time my attention is focused on whether I need to cough","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_11","Integer","","Recommended","Most of the time my attention is focused on the temperature of my body (feeling hot or cold)","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_12","Integer","","Recommended","Most of the time my attention is focused on whether I am sexually aroused","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_13","Integer","","Recommended","Most of the time my attention is focused on whether I need to pass wind","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_14","Integer","","Recommended","Most of the time my attention is focused on whether I need to burp","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_15","Integer","","Recommended","Most of the time my attention is focused on whether my muscles are tired or sore","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_16","Integer","","Recommended","Most of the time my attention is focused on whether I am in pain after I am hurt or injured","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_17","Integer","","Recommended","Most of the time my attention is focused on whether I am in pain (that is not caused by injury)","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_18","Integer","","Recommended","Most of the time my attention is focused on whether my blood sugar is low","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_19","Integer","","Recommended","Most of the time when someone is touching me, my attention is focused on whether it is pleasant/affectionate","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_20","Integer","","Recommended","Most of the time my attention is focused on whether touch or materials feel ticklish on my body","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"iats_21","Integer","","Recommended","Most of the time my attention is focused on whether my body feels itchy","1::5","1 = Disagree Strongly; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
