"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"upps_1","Integer","","Recommended","I have a reserved and cautious attitude toward life.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_2","Integer","","Recommended","I have trouble controlling my impulses.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_3","Integer","","Recommended","I generally seek new and exciting experiences and sensations.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_4","Integer","","Recommended","I generally like to see things through to the end.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_17"
"upps_5","Integer","","Recommended","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_6","Integer","","Recommended","My thinking is usually careful and purposeful.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_1"
"upps_7","Integer","","Recommended","I have trouble resisting my cravings (for food, cigarettes, etc).","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_8","Integer","","Recommended","I'll try anything once.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_9","Integer","","Recommended","I tend to give up easily.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_10","Integer","","Recommended","When I am in a great mood, I tend to get into situations that could cause me problems.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_5"
"upps_11","Integer","","Recommended","I am not one of those people who blurt out things without thinking.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_12","Integer","","Recommended","I often get involved in things I later wish I could get out of.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_13","Integer","","Recommended","I like sports and games in which you have to choose your next move very quickly.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_14","Integer","","Recommended","Unfinished tasks really bother me.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_18"
"upps_15","Integer","","Recommended","When I am very happy, I tend to do things that may cause problems in my life.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_16","Integer","","Recommended","I like to stop and think things over before I do them.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_2"
"upps_17","Integer","","Recommended","When I feel bad, I will often do things I later regret in order to make myself feel better now.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_9"
"upps_18","Integer","","Recommended","I would enjoy water skiing.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_19","Integer","","Recommended","Once I get going on something I hate to stop.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_19"
"upps_20","Integer","","Recommended","I tend to lose control when I am in a great mood.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_6"
"upps_21","Integer","","Recommended","I don't like to start a project until I know exactly how to proceed.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_22","Integer","","Recommended","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_10"
"upps_23","Integer","","Recommended","I quite enjoy taking risks.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_13"
"upps_24","Integer","","Recommended","I concentrate easily.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_25","Integer","","Recommended","When I am really ecstatic, I tend to get out of control.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_26","Integer","","Recommended","I would enjoy parachute jumping.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_27","Integer","","Recommended","I finish what I start.","1::4;98; -555","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer; -555= Prefer not to answer","ibs_20"
"upps_28","Integer","","Recommended","I tend to value and follow a rational, ""sensible"" approach to things.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_3"
"upps_29","Integer","","Recommended","When I am upset I often act without thinking.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_11"
"upps_30","Integer","","Recommended","Others would say I make bad choices when I am extremely happy about something.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_31","Integer","","Recommended","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer","ibs_14"
"upps_32","Integer","","Recommended","I am able to pace myself so as to get things done on time.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
"upps_33","Integer","","Recommended","I usually make up my mind through careful reasoning.","1::4;98","1=Agree Strongly; 2=Agree Somewhat; 3=Disagree Somewhat; 4=Disagree Strongly; 98=No answer",""
