"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily","assessment"
"thnidl1","Integer","","Recommended","Slender women are more attractive","1::5; 999","1 = Disagree; 5 = Agree; 999 = missing","thinidl_v2019_1"
"thnidl2","Integer","","Recommended","Women who are in shape are more attractive","1::5; 999","1 = Disagree; 5 = Agree; 999 = missing","thinidl_v2019_2"
"thnidl3","Integer","","Recommended","Tall women are more attractive","1::5; 999","1 = Disagree; 5 = Agree; 999 = missing","thinidl_v2019_3"
"thnidl4","Integer","","Recommended","Women with toned (lean) bodies are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing","thinidl_v2019_4"
"thnidl5","Integer","","Recommended","Shapely women are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing",""
"thnidl6","Integer","","Recommended","Women with long legs are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing","thinidl_v2019_6"
"thnidl7","Integer","","Recommended","Curvy women are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing",""
"thnidl8","Integer","","Recommended","Slim women are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing",""
"thnidl_total","Float","","Recommended","Thin Ideal Internalization Total Score","","",""
"who_raised_explain","String","50","Recommended","If other primary caregiver who raised you, explain","","",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"thinidl_v2019_5","Integer","","Recommended","Women with shapely butts are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing",""
"thinidl_v2019_7","Integer","","Recommended","Women with big breasts are more attractive","1::5; 999","1 = Strongly Disagree; 5 = Strongly Agree; 999 = missing",""
