"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"icbc_1","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Washing","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_1_distress","Integer","","Recommended","Washing. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_2","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Smoking","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_2_distress","Integer","","Recommended","Smoking. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_3","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Feeling compelled to collect free things (books, journals, sample items when shopping) or saving something you know you will never use","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_3_distress","Integer","","Recommended","Feeling compelled to collect free things (books, journals, sample items when shopping) or 1 saving something you know you will never use. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_4","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Being overly cautious with money","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_4_distress","Integer","","Recommended","Being overly cautious with money. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_5","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: (Re)arranging/ordering","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_5_distress","Integer","","Recommended","(Re)arranging/ordering. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_6","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Shopping","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_6_distress","Integer","","Recommended","Shopping. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_7","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: List making","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_7_distress","Integer","","Recommended","List making. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_8","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Counting (e.g. money, tiles)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_8_distress","Integer","","Recommended","Counting (e.g. money, tiles). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_9","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Grooming","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_9_distress","Integer","","Recommended","Grooming. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_10","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Idiosyncratic routines (performing a very personalized sequence of actions)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_10_distress","Integer","","Recommended","Idiosyncratic routines (performing a very personalized sequence of actions). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_11","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Repeating actions (performing actions over and over again)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_11_distress","Integer","","Recommended","Repeating actions (performing actions over and over again). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_12","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Exercising","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_12_distress","Integer","","Recommended","Exercising. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_13","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Betting/gambling","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_13_distress","Integer","","Recommended","Betting/gambling. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_14","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Hair picking","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_14_distress","Integer","","Recommended","Hair picking. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_15","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Lying","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_15_distress","Integer","","Recommended","Lying. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_16","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Sexual activities/behaviors","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_16_distress","Integer","","Recommended","Sexual activities/behaviors. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_17","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Alcohol consumption","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_17_distress","Integer","","Recommended","Alcohol consumption. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_18","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Planning (e.g. over-organizing)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_18_distress","Integer","","Recommended","Planning (e.g. over-organizing). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_19","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Illicit drug use","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_19_distress","Integer","","Recommended","Illicit drug use. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_20","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Cleaning too much","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_20_distress","Integer","","Recommended","Cleaning too much. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_21","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Verbal aggression","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_21_distress","Integer","","Recommended","Verbal aggression. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_22","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Violence towards objects/properties","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_22_distress","Integer","","Recommended","Violence towards objects/properties. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_23","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Swearing","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_23_distress","Integer","","Recommended","Swearing. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_24","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Checking (e.g. locks, light switches)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_24_distress","Integer","","Recommended","Checking (e.g. locks, light switches). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_25","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Checking (e.g. yourself in the mirror)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_25_distress","Integer","","Recommended","Checking (e.g. yourself in the mirror). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_26","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Speed driving","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_26_distress","Integer","","Recommended","Speed driving. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_27","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Medication use","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_27_distress","Integer","","Recommended","Medication use. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_28","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Physical aggression","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_28_distress","Integer","","Recommended","Physical aggression. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_29","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Social networking (e.g. Facebook, Twitter, Google +, Myspace)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_29_distress","Integer","","Recommended","Social networking (e.g. Facebook, Twitter, Google +, Myspace). This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_30","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Applying rules","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
"icbc_30_distress","Integer","","Recommended","Applying rules. This behavior/urge/desire causes ME distress:","0;1","0=Checkbox not checked; 1=Yes",""
"icbc_31","Integer","","Recommended","Over the last 12 months. Do YOU and/or OTHERS think you have an issue/problem with the following behavior: Purposeful self-injury (i.e. not accidental)","1::4","1=Never; 2=Sometimes; 3=Often; 4=Always",""
