"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bees_cry01","Integer","","Recommended","Does your baby ever cry uncontrollably for no reason, even though they are well-fed?","0;1;999","0= No, 1= Yes, 999 = I Decline to Answer","bees_mhx_birth_b_cry_uncon"
"bees_cry02","String","1000","Recommended","Please describe (with dates, if possible):","","","bees_mhx_birth_b_cry_uncon_spec"
"bees_cry03","Integer","","Recommended","When you baby cries uncontrollably, how long does the crying generally last?","1;2;999","1= Less than 3 hours, 2= 3 hours or more, 999= I Decline to Answer","bees_mhx_birth_b_cry_uncon_time"
"bees_cry04","Integer","","Recommended","In the last week, how often has your baby had periods of uncontrollable crying that lasted more than 3 hours?","1::3;999","1= Never, 2= Less than 3 days of the week, 3 = More than 3 days of the week, 999= I Decline to Answer","bees_mhx_birth_b_cry_uncon_week"
"bees_cry05","String","15","Recommended","In the morning (6am-noon), approximately how many hours and minutes total is your baby typically crying or fussing?","","Hours and Mins","bees_mhx_birth_b_cry_am"
"bees_cry06","String","15","Recommended","In the afternoon (noon-6pm), approximately how many hours and minutes total is your baby typically crying or fussing?","","Hours and Mins","bees_mhx_birth_b_cry_pm"
"bees_cry07","String","15","Recommended","In the evening (6pm-midnight), approximately how many hours and minutes total is your baby typically crying or fussing?","","Hours and Mins","bees_mhx_birth_b_cry_evening"
"bees_cry08","String","15","Recommended","Overnight (midnight - 6am), approximately how many hours and minutes total is your baby typically crying or fussing?","","Hours and Mins","bees_mhx_birth_b_cry_night"
"bees_cry09","Integer","","Recommended","Does the amount of fussing and crying vary from day to day?","1::4;999","1= Not at all, 2= A little, 3= Much, 4= Very much, 999= I Decline to Answer","bees_mhx_birth_b_cry_vary"
"bees_cry10","Integer","","Recommended","How often your baby fusses or cries in general?","1::4;999","1= Not at all, 2= A little, 3= Much, 4= Very much, 999= I Decline to Answer","bees_mhx_birth_b_cry_often"
"bees_cry11","Integer","","Recommended","Has your baby's fussing and crying been of enough concern to involve your pediatrician?","1::4;999","1= Not at all, 2= A little, 3= Much, 4= Very much, 999= I Decline to Answer","bees_mhx_birth_b_cry_concern"
