"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"task_n","String","500","Recommended","Task name","","",""
"distress_latency","Integer","","Recommended","Duration in seconds before first distress cue","0::10000","",""
"event_type","String","100","Recommended","Event Type","","",""
"start_time","String","250","Recommended","Trial Start Time","","",""
"stoptime","String","10","Recommended","Stop time","","",""
"vocal_intensity","Integer","","Recommended","Rating of intensity of event for either a vocalization","1::5","1 = Mild vocalizations that are not hedonically negative or positive (small noises, short babbles); 2 = Definite whimpering, Short duration; 3 = Longer whining/fussing/mild protest, rhythmic crying; 4 = Definite non-muted crying; 5 = Full intensity cry/scream",""
"express_intensity","Integer","","Recommended","Rating of intensity of event for expression","0::3;111","0 = No facial; 111=N/A region shows codable fear movement.; 1 = Only one facial region shows codable movement; 2 = Only 2 facial regions show codable movement; 3 = An appearance change occurs in all 3 facial regions",""
"reach_timestamp","Integer","","Recommended","Time in seconds that reaching for the stimulus occurred (toy, spider, masks)","0::10000","111=N/A",""
"reg_timestamp","Integer","","Recommended","Time in seconds that attempts for self regulation occurred","0::10000","111=N/A",""
"reg_type","Integer","","Recommended","Type of self regulation that occurred","1::4;111","1 = Hand to mouth; 2 = Touching self; 3 = Reaching for mom; 4 = Table banging; 111=N/A",""
