"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, Morning, At Bedtime",""
"ibrs1","Integer","","Recommended","In social media, I belong to a community or communities that are important part of my identity.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs2","Integer","","Recommended","In social media, I belong to a community or communities that I'm proud of.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs3","Integer","","Recommended","In social media, I prefer interacting with people who are like me.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs4","Integer","","Recommended","In social media, I prefer interacting with people who share similar interests with me.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs5","Integer","","Recommended","In social media, I trust the information that is shared with me.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs6","Integer","","Recommended","In social media, I feel that people think like me.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs7","Integer","","Recommended","In social media, I belong to a community or communities that I can commit to.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs8","Integer","","Recommended","In social media, I prefer interacting with people who share my values.","1::10","1= Does not describe me at all; 10= Describes me completely",""
"ibrs9","Integer","","Recommended","In social media, I can keep myself well informed.","1::10","1= Does not describe me at all; 10= Describes me completely",""
