"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"income","Integer","","Recommended","""During the past YEAR approximately how much income before taxes and deductions was received by all family members who live with you, excluding yourself. Please include money from all sources.""","0::5","0 = Do not live with any family members; 1 = $0-$15000; 2 = $15001-$30000; 3 = $30001-$50000; 4 = $50001-$75000; 5 = Greater than $75000",""
"noinfamily","Integer","","Recommended","Number of people supported by the income indicated above","","",""
"income_to_need","Float","","Recommended","Income-to-Needs Ratio","","",""
