"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"sipi_icd11_01","Integer","","Recommended","She/he is usually an anxious person.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_02","Integer","","Recommended","She/he tends to act impulsively.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_03","Integer","","Recommended","She/he prefers to stay away from other people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_04","Integer","","Recommended","Her/his anger has gotten her/him into fights.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_05","Integer","","Recommended","She/he spends a large amount of time organizing and making arrangements.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_06","Integer","","Recommended","When things do not go as planned in her/his life it upsets her/him greatly.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_07","Integer","","Recommended","She/he is not a very responsible person.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_08","Integer","","Recommended","Other people say she/he doesn't show her/his feelings.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_09","Integer","","Recommended","Other peoples' problems are funny to her/him.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_10","Integer","","Recommended","She/he does not take risks.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_11","Integer","","Recommended","Her/his mood often changes throughout the week.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_12","Integer","","Recommended","She/he is not a very organized person.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_13","Integer","","Recommended","She/he is quiet around others.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_14","Integer","","Recommended","She/he can easily get people to do what she/he wants.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_15","Integer","","Recommended","She/he carefully thinks things through before she/he acts.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_16","Integer","","Recommended","When things are not going well for Her/his, She/he becomes more nervous than most people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_17","Integer","","Recommended","She/he makes rash decisions.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_18","Integer","","Recommended","She/he is not very close with anyone.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_19","Integer","","Recommended","She/he is much more competitive than other people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_20","Integer","","Recommended","Other people think that she/he is a perfectionist.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_21","Integer","","Recommended","After some problem it takes her/his a long time to get back to normal.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_22","Integer","","Recommended","Sometimes she/he leaves work without notifying her/his co-workers.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_23","Integer","","Recommended","She/he feels pretty much the same all the time.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_24","Integer","","Recommended","She/he believes that some people deserve to be homeless.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_25","Integer","","Recommended","She/he always chooses the safest option.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_26","Integer","","Recommended","Changes in her/his mood are unrelated to what is happening in her/his life.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_27","Integer","","Recommended","She/he can be rather sloppy and disorganized.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_28","Integer","","Recommended","She/he is best described as ''bashful.''","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_29","Integer","","Recommended","She/he often charms people that she/he doesn't really like.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_30","Integer","","Recommended","She/he never acts impulsively.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_31","Integer","","Recommended","Other people notice her/his nervousness.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_32","Integer","","Recommended","She/he likes to act first and think later.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_33","Integer","","Recommended","Other people say that she/he is distant and withdrawn.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_34","Integer","","Recommended","She/he is always ready for conflict.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_35","Integer","","Recommended","She/he strives for perfection.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_36","Integer","","Recommended","She/he is thin-skinned.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_37","Integer","","Recommended","When she/he feels like it, she/he fails to show up for work.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_38","Integer","","Recommended","She/he has very rarely felt excited.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_39","Integer","","Recommended","She/he is  not concerned with hurting someone's feelings.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_40","Integer","","Recommended","Her/his top priority is being safe and secure.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_41","Integer","","Recommended","She/he often alternates back and forth from feeling happy to feeling sad.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_42","Integer","","Recommended","She/he doesn't worry about keeping to a set schedule or plan.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_43","Integer","","Recommended","She/he talks less frequently than most other people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_44","Integer","","Recommended","She/he is  a manipulative person.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_45","Integer","","Recommended","She/he gives every decision a lot of careful thought.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_46","Integer","","Recommended","A lot of times she/he is  fearful for no specific reason.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_47","Integer","","Recommended","She/he often does things without thinking.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_48","Integer","","Recommended","She/he would not mind living completely on her/his own without any human contact.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_49","Integer","","Recommended","She/he is experienced in the art of confrontation.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_50","Integer","","Recommended","She/he takes great pride in doing high quality work.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_51","Integer","","Recommended","She/he feels exposed.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_52","Integer","","Recommended","She/he spends money on leisure when she/he has unpaid bills.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_53","Integer","","Recommended","She/he doesn't feel emotions as much as other people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_54","Integer","","Recommended","She/he would be a good soldier because she/he wouldn't worry about harming someone.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_55","Integer","","Recommended","She/he tends to be very cautious and careful.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_56","Integer","","Recommended","Her/his mood swings are much stronger than those of other people.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_57","Integer","","Recommended","She/he doesn't follow any set order or plan when she/he works on something.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_58","Integer","","Recommended","She/he is  always a ''wallflower'' in social settings.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
"sipi_icd11_59","Integer","","Recommended","She/he has successfully deceived and manipulated persons.","1::5","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly Agree",""
