"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","IPR_1_Date,visit_date"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ipr_1","Integer","","Recommended","I get along very well with my peers.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_2","Integer","","Recommended","My peers act like they don't care about me.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_2r"
"ipr_3","Integer","","Recommended","My peers treat me badly.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_3r"
"ipr_4","Integer","","Recommended","My peers really seem to respect me.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_5","Integer","","Recommended","I don't feel like I am ""part of the group""","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_5r"
"ipr_6","Integer","","Recommended","My peers are a bunch of snobs.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_6r"
"ipr_7","Integer","","Recommended","My peers understand me.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered",""
"ipr_8","Integer","","Recommended","My peers seem to like me very much.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_9","Integer","","Recommended","""I really feel """"left out"""" of my peers group. ""","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_9r"
"ipr_10","Integer","","Recommended","I hate my current peer group.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_10r"
"ipr_11","Integer","","Recommended","My peers seem to like having me around.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_12","Integer","","Recommended","I really like my current peer group.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_13","Integer","","Recommended","I really feel like I am disliked by my peers.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_13r"
"ipr_14","Integer","","Recommended","I wish I had a different peer group.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_14r"
"ipr_15","Integer","","Recommended","My peers are very nice to me.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_16","Integer","","Recommended","My peers seem to look up to me.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_17","Integer","","Recommended","My peers think I am important to them.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_18","Integer","","Recommended","My peers are a real source of pleasure for me.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_19","Integer","","Recommended","My peers don't seem to even notice me.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_19r"
"ipr_20","Integer","","Recommended","I wish I were not part of this peer group.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_20r"
"ipr_21","Integer","","Recommended","My peers regard my ideas and opinions very highly.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_22","Integer","","Recommended","I feel like I am an important member of my peer group.","0::6; 99999","0 = None of the time; 1 = Rarely; 2 = A little of the time; 3 = Sometimes; 4 = A good part of the time; 5 = Most of the time; 6 = All of the time; 99999 = missing/not answered",""
"ipr_23","Integer","","Recommended","I can't stand to be around my peer group.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_23r"
"ipr_24","Integer","","Recommended","My peers seem to look down on me.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_24r"
"ipr_25","Integer","","Recommended","My peers really do not interest me.","0::6; 99999","6 = None of the time; 5 = Rarely; 4 = A little of the time; 3 = Sometimes; 2 = A good part of the time; 1 = Most of the time; 0 = All of the time; 99999 = missing/not answered","ipr_25r"
"ipr_1_total","Integer","","Required","Peer relations total score","25::150; 99999","99999 = missing","ipr_score"
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits","visit_number"
"ipr_mean_score","Float","","Recommended","Index of Peer Relations Mean Score","0::100; 99999","",""
