"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"irsb1y","Integer","","Recommended","Irritability During the preceding week, the subject, has had a tendecy to lose his/her temper, to shout or act violently in reaction to stimuli that do not normally produce such reactions. IF YES","0::3;-1","0=Extremely rarely; 1=Sometimes; 2=Often; 3=Frequently; -1=Never(RI)",""
"irsb1","Integer","","Recommended","Irritability During the preceding week, the subject, has had a tendecy to lose his/her temper, to shout or act violently in reaction to stimuli that do not normally produce such reactions.","1;2","1=Yes; 2=No",""
"irsb2y","Integer","","Recommended","Patience/Impatience Capacity to wait. In the last few days, the subject has shown patience (e.g., standing in line at a checkout) IF YES","0::3;-1","0=Yes, reasonably; 1=No, but was able to tolerate some waiting; 2=No. Does not tolerate waiting. Impatient; 3=No. Impatience was a great distress; -1 Yes, Very much (RI)",""
"irsb2","Integer","","Recommended","Patience/Impatience Capacity to wait. In the last few days, the subject has shown patience (e.g., standing in line at a checkout)","1;2","1=Yes; 2=No",""
"irsb3y","Integer","","Recommended","Time for making decisions (e.g., buying habits in department stores) In the preceding week. IF YES","0::3;-1","0=Has been acting normally; 1=Made quick but appropriate decisions; 2=Made decisions hastily without ; 3=Same as preceding item, but with regrettable consequences; -1=Has not been able to acr w/o taking time (RI)",""
"irsb3","Integer","","Recommended","Time for making decisions (e.g., buying habits in department stores) In the preceding week.","1;2","1=Yes; 2=No",""
"irsb4y","Integer","","Recommended","Capacity to pursue an activity (occupation or main activity, e.g., housewife) During the last few days, the subject: IF YES","0::3;-1","0=Normal; 1=Has been prone to distraction; 2=Has let him/herself be distracted; 3=Has been incapable; -1=Has had no difficulty in holding to his/her activities (RI)",""
"irsb4","Integer","","Recommended","Capacity to pursue an activity (occupation or main activity, e.g., housewife) During the last few days, the subject:","1;2","1=Yes; 2=No",""
"irsb5y","Integer","","Recommended","Aggresiveness During the last few days, the subject: IF YES","0::3;-1","0=Normal; 1=Has been prone to acting aggresively; 2=Has had aggressive reactions; 3=Has been permanently aggressive; -1=Has clearly lacked aggresiveness (RI)",""
"irsb5","Integer","","Recommended","Aggresiveness During the last few days, the subject:","1;2","1=Yes; 2=No",""
"irsb6y","Integer","","Recommended","Control of responses During the last few days , the subject: IF YES","0::3;-1","0=Normal; 1=There has been some degree of control; 2=There have been persisting attempts to control; 3=Incapable of controlling repsonse; -1=Has shown a tendecy to excessively control (RI)",""
"irsb6","Integer","","Recommended","Control of responses During the last few days , the subject:","1;2","1=Yes; 2=No",""
"irsb7y","Integer","","Recommended","Capacity to delay IF YES","0::3;-1","0=Normal; 1=The subject is capable of making long-term plans; 2=Choosing activities that provide immediate satisfaction; 3=No long-term schemes; -1=The subject's strategy systematically favors long-term plans (RI)",""
"irsb_tot","Integer","","Recommended","IRS Total Score","","",""
"irsb_ri","Integer","","Recommended","Number of items rated Reduced-I (RI) ","","(RI=-1)",""
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14",""
